logs/9dbf1394-314a-4952-8f0a-dfd5bced0823.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run ynuso9xb
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260531_190009-ynuso9xb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H342_arm_a_CTRL_orthogonal_fnorm_matched
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/ynuso9xb
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.939252853393555, 'final_fnorm': 15.939252853393555}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.61479568481445, 'final_fnorm': 47.61479568481445}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.913911819458008, 'final_fnorm': 15.913910865783691}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.65944290161133, 'final_fnorm': 47.659446716308594}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.935052871704102, 'final_fnorm': 15.935051918029785}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.639488220214844, 'final_fnorm': 47.639488220214844}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.939252853393555}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.61479568481445}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.913910865783691}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.659446716308594}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.935051918029785}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.639488220214844}]
step:1/3325 train_time:9.715s step_avg:9714.54ms
step:2/3325 train_time:12.823s step_avg:6411.66ms
step:3/3325 train_time:15.081s step_avg:5027.05ms
step:4/3325 train_time:17.336s step_avg:4333.98ms
[rank0]:W0531 19:00:43.455000 628192 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0531 19:00:43.455000 628192 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:571)
[rank0]:W0531 19:00:43.455000 628192 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0531 19:00:43.455000 628192 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0531 19:00:43.455000 628192 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.145s step_avg:3828.96ms
step:6/3325 train_time:20.946s step_avg:3490.92ms
step:7/3325 train_time:22.747s step_avg:3249.51ms
step:8/3325 train_time:24.551s step_avg:3068.85ms
step:9/3325 train_time:26.358s step_avg:2928.72ms
step:10/3325 train_time:28.166s step_avg:2816.63ms
step:11/3325 train_time:29.974s step_avg:2724.90ms
step:12/3325 train_time:31.784s step_avg:2648.64ms
step:13/3325 train_time:33.592s step_avg:2583.97ms
step:14/3325 train_time:35.402s step_avg:2528.73ms
step:15/3325 train_time:37.212s step_avg:2480.80ms
step:16/3325 train_time:39.023s step_avg:2438.92ms
step:17/3325 train_time:40.833s step_avg:2401.93ms
step:18/3325 train_time:42.645s step_avg:2369.18ms
step:19/3325 train_time:44.456s step_avg:2339.79ms
step:20/3325 train_time:46.270s step_avg:2313.48ms
step:21/3325 train_time:48.081s step_avg:2289.59ms
step:22/3325 train_time:49.893s step_avg:2267.88ms
step:23/3325 train_time:51.706s step_avg:2248.10ms
step:24/3325 train_time:53.521s step_avg:2230.04ms
step:25/3325 train_time:55.612s step_avg:2224.49ms
step:26/3325 train_time:57.426s step_avg:2208.70ms
step:27/3325 train_time:59.240s step_avg:2194.07ms
step:28/3325 train_time:61.054s step_avg:2180.49ms
step:29/3325 train_time:62.866s step_avg:2167.81ms
step:30/3325 train_time:64.697s step_avg:2156.56ms
step:31/3325 train_time:66.511s step_avg:2145.52ms
step:32/3325 train_time:68.327s step_avg:2135.22ms
step:33/3325 train_time:70.141s step_avg:2125.50ms
