logs/9720fa2d-7840-438e-8815-35cd5e5ebb18.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run 1ktoqpzm
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260531_204923-1ktoqpzm
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H342_arm_b_ORTHO_BOTTOM_DAMP
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/1ktoqpzm
[H148 body_init=orthogonal_bottom_damp] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.933500289916992, 'final_fnorm': 13.856406211853027}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.647335052490234, 'final_fnorm': 13.856407165527344}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.903769493103027, 'final_fnorm': 13.856406211853027}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.60681915283203, 'final_fnorm': 13.856406211853027}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.906685829162598, 'final_fnorm': 27.712812423706055}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.5722770690918, 'final_fnorm': 27.712812423706055}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_bottom_damp] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 13.856406211853027}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 13.856407165527344}, {'name': 'blocks.5.attn.q.weight', 'radius': 13.856406211853027}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 13.856406211853027}, {'name': 'blocks.11.attn.q.weight', 'radius': 27.712812423706055}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 27.712812423706055}]
step:1/3325 train_time:9.694s step_avg:9694.37ms
step:2/3325 train_time:12.827s step_avg:6413.44ms
step:3/3325 train_time:15.079s step_avg:5026.35ms
step:4/3325 train_time:17.334s step_avg:4333.57ms
[rank0]:W0531 20:49:57.344000 634218 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0531 20:49:57.344000 634218 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:571)
[rank0]:W0531 20:49:57.344000 634218 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0531 20:49:57.344000 634218 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0531 20:49:57.344000 634218 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.146s step_avg:3829.11ms
step:6/3325 train_time:20.951s step_avg:3491.84ms
step:7/3325 train_time:22.756s step_avg:3250.85ms
step:8/3325 train_time:24.562s step_avg:3070.28ms
step:9/3325 train_time:26.369s step_avg:2929.90ms
step:10/3325 train_time:28.178s step_avg:2817.82ms
step:11/3325 train_time:29.986s step_avg:2725.98ms
step:12/3325 train_time:31.795s step_avg:2649.61ms
step:13/3325 train_time:33.604s step_avg:2584.96ms
step:14/3325 train_time:35.414s step_avg:2529.60ms
step:15/3325 train_time:37.224s step_avg:2481.57ms
step:16/3325 train_time:39.035s step_avg:2439.67ms
step:17/3325 train_time:40.848s step_avg:2402.81ms
step:18/3325 train_time:42.662s step_avg:2370.08ms
step:19/3325 train_time:44.474s step_avg:2340.72ms
step:20/3325 train_time:46.287s step_avg:2314.36ms
step:21/3325 train_time:48.099s step_avg:2290.44ms
step:22/3325 train_time:49.913s step_avg:2268.76ms
step:23/3325 train_time:51.726s step_avg:2248.97ms
step:24/3325 train_time:53.540s step_avg:2230.83ms
step:25/3325 train_time:55.626s step_avg:2225.04ms
step:26/3325 train_time:57.439s step_avg:2209.18ms
step:27/3325 train_time:59.252s step_avg:2194.50ms
step:28/3325 train_time:61.066s step_avg:2180.92ms
step:29/3325 train_time:62.880s step_avg:2168.28ms
step:30/3325 train_time:64.711s step_avg:2157.03ms
step:31/3325 train_time:66.525s step_avg:2145.96ms
step:32/3325 train_time:68.339s step_avg:2135.59ms
step:33/3325 train_time:70.152s step_avg:2125.82ms
step:34/3325 train_time:71.969s step_avg:2116.74ms
step:35/3325 train_time:73.783s step_avg:2108.08ms
step:36/3325 train_time:75.598s step_avg:2099.96ms
step:37/3325 train_time:77.413s step_avg:2092.24ms
step:38/3325 train_time:79.229s step_avg:2084.97ms
step:39/3325 train_time:81.044s step_avg:2078.06ms
step:40/3325 train_time:82.861s step_avg:2071.51ms
step:41/3325 train_time:84.675s step_avg:2065.24ms
step:42/3325 train_time:86.489s step_avg:2059.26ms
step:43/3325 train_time:88.302s step_avg:2053.54ms
step:44/3325 train_time:90.118s step_avg:2048.13ms
step:45/3325 train_time:91.935s step_avg:2043.00ms
step:46/3325 train_time:93.751s step_avg:2038.08ms
step:47/3325 train_time:95.566s step_avg:2033.32ms
step:48/3325 train_time:97.382s step_avg:2028.78ms
step:49/3325 train_time:99.197s step_avg:2024.42ms
step:50/3325 train_time:104.114s step_avg:2082.27ms
step:51/3325 train_time:105.925s step_avg:2076.96ms
step:52/3325 train_time:107.737s step_avg:2071.86ms
step:53/3325 train_time:109.551s step_avg:2067.00ms
step:54/3325 train_time:111.366s step_avg:2062.33ms
step:55/3325 train_time:113.179s step_avg:2057.81ms
step:56/3325 train_time:114.993s step_avg:2053.45ms
step:57/3325 train_time:116.807s step_avg:2049.24ms
step:58/3325 train_time:118.621s step_avg:2045.19ms
step:59/3325 train_time:120.434s step_avg:2041.25ms
step:60/3325 train_time:122.266s step_avg:2037.76ms
step:61/3325 train_time:124.080s step_avg:2034.10ms
step:62/3325 train_time:125.895s step_avg:2030.56ms
step:63/3325 train_time:127.708s step_avg:2027.12ms
step:64/3325 train_time:129.523s step_avg:2023.80ms
step:65/3325 train_time:131.338s step_avg:2020.59ms
