logs/12dcab22-c31a-46ad-b4db-1a8a44f8000f.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run ts0v9z1q
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260531_223840-ts0v9z1q
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H342_arm_c_DEFAULT
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/ts0v9z1q
[H148 body_init=default] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.906365394592285, 'final_fnorm': 15.906365394592285}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.61053466796875, 'final_fnorm': 47.61053466796875}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.898819923400879, 'final_fnorm': 15.898819923400879}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.592979431152344, 'final_fnorm': 47.592979431152344}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.916711807250977, 'final_fnorm': 15.916711807250977}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.65572738647461, 'final_fnorm': 47.65572738647461}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=default] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.906365394592285}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.61053466796875}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.898819923400879}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.592979431152344}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.916711807250977}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.65572738647461}]
step:1/3325 train_time:6.918s step_avg:6917.87ms
step:2/3325 train_time:10.032s step_avg:5016.12ms
step:3/3325 train_time:12.287s step_avg:4095.70ms
step:4/3325 train_time:14.544s step_avg:3635.97ms
[rank0]:W0531 22:39:11.445000 640360 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0531 22:39:11.445000 640360 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:571)
[rank0]:W0531 22:39:11.445000 640360 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0531 22:39:11.445000 640360 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0531 22:39:11.445000 640360 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:16.356s step_avg:3271.29ms
step:6/3325 train_time:18.161s step_avg:3026.83ms
step:7/3325 train_time:19.967s step_avg:2852.42ms
step:8/3325 train_time:21.776s step_avg:2721.98ms
step:9/3325 train_time:23.585s step_avg:2620.55ms
step:10/3325 train_time:25.420s step_avg:2541.98ms
step:11/3325 train_time:27.230s step_avg:2475.48ms
step:12/3325 train_time:29.043s step_avg:2420.21ms
step:13/3325 train_time:30.854s step_avg:2373.35ms
step:14/3325 train_time:32.666s step_avg:2333.29ms
step:15/3325 train_time:34.479s step_avg:2298.58ms
step:16/3325 train_time:36.292s step_avg:2268.27ms
step:17/3325 train_time:38.105s step_avg:2241.45ms
step:18/3325 train_time:39.918s step_avg:2217.66ms
step:19/3325 train_time:41.731s step_avg:2196.36ms
step:20/3325 train_time:43.544s step_avg:2177.21ms
step:21/3325 train_time:45.361s step_avg:2160.03ms
step:22/3325 train_time:47.176s step_avg:2144.36ms
step:23/3325 train_time:48.990s step_avg:2130.01ms
step:24/3325 train_time:50.805s step_avg:2116.86ms
step:25/3325 train_time:52.892s step_avg:2115.68ms
step:26/3325 train_time:54.707s step_avg:2104.13ms
step:27/3325 train_time:56.523s step_avg:2093.44ms
step:28/3325 train_time:58.338s step_avg:2083.49ms
step:29/3325 train_time:60.152s step_avg:2074.22ms
step:30/3325 train_time:61.986s step_avg:2066.21ms
step:31/3325 train_time:63.801s step_avg:2058.11ms
