logs/f778b4ba-ca6c-4b5f-b038-15453c99c57a.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H375 Schedule-Free AdamW DISABLED (standard AdamW for AUX, safe-default bit-id)
AUX cooldown_frac=0.4 (H266 default=0.4; set to 0.0 to disable AUX cosine cooldown)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260601_202207-6wud3okf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H375_arm_a_CTRL
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/6wud3okf
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.934940338134766, 'final_fnorm': 15.934941291809082}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.663089752197266, 'final_fnorm': 47.663089752197266}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.914608001708984, 'final_fnorm': 15.914608001708984}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.66057205200195, 'final_fnorm': 47.66056823730469}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.926318168640137, 'final_fnorm': 15.926319122314453}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.59208297729492, 'final_fnorm': 47.59208297729492}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.934941291809082}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.663089752197266}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.914608001708984}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.66056823730469}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.926319122314453}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.59208297729492}]
step:1/3325 train_time:9.718s step_avg:9717.71ms
step:2/3325 train_time:12.825s step_avg:6412.37ms
step:3/3325 train_time:15.073s step_avg:5024.31ms
step:4/3325 train_time:17.328s step_avg:4331.96ms
[rank0]:W0601 20:22:41.817000 718442 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0601 20:22:41.817000 718442 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0601 20:22:41.817000 718442 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0601 20:22:41.817000 718442 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0601 20:22:41.817000 718442 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.136s step_avg:3827.23ms
step:6/3325 train_time:20.936s step_avg:3489.39ms
step:7/3325 train_time:22.737s step_avg:3248.20ms
step:8/3325 train_time:24.542s step_avg:3067.75ms
step:9/3325 train_time:26.346s step_avg:2927.32ms
step:10/3325 train_time:28.153s step_avg:2815.31ms
step:11/3325 train_time:29.959s step_avg:2723.52ms
step:12/3325 train_time:31.766s step_avg:2647.20ms
step:13/3325 train_time:33.574s step_avg:2582.58ms
step:14/3325 train_time:35.381s step_avg:2527.24ms
step:15/3325 train_time:37.191s step_avg:2479.43ms
step:16/3325 train_time:39.003s step_avg:2437.67ms
step:17/3325 train_time:40.814s step_avg:2400.82ms
step:18/3325 train_time:42.626s step_avg:2368.09ms
step:19/3325 train_time:44.436s step_avg:2338.76ms
step:20/3325 train_time:46.250s step_avg:2312.52ms
step:21/3325 train_time:48.064s step_avg:2288.76ms
step:22/3325 train_time:49.877s step_avg:2267.14ms
step:23/3325 train_time:51.689s step_avg:2247.34ms
step:24/3325 train_time:53.502s step_avg:2229.24ms
step:25/3325 train_time:55.596s step_avg:2223.82ms
step:26/3325 train_time:57.411s step_avg:2208.13ms
step:27/3325 train_time:59.225s step_avg:2193.53ms
step:28/3325 train_time:61.041s step_avg:2180.03ms
step:29/3325 train_time:62.855s step_avg:2167.42ms
step:30/3325 train_time:64.687s step_avg:2156.22ms
step:31/3325 train_time:66.503s step_avg:2145.25ms
step:32/3325 train_time:68.318s step_avg:2134.93ms
step:33/3325 train_time:70.132s step_avg:2125.21ms
step:34/3325 train_time:71.947s step_avg:2116.08ms
step:35/3325 train_time:73.762s step_avg:2107.50ms
step:36/3325 train_time:75.579s step_avg:2099.42ms
step:37/3325 train_time:77.396s step_avg:2091.77ms
step:38/3325 train_time:79.211s step_avg:2084.50ms
step:39/3325 train_time:81.026s step_avg:2077.59ms
step:40/3325 train_time:82.842s step_avg:2071.06ms
step:41/3325 train_time:84.658s step_avg:2064.83ms
step:42/3325 train_time:86.476s step_avg:2058.96ms
step:43/3325 train_time:88.293s step_avg:2053.32ms
step:44/3325 train_time:90.109s step_avg:2047.93ms
step:45/3325 train_time:91.925s step_avg:2042.77ms
step:46/3325 train_time:93.741s step_avg:2037.85ms
step:47/3325 train_time:95.557s step_avg:2033.13ms
step:48/3325 train_time:97.376s step_avg:2028.68ms
step:49/3325 train_time:99.194s step_avg:2024.37ms
step:50/3325 train_time:104.114s step_avg:2082.27ms
step:51/3325 train_time:105.929s step_avg:2077.03ms
step:52/3325 train_time:107.743s step_avg:2071.99ms
step:53/3325 train_time:109.560s step_avg:2067.16ms
step:54/3325 train_time:111.374s step_avg:2062.47ms
step:55/3325 train_time:113.187s step_avg:2057.94ms
step:56/3325 train_time:115.003s step_avg:2053.63ms
step:57/3325 train_time:116.818s step_avg:2049.44ms
step:58/3325 train_time:118.635s step_avg:2045.44ms
step:59/3325 train_time:120.451s step_avg:2041.55ms
step:60/3325 train_time:122.284s step_avg:2038.07ms
step:61/3325 train_time:124.100s step_avg:2034.42ms
step:62/3325 train_time:125.920s step_avg:2030.96ms
step:63/3325 train_time:127.736s step_avg:2027.56ms
step:64/3325 train_time:129.553s step_avg:2024.27ms
step:65/3325 train_time:131.368s step_avg:2021.05ms
step:66/3325 train_time:133.184s step_avg:2017.93ms
step:67/3325 train_time:135.000s step_avg:2014.92ms
step:68/3325 train_time:136.818s step_avg:2012.03ms
step:69/3325 train_time:138.636s step_avg:2009.21ms
step:70/3325 train_time:140.453s step_avg:2006.48ms
step:71/3325 train_time:142.269s step_avg:2003.79ms
step:72/3325 train_time:144.086s step_avg:2001.19ms
step:73/3325 train_time:145.901s step_avg:1998.65ms
step:74/3325 train_time:147.721s step_avg:1996.24ms
step:75/3325 train_time:149.813s step_avg:1997.50ms
step:76/3325 train_time:151.629s step_avg:1995.11ms
step:77/3325 train_time:153.445s step_avg:1992.80ms
step:78/3325 train_time:155.263s step_avg:1990.55ms
step:79/3325 train_time:157.080s step_avg:1988.36ms
step:80/3325 train_time:158.899s step_avg:1986.24ms
step:81/3325 train_time:160.716s step_avg:1984.15ms
step:82/3325 train_time:162.532s step_avg:1982.10ms
step:83/3325 train_time:164.349s step_avg:1980.10ms
step:84/3325 train_time:166.167s step_avg:1978.18ms
step:85/3325 train_time:167.985s step_avg:1976.29ms
step:86/3325 train_time:169.803s step_avg:1974.45ms
step:87/3325 train_time:171.619s step_avg:1972.64ms
step:88/3325 train_time:173.438s step_avg:1970.88ms
step:89/3325 train_time:175.255s step_avg:1969.16ms
step:90/3325 train_time:177.090s step_avg:1967.67ms
step:91/3325 train_time:178.909s step_avg:1966.04ms
step:92/3325 train_time:180.728s step_avg:1964.44ms
step:93/3325 train_time:182.545s step_avg:1962.85ms
step:94/3325 train_time:184.365s step_avg:1961.33ms
step:95/3325 train_time:186.183s step_avg:1959.82ms
step:96/3325 train_time:188.005s step_avg:1958.39ms
step:97/3325 train_time:189.824s step_avg:1956.95ms
step:98/3325 train_time:191.643s step_avg:1955.54ms
step:99/3325 train_time:193.461s step_avg:1954.15ms
step:100/3325 train_time:195.552s step_avg:1955.52ms
step:101/3325 train_time:197.369s step_avg:1954.15ms
step:102/3325 train_time:199.186s step_avg:1952.80ms
step:103/3325 train_time:201.002s step_avg:1951.47ms
step:104/3325 train_time:202.820s step_avg:1950.19ms
step:105/3325 train_time:204.638s step_avg:1948.93ms
step:106/3325 train_time:206.457s step_avg:1947.71ms
step:107/3325 train_time:208.276s step_avg:1946.51ms
step:108/3325 train_time:210.095s step_avg:1945.32ms
step:109/3325 train_time:211.912s step_avg:1944.15ms
step:110/3325 train_time:213.731s step_avg:1943.01ms
step:111/3325 train_time:215.549s step_avg:1941.88ms
step:112/3325 train_time:217.370s step_avg:1940.80ms
step:113/3325 train_time:219.187s step_avg:1939.71ms
step:114/3325 train_time:221.004s step_avg:1938.63ms
step:115/3325 train_time:222.821s step_avg:1937.57ms
step:116/3325 train_time:224.637s step_avg:1936.53ms
step:117/3325 train_time:226.456s step_avg:1935.52ms
step:118/3325 train_time:228.277s step_avg:1934.55ms
step:119/3325 train_time:230.096s step_avg:1933.58ms
step:120/3325 train_time:231.929s step_avg:1932.75ms
step:121/3325 train_time:233.746s step_avg:1931.79ms
step:122/3325 train_time:235.565s step_avg:1930.86ms
step:123/3325 train_time:237.385s step_avg:1929.96ms
step:124/3325 train_time:239.205s step_avg:1929.07ms
step:125/3325 train_time:241.362s step_avg:1930.90ms
step:125/3325 val_loss:4.94298 train_time:241.362s step_avg:1930.90ms
step:126/3325 train_time:243.181s step_avg:1930.01ms
step:127/3325 train_time:244.999s step_avg:1929.13ms
step:128/3325 train_time:246.818s step_avg:1928.27ms
step:129/3325 train_time:248.636s step_avg:1927.41ms
step:130/3325 train_time:250.455s step_avg:1926.57ms
step:131/3325 train_time:252.273s step_avg:1925.75ms
step:132/3325 train_time:254.089s step_avg:1924.92ms
step:133/3325 train_time:255.908s step_avg:1924.12ms
step:134/3325 train_time:257.727s step_avg:1923.34ms
step:135/3325 train_time:259.546s step_avg:1922.56ms
step:136/3325 train_time:261.363s step_avg:1921.79ms
step:137/3325 train_time:263.180s step_avg:1921.02ms
step:138/3325 train_time:264.998s step_avg:1920.27ms
step:139/3325 train_time:266.816s step_avg:1919.54ms
step:140/3325 train_time:268.634s step_avg:1918.81ms
step:141/3325 train_time:270.452s step_avg:1918.10ms
step:142/3325 train_time:272.270s step_avg:1917.40ms
step:143/3325 train_time:274.086s step_avg:1916.69ms
step:144/3325 train_time:275.905s step_avg:1916.01ms
step:145/3325 train_time:277.722s step_avg:1915.32ms
step:146/3325 train_time:279.539s step_avg:1914.65ms
step:147/3325 train_time:281.356s step_avg:1913.99ms
step:148/3325 train_time:283.175s step_avg:1913.35ms
step:149/3325 train_time:284.994s step_avg:1912.71ms
step:150/3325 train_time:287.103s step_avg:1914.02ms
step:151/3325 train_time:288.919s step_avg:1913.37ms
step:152/3325 train_time:290.736s step_avg:1912.74ms
step:153/3325 train_time:292.552s step_avg:1912.10ms
step:154/3325 train_time:294.368s step_avg:1911.48ms
step:155/3325 train_time:296.187s step_avg:1910.88ms
step:156/3325 train_time:298.006s step_avg:1910.30ms
step:157/3325 train_time:299.824s step_avg:1909.71ms
step:158/3325 train_time:301.641s step_avg:1909.12ms
step:159/3325 train_time:303.458s step_avg:1908.54ms
step:160/3325 train_time:305.276s step_avg:1907.97ms
step:161/3325 train_time:307.094s step_avg:1907.42ms
step:162/3325 train_time:308.913s step_avg:1906.87ms
step:163/3325 train_time:310.731s step_avg:1906.32ms
step:164/3325 train_time:312.549s step_avg:1905.78ms
step:165/3325 train_time:314.366s step_avg:1905.25ms
step:166/3325 train_time:316.183s step_avg:1904.72ms
step:167/3325 train_time:318.000s step_avg:1904.19ms
step:168/3325 train_time:319.818s step_avg:1903.68ms
step:169/3325 train_time:321.635s step_avg:1903.17ms
step:170/3325 train_time:323.454s step_avg:1902.67ms
step:171/3325 train_time:325.273s step_avg:1902.18ms
step:172/3325 train_time:327.091s step_avg:1901.69ms
step:173/3325 train_time:328.909s step_avg:1901.21ms
step:174/3325 train_time:330.726s step_avg:1900.73ms
step:175/3325 train_time:332.816s step_avg:1901.81ms
step:176/3325 train_time:334.634s step_avg:1901.33ms
step:177/3325 train_time:336.451s step_avg:1900.85ms
step:178/3325 train_time:338.269s step_avg:1900.39ms
step:179/3325 train_time:340.086s step_avg:1899.92ms
step:180/3325 train_time:341.918s step_avg:1899.55ms
step:181/3325 train_time:343.735s step_avg:1899.09ms
step:182/3325 train_time:345.554s step_avg:1898.65ms
step:183/3325 train_time:347.371s step_avg:1898.20ms
step:184/3325 train_time:349.188s step_avg:1897.76ms
step:185/3325 train_time:351.004s step_avg:1897.32ms
step:186/3325 train_time:352.820s step_avg:1896.88ms
step:187/3325 train_time:354.637s step_avg:1896.46ms
step:188/3325 train_time:356.454s step_avg:1896.03ms
step:189/3325 train_time:358.270s step_avg:1895.61ms
step:190/3325 train_time:360.086s step_avg:1895.19ms
step:191/3325 train_time:362.011s step_avg:1895.35ms
step:192/3325 train_time:363.828s step_avg:1894.94ms
step:193/3325 train_time:365.644s step_avg:1894.53ms
step:194/3325 train_time:367.460s step_avg:1894.13ms
step:195/3325 train_time:369.278s step_avg:1893.73ms
step:196/3325 train_time:371.095s step_avg:1893.34ms
step:197/3325 train_time:372.911s step_avg:1892.95ms
step:198/3325 train_time:374.729s step_avg:1892.57ms
step:199/3325 train_time:376.546s step_avg:1892.19ms
step:200/3325 train_time:378.636s step_avg:1893.18ms
step:201/3325 train_time:380.452s step_avg:1892.79ms
step:202/3325 train_time:382.267s step_avg:1892.41ms
step:203/3325 train_time:384.083s step_avg:1892.03ms
step:204/3325 train_time:385.901s step_avg:1891.67ms
step:205/3325 train_time:387.717s step_avg:1891.30ms
step:206/3325 train_time:389.534s step_avg:1890.94ms
step:207/3325 train_time:391.350s step_avg:1890.58ms
step:208/3325 train_time:393.166s step_avg:1890.22ms
step:209/3325 train_time:394.982s step_avg:1889.87ms
step:210/3325 train_time:396.814s step_avg:1889.59ms
step:211/3325 train_time:398.629s step_avg:1889.23ms
step:212/3325 train_time:400.444s step_avg:1888.89ms
step:213/3325 train_time:402.258s step_avg:1888.54ms
step:214/3325 train_time:404.075s step_avg:1888.20ms
step:215/3325 train_time:405.893s step_avg:1887.87ms
step:216/3325 train_time:407.708s step_avg:1887.54ms
step:217/3325 train_time:409.523s step_avg:1887.20ms
step:218/3325 train_time:411.338s step_avg:1886.87ms
step:219/3325 train_time:413.151s step_avg:1886.54ms
step:220/3325 train_time:414.969s step_avg:1886.22ms
step:221/3325 train_time:416.785s step_avg:1885.91ms
step:222/3325 train_time:418.601s step_avg:1885.59ms
step:223/3325 train_time:420.416s step_avg:1885.27ms
step:224/3325 train_time:422.231s step_avg:1884.96ms
step:225/3325 train_time:424.318s step_avg:1885.86ms
step:226/3325 train_time:426.135s step_avg:1885.55ms
step:227/3325 train_time:427.949s step_avg:1885.24ms
step:228/3325 train_time:429.763s step_avg:1884.93ms
step:229/3325 train_time:431.579s step_avg:1884.63ms
step:230/3325 train_time:433.395s step_avg:1884.33ms
step:231/3325 train_time:435.210s step_avg:1884.03ms
step:232/3325 train_time:437.027s step_avg:1883.74ms
step:233/3325 train_time:438.841s step_avg:1883.44ms
step:234/3325 train_time:440.656s step_avg:1883.15ms
step:235/3325 train_time:442.470s step_avg:1882.85ms
step:236/3325 train_time:444.285s step_avg:1882.56ms
step:237/3325 train_time:446.101s step_avg:1882.28ms
