logs/e5272189-2ae0-42c0-bc39-ef4b0b32e4f0.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H375 Schedule-Free AdamW ENABLED for AUX optimizer (iterate averaging + interpolation)
AUX cooldown_frac=0.4 (H266 default=0.4; set to 0.0 to disable AUX cosine cooldown)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260601_221119-2l8bik5c
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H375_arm_b_SF_COSINE
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/2l8bik5c
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.921792984008789, 'final_fnorm': 15.921793937683105}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.60833740234375, 'final_fnorm': 47.60833740234375}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.927311897277832, 'final_fnorm': 15.927311897277832}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.602725982666016, 'final_fnorm': 47.60272979736328}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.93356704711914, 'final_fnorm': 15.93356704711914}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.62191390991211, 'final_fnorm': 47.62191390991211}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.921793937683105}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.60833740234375}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.927311897277832}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.60272979736328}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.93356704711914}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.62191390991211}]
step:1/3325 train_time:9.708s step_avg:9708.27ms
step:2/3325 train_time:12.793s step_avg:6396.55ms
step:3/3325 train_time:15.056s step_avg:5018.76ms
step:4/3325 train_time:17.314s step_avg:4328.53ms
[rank0]:W0601 22:11:53.624000 724191 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0601 22:11:53.624000 724191 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0601 22:11:53.624000 724191 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0601 22:11:53.624000 724191 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0601 22:11:53.624000 724191 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.132s step_avg:3826.32ms
step:6/3325 train_time:20.940s step_avg:3489.98ms
step:7/3325 train_time:22.750s step_avg:3250.06ms
step:8/3325 train_time:24.562s step_avg:3070.25ms
step:9/3325 train_time:26.375s step_avg:2930.61ms
step:10/3325 train_time:28.191s step_avg:2819.12ms
step:11/3325 train_time:30.007s step_avg:2727.87ms
step:12/3325 train_time:31.824s step_avg:2651.96ms
step:13/3325 train_time:33.640s step_avg:2587.72ms
step:14/3325 train_time:35.459s step_avg:2532.79ms
step:15/3325 train_time:37.277s step_avg:2485.13ms
step:16/3325 train_time:39.096s step_avg:2443.49ms
step:17/3325 train_time:40.913s step_avg:2406.68ms
step:18/3325 train_time:42.733s step_avg:2374.07ms
step:19/3325 train_time:44.552s step_avg:2344.85ms
step:20/3325 train_time:46.374s step_avg:2318.69ms
step:21/3325 train_time:48.192s step_avg:2294.88ms
step:22/3325 train_time:50.012s step_avg:2273.25ms
step:23/3325 train_time:51.831s step_avg:2253.52ms
step:24/3325 train_time:53.651s step_avg:2235.48ms
step:25/3325 train_time:55.744s step_avg:2229.77ms
step:26/3325 train_time:57.565s step_avg:2214.03ms
step:27/3325 train_time:59.385s step_avg:2199.44ms
step:28/3325 train_time:61.206s step_avg:2185.92ms
step:29/3325 train_time:63.026s step_avg:2173.31ms
step:30/3325 train_time:64.866s step_avg:2162.20ms
step:31/3325 train_time:66.689s step_avg:2151.25ms
step:32/3325 train_time:68.510s step_avg:2140.93ms
step:33/3325 train_time:70.331s step_avg:2131.24ms
step:34/3325 train_time:72.151s step_avg:2122.09ms
step:35/3325 train_time:73.972s step_avg:2113.48ms
step:36/3325 train_time:75.795s step_avg:2105.43ms
step:37/3325 train_time:77.617s step_avg:2097.75ms
step:38/3325 train_time:79.439s step_avg:2090.49ms
step:39/3325 train_time:81.260s step_avg:2083.59ms
step:40/3325 train_time:83.083s step_avg:2077.07ms
step:41/3325 train_time:84.907s step_avg:2070.91ms
step:42/3325 train_time:86.731s step_avg:2065.01ms
step:43/3325 train_time:88.553s step_avg:2059.38ms
step:44/3325 train_time:90.375s step_avg:2053.98ms
step:45/3325 train_time:92.198s step_avg:2048.84ms
step:46/3325 train_time:94.021s step_avg:2043.94ms
step:47/3325 train_time:95.847s step_avg:2039.30ms
step:48/3325 train_time:97.670s step_avg:2034.80ms
step:49/3325 train_time:99.494s step_avg:2030.48ms
step:50/3325 train_time:104.413s step_avg:2088.26ms
step:51/3325 train_time:106.235s step_avg:2083.04ms
step:52/3325 train_time:108.056s step_avg:2078.00ms
step:53/3325 train_time:109.878s step_avg:2073.17ms
step:54/3325 train_time:111.698s step_avg:2068.48ms
step:55/3325 train_time:113.519s step_avg:2063.99ms
step:56/3325 train_time:115.343s step_avg:2059.69ms
step:57/3325 train_time:117.165s step_avg:2055.52ms
step:58/3325 train_time:118.987s step_avg:2051.50ms
step:59/3325 train_time:120.809s step_avg:2047.60ms
step:60/3325 train_time:122.647s step_avg:2044.12ms
step:61/3325 train_time:124.469s step_avg:2040.48ms
step:62/3325 train_time:126.295s step_avg:2037.02ms
step:63/3325 train_time:128.118s step_avg:2033.62ms
step:64/3325 train_time:129.939s step_avg:2030.29ms
step:65/3325 train_time:131.762s step_avg:2027.11ms
step:66/3325 train_time:133.585s step_avg:2024.02ms
step:67/3325 train_time:135.410s step_avg:2021.04ms
step:68/3325 train_time:137.233s step_avg:2018.14ms
step:69/3325 train_time:139.057s step_avg:2015.32ms
step:70/3325 train_time:140.882s step_avg:2012.60ms
step:71/3325 train_time:142.705s step_avg:2009.93ms
step:72/3325 train_time:144.531s step_avg:2007.37ms
step:73/3325 train_time:146.355s step_avg:2004.86ms
step:74/3325 train_time:148.179s step_avg:2002.42ms
step:75/3325 train_time:150.275s step_avg:2003.66ms
step:76/3325 train_time:152.097s step_avg:2001.27ms
step:77/3325 train_time:153.920s step_avg:1998.96ms
step:78/3325 train_time:155.746s step_avg:1996.74ms
step:79/3325 train_time:157.569s step_avg:1994.55ms
step:80/3325 train_time:159.394s step_avg:1992.42ms
step:81/3325 train_time:161.217s step_avg:1990.33ms
step:82/3325 train_time:163.040s step_avg:1988.29ms
step:83/3325 train_time:164.865s step_avg:1986.32ms
step:84/3325 train_time:166.689s step_avg:1984.39ms
step:85/3325 train_time:168.514s step_avg:1982.52ms
step:86/3325 train_time:170.337s step_avg:1980.67ms
step:87/3325 train_time:172.161s step_avg:1978.86ms
step:88/3325 train_time:173.985s step_avg:1977.10ms
step:89/3325 train_time:175.810s step_avg:1975.39ms
step:90/3325 train_time:177.652s step_avg:1973.91ms
step:91/3325 train_time:179.474s step_avg:1972.24ms
step:92/3325 train_time:181.297s step_avg:1970.62ms
step:93/3325 train_time:183.122s step_avg:1969.05ms
step:94/3325 train_time:184.948s step_avg:1967.53ms
step:95/3325 train_time:186.774s step_avg:1966.05ms
step:96/3325 train_time:188.597s step_avg:1964.55ms
step:97/3325 train_time:190.420s step_avg:1963.10ms
step:98/3325 train_time:192.244s step_avg:1961.68ms
step:99/3325 train_time:194.069s step_avg:1960.29ms
step:100/3325 train_time:196.173s step_avg:1961.73ms
step:101/3325 train_time:197.995s step_avg:1960.34ms
step:102/3325 train_time:199.817s step_avg:1958.99ms
step:103/3325 train_time:201.640s step_avg:1957.67ms
step:104/3325 train_time:203.463s step_avg:1956.37ms
step:105/3325 train_time:205.287s step_avg:1955.12ms
step:106/3325 train_time:207.112s step_avg:1953.89ms
step:107/3325 train_time:208.935s step_avg:1952.67ms
step:108/3325 train_time:210.759s step_avg:1951.48ms
step:109/3325 train_time:212.583s step_avg:1950.31ms
step:110/3325 train_time:214.409s step_avg:1949.17ms
step:111/3325 train_time:216.235s step_avg:1948.07ms
step:112/3325 train_time:218.058s step_avg:1946.95ms
step:113/3325 train_time:219.881s step_avg:1945.85ms
step:114/3325 train_time:221.706s step_avg:1944.79ms
step:115/3325 train_time:223.531s step_avg:1943.74ms
step:116/3325 train_time:225.356s step_avg:1942.72ms
step:117/3325 train_time:227.180s step_avg:1941.71ms
step:118/3325 train_time:229.003s step_avg:1940.71ms
step:119/3325 train_time:230.828s step_avg:1939.73ms
step:120/3325 train_time:232.668s step_avg:1938.90ms
step:121/3325 train_time:234.492s step_avg:1937.95ms
step:122/3325 train_time:236.317s step_avg:1937.02ms
step:123/3325 train_time:238.140s step_avg:1936.10ms
step:124/3325 train_time:239.963s step_avg:1935.19ms
step:125/3325 train_time:242.123s step_avg:1936.99ms
step:125/3325 val_loss:5.12245 train_time:242.124s step_avg:1936.99ms
step:126/3325 train_time:243.951s step_avg:1936.12ms
step:127/3325 train_time:245.776s step_avg:1935.24ms
step:128/3325 train_time:247.599s step_avg:1934.36ms
step:129/3325 train_time:249.422s step_avg:1933.50ms
step:130/3325 train_time:251.245s step_avg:1932.66ms
step:131/3325 train_time:253.069s step_avg:1931.83ms
step:132/3325 train_time:254.895s step_avg:1931.02ms
step:133/3325 train_time:256.718s step_avg:1930.21ms
step:134/3325 train_time:258.542s step_avg:1929.42ms
step:135/3325 train_time:260.364s step_avg:1928.62ms
step:136/3325 train_time:262.187s step_avg:1927.84ms
step:137/3325 train_time:264.011s step_avg:1927.09ms
step:138/3325 train_time:265.835s step_avg:1926.34ms
step:139/3325 train_time:267.659s step_avg:1925.61ms
step:140/3325 train_time:269.484s step_avg:1924.89ms
step:141/3325 train_time:271.307s step_avg:1924.16ms
step:142/3325 train_time:273.132s step_avg:1923.47ms
step:143/3325 train_time:274.957s step_avg:1922.77ms
step:144/3325 train_time:276.781s step_avg:1922.09ms
step:145/3325 train_time:278.603s step_avg:1921.40ms
step:146/3325 train_time:280.426s step_avg:1920.73ms
step:147/3325 train_time:282.249s step_avg:1920.06ms
step:148/3325 train_time:284.075s step_avg:1919.42ms
step:149/3325 train_time:285.900s step_avg:1918.79ms
step:150/3325 train_time:288.010s step_avg:1920.07ms
step:151/3325 train_time:289.834s step_avg:1919.43ms
step:152/3325 train_time:291.657s step_avg:1918.80ms
step:153/3325 train_time:293.482s step_avg:1918.18ms
step:154/3325 train_time:295.306s step_avg:1917.57ms
step:155/3325 train_time:297.128s step_avg:1916.96ms
step:156/3325 train_time:298.951s step_avg:1916.35ms
step:157/3325 train_time:300.774s step_avg:1915.76ms
step:158/3325 train_time:302.598s step_avg:1915.18ms
step:159/3325 train_time:304.425s step_avg:1914.63ms
step:160/3325 train_time:306.249s step_avg:1914.06ms
step:161/3325 train_time:308.073s step_avg:1913.50ms
step:162/3325 train_time:309.896s step_avg:1912.94ms
step:163/3325 train_time:311.721s step_avg:1912.40ms
step:164/3325 train_time:313.545s step_avg:1911.86ms
step:165/3325 train_time:315.368s step_avg:1911.32ms
step:166/3325 train_time:317.191s step_avg:1910.79ms
step:167/3325 train_time:319.013s step_avg:1910.26ms
step:168/3325 train_time:320.837s step_avg:1909.74ms
step:169/3325 train_time:322.661s step_avg:1909.24ms
step:170/3325 train_time:324.488s step_avg:1908.75ms
step:171/3325 train_time:326.311s step_avg:1908.25ms
step:172/3325 train_time:328.134s step_avg:1907.76ms
step:173/3325 train_time:329.959s step_avg:1907.27ms
step:174/3325 train_time:331.782s step_avg:1906.79ms
step:175/3325 train_time:333.880s step_avg:1907.89ms
step:176/3325 train_time:335.702s step_avg:1907.40ms
step:177/3325 train_time:337.525s step_avg:1906.92ms
step:178/3325 train_time:339.347s step_avg:1906.45ms
step:179/3325 train_time:341.170s step_avg:1905.98ms
step:180/3325 train_time:343.010s step_avg:1905.61ms
step:181/3325 train_time:344.833s step_avg:1905.16ms
step:182/3325 train_time:346.658s step_avg:1904.71ms
step:183/3325 train_time:348.481s step_avg:1904.27ms
step:184/3325 train_time:350.303s step_avg:1903.82ms
step:185/3325 train_time:352.125s step_avg:1903.38ms
step:186/3325 train_time:353.947s step_avg:1902.94ms
step:187/3325 train_time:355.770s step_avg:1902.51ms
step:188/3325 train_time:357.593s step_avg:1902.09ms
step:189/3325 train_time:359.415s step_avg:1901.67ms
step:190/3325 train_time:361.237s step_avg:1901.25ms
step:191/3325 train_time:363.169s step_avg:1901.41ms
step:192/3325 train_time:364.993s step_avg:1901.01ms
step:193/3325 train_time:366.816s step_avg:1900.60ms
step:194/3325 train_time:368.639s step_avg:1900.20ms
step:195/3325 train_time:370.461s step_avg:1899.80ms
step:196/3325 train_time:372.283s step_avg:1899.40ms
step:197/3325 train_time:374.107s step_avg:1899.02ms
step:198/3325 train_time:375.928s step_avg:1898.63ms
step:199/3325 train_time:377.751s step_avg:1898.25ms
step:200/3325 train_time:379.846s step_avg:1899.23ms
step:201/3325 train_time:381.667s step_avg:1898.84ms
step:202/3325 train_time:383.488s step_avg:1898.46ms
step:203/3325 train_time:385.311s step_avg:1898.08ms
step:204/3325 train_time:387.134s step_avg:1897.72ms
step:205/3325 train_time:388.956s step_avg:1897.35ms
step:206/3325 train_time:390.779s step_avg:1896.99ms
step:207/3325 train_time:392.601s step_avg:1896.62ms
step:208/3325 train_time:394.426s step_avg:1896.28ms
step:209/3325 train_time:396.248s step_avg:1895.92ms
step:210/3325 train_time:398.086s step_avg:1895.65ms
step:211/3325 train_time:399.906s step_avg:1895.29ms
step:212/3325 train_time:401.727s step_avg:1894.94ms
step:213/3325 train_time:403.550s step_avg:1894.60ms
step:214/3325 train_time:405.373s step_avg:1894.27ms
step:215/3325 train_time:407.195s step_avg:1893.93ms
step:216/3325 train_time:409.015s step_avg:1893.59ms
step:217/3325 train_time:410.837s step_avg:1893.26ms
step:218/3325 train_time:412.658s step_avg:1892.93ms
step:219/3325 train_time:414.483s step_avg:1892.62ms
step:220/3325 train_time:416.305s step_avg:1892.30ms
step:221/3325 train_time:418.126s step_avg:1891.98ms
step:222/3325 train_time:419.948s step_avg:1891.66ms
step:223/3325 train_time:421.769s step_avg:1891.34ms
step:224/3325 train_time:423.593s step_avg:1891.04ms
step:225/3325 train_time:425.688s step_avg:1891.95ms
step:226/3325 train_time:427.509s step_avg:1891.63ms
step:227/3325 train_time:429.331s step_avg:1891.32ms
step:228/3325 train_time:431.151s step_avg:1891.01ms
step:229/3325 train_time:432.973s step_avg:1890.71ms
step:230/3325 train_time:434.796s step_avg:1890.42ms
step:231/3325 train_time:436.617s step_avg:1890.12ms
step:232/3325 train_time:438.438s step_avg:1889.82ms
step:233/3325 train_time:440.260s step_avg:1889.53ms
step:234/3325 train_time:442.081s step_avg:1889.23ms
step:235/3325 train_time:443.903s step_avg:1888.95ms
step:236/3325 train_time:445.725s step_avg:1888.66ms
step:237/3325 train_time:447.545s step_avg:1888.38ms
step:238/3325 train_time:449.366s step_avg:1888.09ms
step:239/3325 train_time:451.187s step_avg:1887.81ms
step:240/3325 train_time:453.027s step_avg:1887.61ms
step:241/3325 train_time:454.849s step_avg:1887.34ms
step:242/3325 train_time:456.669s step_avg:1887.06ms
step:243/3325 train_time:458.489s step_avg:1886.79ms
step:244/3325 train_time:460.310s step_avg:1886.52ms
step:245/3325 train_time:462.132s step_avg:1886.25ms
step:246/3325 train_time:463.953s step_avg:1885.99ms
step:247/3325 train_time:465.774s step_avg:1885.72ms
step:248/3325 train_time:467.594s step_avg:1885.46ms
step:249/3325 train_time:469.415s step_avg:1885.20ms
step:250/3325 train_time:474.191s step_avg:1896.76ms
step:250/3325 val_loss:4.33702 train_time:474.192s step_avg:1856.54ms
step:251/3325 train_time:476.012s step_avg:1896.46ms
step:252/3325 train_time:477.832s step_avg:1896.16ms
step:253/3325 train_time:479.652s step_avg:1895.86ms
step:254/3325 train_time:481.472s step_avg:1895.56ms
step:255/3325 train_time:483.291s step_avg:1895.26ms
step:256/3325 train_time:485.110s step_avg:1894.96ms
step:257/3325 train_time:486.930s step_avg:1894.67ms
step:258/3325 train_time:488.749s step_avg:1894.37ms
step:259/3325 train_time:490.569s step_avg:1894.09ms
step:260/3325 train_time:492.389s step_avg:1893.80ms
step:261/3325 train_time:494.210s step_avg:1893.52ms
step:262/3325 train_time:496.030s step_avg:1893.24ms
step:263/3325 train_time:497.849s step_avg:1892.96ms
step:264/3325 train_time:499.668s step_avg:1892.68ms
step:265/3325 train_time:501.488s step_avg:1892.41ms
step:266/3325 train_time:503.308s step_avg:1892.13ms
step:267/3325 train_time:505.127s step_avg:1891.86ms
step:268/3325 train_time:506.946s step_avg:1891.59ms
step:269/3325 train_time:508.766s step_avg:1891.32ms
step:270/3325 train_time:510.601s step_avg:1891.12ms
step:271/3325 train_time:512.423s step_avg:1890.86ms
step:272/3325 train_time:514.243s step_avg:1890.60ms
step:273/3325 train_time:516.063s step_avg:1890.34ms
step:274/3325 train_time:517.885s step_avg:1890.09ms
step:275/3325 train_time:519.978s step_avg:1890.83ms
step:276/3325 train_time:521.799s step_avg:1890.58ms
step:277/3325 train_time:523.619s step_avg:1890.32ms
step:278/3325 train_time:525.438s step_avg:1890.06ms
step:279/3325 train_time:527.258s step_avg:1889.81ms
step:280/3325 train_time:529.078s step_avg:1889.56ms
step:281/3325 train_time:530.898s step_avg:1889.32ms
step:282/3325 train_time:532.719s step_avg:1889.07ms
step:283/3325 train_time:534.538s step_avg:1888.83ms
step:284/3325 train_time:536.357s step_avg:1888.58ms
step:285/3325 train_time:538.177s step_avg:1888.34ms
step:286/3325 train_time:539.996s step_avg:1888.10ms
step:287/3325 train_time:541.817s step_avg:1887.86ms
step:288/3325 train_time:543.638s step_avg:1887.63ms
step:289/3325 train_time:545.457s step_avg:1887.39ms
step:290/3325 train_time:547.276s step_avg:1887.16ms
step:291/3325 train_time:549.095s step_avg:1886.93ms
step:292/3325 train_time:550.916s step_avg:1886.70ms
step:293/3325 train_time:552.738s step_avg:1886.48ms
step:294/3325 train_time:554.558s step_avg:1886.25ms
step:295/3325 train_time:556.376s step_avg:1886.02ms
step:296/3325 train_time:558.195s step_avg:1885.79ms
step:297/3325 train_time:560.015s step_avg:1885.57ms
step:298/3325 train_time:561.836s step_avg:1885.35ms
step:299/3325 train_time:563.656s step_avg:1885.14ms
step:300/3325 train_time:565.763s step_avg:1885.88ms
step:301/3325 train_time:567.581s step_avg:1885.65ms
step:302/3325 train_time:569.399s step_avg:1885.43ms
step:303/3325 train_time:571.218s step_avg:1885.21ms
step:304/3325 train_time:573.039s step_avg:1885.00ms
