logs/f9563c7b-7da1-4183-949f-ca2f303b75e8.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H375 Schedule-Free AdamW ENABLED for AUX optimizer (iterate averaging + interpolation)
AUX cooldown_frac=0.0 (H266 default=0.4; set to 0.0 to disable AUX cosine cooldown)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.0
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260602_000048-kjyq6duc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-askeladd/H375_arm_c_SF_NOCOSINE
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/kjyq6duc
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.923686027526855, 'final_fnorm': 15.923686027526855}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.656005859375, 'final_fnorm': 47.656005859375}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.934048652648926, 'final_fnorm': 15.934049606323242}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.59903335571289, 'final_fnorm': 47.599037170410156}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.909088134765625, 'final_fnorm': 15.909089088439941}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.64348602294922, 'final_fnorm': 47.643489837646484}]
H266 Polyak EMA buffer initialized: decay=0.05, total_bytes=0.53GB
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.923686027526855}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.656005859375}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.934049606323242}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.599037170410156}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.909089088439941}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.643489837646484}]
step:1/3325 train_time:9.699s step_avg:9699.33ms
step:2/3325 train_time:12.810s step_avg:6404.88ms
step:3/3325 train_time:15.069s step_avg:5022.85ms
step:4/3325 train_time:17.332s step_avg:4333.05ms
[rank0]:W0602 00:01:22.669000 730898 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0602 00:01:22.669000 730898 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0602 00:01:22.669000 730898 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0602 00:01:22.669000 730898 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0602 00:01:22.669000 730898 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.148s step_avg:3829.60ms
step:6/3325 train_time:20.956s step_avg:3492.70ms
step:7/3325 train_time:22.765s step_avg:3252.15ms
step:8/3325 train_time:24.576s step_avg:3072.00ms
step:9/3325 train_time:26.391s step_avg:2932.30ms
step:10/3325 train_time:28.204s step_avg:2820.43ms
step:11/3325 train_time:30.018s step_avg:2728.91ms
step:12/3325 train_time:31.833s step_avg:2652.78ms
step:13/3325 train_time:33.648s step_avg:2588.28ms
step:14/3325 train_time:35.463s step_avg:2533.06ms
step:15/3325 train_time:37.279s step_avg:2485.26ms
step:16/3325 train_time:39.095s step_avg:2443.45ms
step:17/3325 train_time:40.911s step_avg:2406.52ms
step:18/3325 train_time:42.727s step_avg:2373.72ms
step:19/3325 train_time:44.543s step_avg:2344.38ms
step:20/3325 train_time:46.362s step_avg:2318.08ms
step:21/3325 train_time:48.180s step_avg:2294.26ms
step:22/3325 train_time:49.996s step_avg:2272.56ms
step:23/3325 train_time:51.813s step_avg:2252.73ms
step:24/3325 train_time:53.630s step_avg:2234.56ms
step:25/3325 train_time:55.719s step_avg:2228.74ms
step:26/3325 train_time:57.537s step_avg:2212.98ms
step:27/3325 train_time:59.355s step_avg:2198.34ms
step:28/3325 train_time:61.174s step_avg:2184.80ms
step:29/3325 train_time:62.993s step_avg:2172.16ms
step:30/3325 train_time:64.828s step_avg:2160.95ms
step:31/3325 train_time:66.648s step_avg:2149.92ms
step:32/3325 train_time:68.466s step_avg:2139.56ms
step:33/3325 train_time:70.285s step_avg:2129.84ms
step:34/3325 train_time:72.104s step_avg:2120.70ms
step:35/3325 train_time:73.924s step_avg:2112.10ms
step:36/3325 train_time:75.745s step_avg:2104.03ms
step:37/3325 train_time:77.567s step_avg:2096.40ms
step:38/3325 train_time:79.386s step_avg:2089.11ms
step:39/3325 train_time:81.206s step_avg:2082.22ms
step:40/3325 train_time:83.027s step_avg:2075.67ms
step:41/3325 train_time:84.846s step_avg:2069.41ms
step:42/3325 train_time:86.666s step_avg:2063.48ms
step:43/3325 train_time:88.486s step_avg:2057.80ms
step:44/3325 train_time:90.306s step_avg:2052.41ms
step:45/3325 train_time:92.127s step_avg:2047.27ms
step:46/3325 train_time:93.948s step_avg:2042.34ms
step:47/3325 train_time:95.769s step_avg:2037.63ms
step:48/3325 train_time:97.592s step_avg:2033.16ms
step:49/3325 train_time:99.412s step_avg:2028.81ms
step:50/3325 train_time:104.329s step_avg:2086.58ms
step:51/3325 train_time:106.149s step_avg:2081.35ms
step:52/3325 train_time:107.967s step_avg:2076.29ms
step:53/3325 train_time:109.785s step_avg:2071.42ms
step:54/3325 train_time:111.604s step_avg:2066.74ms
step:55/3325 train_time:113.422s step_avg:2062.21ms
step:56/3325 train_time:115.241s step_avg:2057.88ms
step:57/3325 train_time:117.063s step_avg:2053.73ms
step:58/3325 train_time:118.882s step_avg:2049.70ms
step:59/3325 train_time:120.701s step_avg:2045.78ms
step:60/3325 train_time:122.537s step_avg:2042.29ms
step:61/3325 train_time:124.357s step_avg:2038.63ms
step:62/3325 train_time:126.180s step_avg:2035.15ms
step:63/3325 train_time:127.999s step_avg:2031.74ms
step:64/3325 train_time:129.818s step_avg:2028.41ms
step:65/3325 train_time:131.637s step_avg:2025.19ms
step:66/3325 train_time:133.457s step_avg:2022.08ms
step:67/3325 train_time:135.278s step_avg:2019.08ms
step:68/3325 train_time:137.101s step_avg:2016.19ms
step:69/3325 train_time:138.921s step_avg:2013.35ms
step:70/3325 train_time:140.742s step_avg:2010.61ms
step:71/3325 train_time:142.562s step_avg:2007.91ms
step:72/3325 train_time:144.382s step_avg:2005.31ms
step:73/3325 train_time:146.204s step_avg:2002.79ms
step:74/3325 train_time:148.025s step_avg:2000.33ms
step:75/3325 train_time:150.118s step_avg:2001.57ms
step:76/3325 train_time:151.938s step_avg:1999.18ms
step:77/3325 train_time:153.757s step_avg:1996.85ms
step:78/3325 train_time:155.577s step_avg:1994.57ms
step:79/3325 train_time:157.400s step_avg:1992.41ms
step:80/3325 train_time:159.222s step_avg:1990.27ms
step:81/3325 train_time:161.041s step_avg:1988.16ms
