[2026-05-25T07:49:39Z] launching h142_arm_b_wd1e-4 (--embed_wd 1e-4)
logs/7a30fea7-668c-422c-800b-1849fa991ca4.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_074944-2mlya3bs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-tanjiro/h142_arm_b_wd1e-4
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/2mlya3bs
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3325 train_time:4.033s step_avg:4032.63ms
step:2/3325 train_time:6.975s step_avg:3487.41ms
step:3/3325 train_time:9.325s step_avg:3108.41ms
step:4/3325 train_time:11.565s step_avg:2891.22ms
[rank0]:W0525 07:50:12.570000 338181 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0525 07:50:12.570000 338181 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:514)
[rank0]:W0525 07:50:12.570000 338181 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0525 07:50:12.570000 338181 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0525 07:50:12.570000 338181 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:13.366s step_avg:2673.27ms
step:6/3325 train_time:15.157s step_avg:2526.18ms
step:7/3325 train_time:16.948s step_avg:2421.10ms
step:8/3325 train_time:18.739s step_avg:2342.43ms
step:9/3325 train_time:20.532s step_avg:2281.31ms
step:10/3325 train_time:22.322s step_avg:2232.25ms
step:11/3325 train_time:24.113s step_avg:2192.13ms
step:12/3325 train_time:25.905s step_avg:2158.77ms
step:13/3325 train_time:27.696s step_avg:2130.47ms
step:14/3325 train_time:29.487s step_avg:2106.21ms
step:15/3325 train_time:31.278s step_avg:2085.22ms
step:16/3325 train_time:33.071s step_avg:2066.91ms
step:17/3325 train_time:34.863s step_avg:2050.76ms
step:18/3325 train_time:36.657s step_avg:2036.49ms
step:19/3325 train_time:38.451s step_avg:2023.74ms
step:20/3325 train_time:40.246s step_avg:2012.29ms
step:21/3325 train_time:42.041s step_avg:2001.94ms
step:22/3325 train_time:43.834s step_avg:1992.47ms
step:23/3325 train_time:45.627s step_avg:1983.79ms
step:24/3325 train_time:47.423s step_avg:1975.96ms
step:25/3325 train_time:49.492s step_avg:1979.67ms
step:26/3325 train_time:51.286s step_avg:1972.54ms
step:27/3325 train_time:53.080s step_avg:1965.94ms
step:28/3325 train_time:54.876s step_avg:1959.85ms
step:29/3325 train_time:56.671s step_avg:1954.19ms
step:30/3325 train_time:58.483s step_avg:1949.43ms
step:31/3325 train_time:60.278s step_avg:1944.44ms
step:32/3325 train_time:62.073s step_avg:1939.78ms
step:33/3325 train_time:63.869s step_avg:1935.44ms
step:34/3325 train_time:65.667s step_avg:1931.39ms
step:35/3325 train_time:67.462s step_avg:1927.50ms
step:36/3325 train_time:69.258s step_avg:1923.83ms
step:37/3325 train_time:71.052s step_avg:1920.33ms
step:38/3325 train_time:72.848s step_avg:1917.04ms
step:39/3325 train_time:74.645s step_avg:1913.96ms
step:40/3325 train_time:76.442s step_avg:1911.05ms
step:41/3325 train_time:78.238s step_avg:1908.24ms
step:42/3325 train_time:80.034s step_avg:1905.57ms
step:43/3325 train_time:81.830s step_avg:1903.02ms
step:44/3325 train_time:83.626s step_avg:1900.60ms
step:45/3325 train_time:85.423s step_avg:1898.29ms
step:46/3325 train_time:87.220s step_avg:1896.08ms
step:47/3325 train_time:89.016s step_avg:1893.96ms
step:48/3325 train_time:90.813s step_avg:1891.94ms
step:49/3325 train_time:92.610s step_avg:1890.00ms
step:50/3325 train_time:94.680s step_avg:1893.61ms
step:51/3325 train_time:96.476s step_avg:1891.68ms
step:52/3325 train_time:98.271s step_avg:1889.83ms
step:53/3325 train_time:100.067s step_avg:1888.05ms
step:54/3325 train_time:101.864s step_avg:1886.37ms
step:55/3325 train_time:103.661s step_avg:1884.75ms
step:56/3325 train_time:105.458s step_avg:1883.18ms
step:57/3325 train_time:107.254s step_avg:1881.64ms
step:58/3325 train_time:109.050s step_avg:1880.18ms
step:59/3325 train_time:110.848s step_avg:1878.78ms
step:60/3325 train_time:112.664s step_avg:1877.73ms
step:61/3325 train_time:114.460s step_avg:1876.40ms
step:62/3325 train_time:116.257s step_avg:1875.11ms
step:63/3325 train_time:118.053s step_avg:1873.86ms
step:64/3325 train_time:119.850s step_avg:1872.66ms
step:65/3325 train_time:121.646s step_avg:1871.48ms
step:66/3325 train_time:123.443s step_avg:1870.34ms
step:67/3325 train_time:125.239s step_avg:1869.24ms
step:68/3325 train_time:127.035s step_avg:1868.16ms
step:69/3325 train_time:128.830s step_avg:1867.11ms
step:70/3325 train_time:130.627s step_avg:1866.10ms
step:71/3325 train_time:132.423s step_avg:1865.12ms
step:72/3325 train_time:134.220s step_avg:1864.17ms
step:73/3325 train_time:136.016s step_avg:1863.24ms
step:74/3325 train_time:137.813s step_avg:1862.34ms
step:75/3325 train_time:139.885s step_avg:1865.14ms
step:76/3325 train_time:141.682s step_avg:1864.24ms
step:77/3325 train_time:143.478s step_avg:1863.35ms
step:78/3325 train_time:145.276s step_avg:1862.51ms
step:79/3325 train_time:147.073s step_avg:1861.68ms
step:80/3325 train_time:148.870s step_avg:1860.88ms
step:81/3325 train_time:150.666s step_avg:1860.08ms
step:82/3325 train_time:152.463s step_avg:1859.31ms
step:83/3325 train_time:154.259s step_avg:1858.54ms
step:84/3325 train_time:156.055s step_avg:1857.80ms
step:85/3325 train_time:157.854s step_avg:1857.10ms
step:86/3325 train_time:159.651s step_avg:1856.40ms
step:87/3325 train_time:161.447s step_avg:1855.71ms
step:88/3325 train_time:163.244s step_avg:1855.05ms
step:89/3325 train_time:165.041s step_avg:1854.39ms
