=== START arm_b-gentle-ultra-early @ 2026-05-26T13:46:03Z ===
logs/1bbf5c72-b0d4-4730-88a6-55100ef80b7d.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR ENABLED: exponent=0.25 calibration_step=25 recalibrate_interval=0
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_134608-mhjqjm8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-tanjiro/h179-arm_b-gentle-ultra-early
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/mhjqjm8k
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.939322471618652, 'final_fnorm': 15.939322471618652}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.62117004394531, 'final_fnorm': 47.62117385864258}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.921041488647461, 'final_fnorm': 15.921041488647461}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.56716537475586, 'final_fnorm': 47.56716537475586}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.913509368896484, 'final_fnorm': 15.913509368896484}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.59378433227539, 'final_fnorm': 47.59378433227539}]
[H162 INIT] PER-BLOCK MuonH path: built 12 param groups (exponent=0.25, calibration_step=25, recalibrate_interval=0)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.939322471618652}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.62117385864258}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.921041488647461}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.56716537475586}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.913509368896484}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.59378433227539}]
step:1/3325 train_time:13.004s step_avg:13003.83ms
step:2/3325 train_time:15.902s step_avg:7950.92ms
step:3/3325 train_time:18.136s step_avg:6045.34ms
[rank0]:W0526 13:46:43.651000 450187 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 13:46:43.651000 450187 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 13:46:43.651000 450187 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: momentum.size()[0] <= momentum.size()[1]  # if G.size(-2) > G.size(-1):  # orkspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:572 in zeropower_via_newtonschulz5 (_dynamo/variables/tensor.py:1951 in evaluate_expr)
[rank0]:W0526 13:46:43.651000 450187 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 13:46:43.651000 450187 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:4/3325 train_time:20.151s step_avg:5037.63ms
step:5/3325 train_time:21.940s step_avg:4388.04ms
step:6/3325 train_time:23.730s step_avg:3955.05ms
step:7/3325 train_time:25.521s step_avg:3645.84ms
step:8/3325 train_time:27.311s step_avg:3413.92ms
step:9/3325 train_time:29.104s step_avg:3233.78ms
step:10/3325 train_time:30.899s step_avg:3089.86ms
step:11/3325 train_time:32.693s step_avg:2972.10ms
step:12/3325 train_time:34.487s step_avg:2873.92ms
step:13/3325 train_time:36.282s step_avg:2790.95ms
step:14/3325 train_time:38.077s step_avg:2719.78ms
step:15/3325 train_time:39.872s step_avg:2658.13ms
step:16/3325 train_time:41.669s step_avg:2604.28ms
step:17/3325 train_time:43.464s step_avg:2556.71ms
step:18/3325 train_time:45.259s step_avg:2514.39ms
step:19/3325 train_time:47.054s step_avg:2476.51ms
step:20/3325 train_time:48.849s step_avg:2442.43ms
step:21/3325 train_time:50.645s step_avg:2411.66ms
step:22/3325 train_time:52.440s step_avg:2383.64ms
step:23/3325 train_time:54.235s step_avg:2358.06ms
step:24/3325 train_time:56.031s step_avg:2334.62ms
[H162 PER-BLOCK LR] step 25: rms_disparity=1.213 mult_range=[0.975, 1.023]
step:25/3325 train_time:58.106s step_avg:2324.24ms
step:26/3325 train_time:59.901s step_avg:2303.90ms
step:27/3325 train_time:61.698s step_avg:2285.11ms
step:28/3325 train_time:63.494s step_avg:2267.64ms
step:29/3325 train_time:65.290s step_avg:2251.37ms
step:30/3325 train_time:67.103s step_avg:2236.78ms
step:31/3325 train_time:68.899s step_avg:2222.55ms
step:32/3325 train_time:70.696s step_avg:2209.24ms
step:33/3325 train_time:72.492s step_avg:2196.74ms
step:34/3325 train_time:74.289s step_avg:2184.96ms
step:35/3325 train_time:76.086s step_avg:2173.87ms
step:36/3325 train_time:77.883s step_avg:2163.41ms
step:37/3325 train_time:79.684s step_avg:2153.63ms
step:38/3325 train_time:81.481s step_avg:2144.25ms
step:39/3325 train_time:83.278s step_avg:2135.34ms
step:40/3325 train_time:85.076s step_avg:2126.90ms
step:41/3325 train_time:86.873s step_avg:2118.86ms
step:42/3325 train_time:88.671s step_avg:2111.20ms
step:43/3325 train_time:90.468s step_avg:2103.91ms
step:44/3325 train_time:92.265s step_avg:2096.94ms
step:45/3325 train_time:94.063s step_avg:2090.28ms
step:46/3325 train_time:95.859s step_avg:2083.89ms
step:47/3325 train_time:97.655s step_avg:2077.77ms
step:48/3325 train_time:99.453s step_avg:2071.93ms
step:49/3325 train_time:101.250s step_avg:2066.32ms
[H178 RMS PROBE] step 50: rms_disparity=3.881 rms_avg=1.727e+01
step:50/3325 train_time:105.966s step_avg:2119.32ms
step:51/3325 train_time:107.761s step_avg:2112.97ms
step:52/3325 train_time:109.557s step_avg:2106.87ms
step:53/3325 train_time:111.353s step_avg:2101.01ms
step:54/3325 train_time:113.149s step_avg:2095.36ms
step:55/3325 train_time:114.946s step_avg:2089.93ms
step:56/3325 train_time:116.743s step_avg:2084.70ms
step:57/3325 train_time:118.540s step_avg:2079.64ms
step:58/3325 train_time:120.337s step_avg:2074.78ms
step:59/3325 train_time:122.135s step_avg:2070.08ms
step:60/3325 train_time:123.948s step_avg:2065.79ms
step:61/3325 train_time:125.744s step_avg:2061.38ms
step:62/3325 train_time:127.541s step_avg:2057.11ms
step:63/3325 train_time:129.338s step_avg:2052.98ms
step:64/3325 train_time:131.135s step_avg:2048.98ms
step:65/3325 train_time:132.932s step_avg:2045.11ms
step:66/3325 train_time:134.730s step_avg:2041.36ms
step:67/3325 train_time:136.528s step_avg:2037.74ms
step:68/3325 train_time:138.328s step_avg:2034.23ms
step:69/3325 train_time:140.127s step_avg:2030.82ms
step:70/3325 train_time:141.926s step_avg:2027.52ms
step:71/3325 train_time:143.723s step_avg:2024.27ms
step:72/3325 train_time:145.522s step_avg:2021.14ms
step:73/3325 train_time:147.321s step_avg:2018.09ms
step:74/3325 train_time:149.119s step_avg:2015.12ms
step:75/3325 train_time:151.194s step_avg:2015.92ms
step:76/3325 train_time:152.994s step_avg:2013.07ms
step:77/3325 train_time:154.793s step_avg:2010.30ms
step:78/3325 train_time:156.592s step_avg:2007.59ms
step:79/3325 train_time:158.391s step_avg:2004.96ms
step:80/3325 train_time:160.191s step_avg:2002.39ms
step:81/3325 train_time:161.990s step_avg:1999.87ms
step:82/3325 train_time:163.790s step_avg:1997.43ms
step:83/3325 train_time:165.590s step_avg:1995.06ms
step:84/3325 train_time:167.389s step_avg:1992.73ms
step:85/3325 train_time:169.188s step_avg:1990.44ms
step:86/3325 train_time:170.989s step_avg:1988.24ms
step:87/3325 train_time:172.790s step_avg:1986.09ms
step:88/3325 train_time:174.591s step_avg:1983.99ms
step:89/3325 train_time:176.391s step_avg:1981.92ms
step:90/3325 train_time:178.207s step_avg:1980.08ms
step:91/3325 train_time:180.008s step_avg:1978.11ms
step:92/3325 train_time:181.808s step_avg:1976.17ms
step:93/3325 train_time:183.614s step_avg:1974.34ms
step:94/3325 train_time:185.412s step_avg:1972.47ms
step:95/3325 train_time:187.210s step_avg:1970.64ms
step:96/3325 train_time:189.008s step_avg:1968.84ms
step:97/3325 train_time:190.807s step_avg:1967.08ms
step:98/3325 train_time:192.605s step_avg:1965.36ms
step:99/3325 train_time:194.404s step_avg:1963.67ms
[H178 RMS PROBE] step 100: rms_disparity=3.886 rms_avg=1.982e+01
step:100/3325 train_time:196.482s step_avg:1964.82ms
step:101/3325 train_time:198.279s step_avg:1963.16ms
step:102/3325 train_time:200.078s step_avg:1961.55ms
step:103/3325 train_time:201.875s step_avg:1959.95ms
step:104/3325 train_time:203.672s step_avg:1958.39ms
step:105/3325 train_time:205.471s step_avg:1956.86ms
step:106/3325 train_time:207.269s step_avg:1955.36ms
step:107/3325 train_time:209.067s step_avg:1953.90ms
step:108/3325 train_time:210.866s step_avg:1952.46ms
step:109/3325 train_time:212.664s step_avg:1951.04ms
step:110/3325 train_time:214.462s step_avg:1949.65ms
step:111/3325 train_time:216.259s step_avg:1948.28ms
step:112/3325 train_time:218.057s step_avg:1946.93ms
step:113/3325 train_time:219.854s step_avg:1945.61ms
step:114/3325 train_time:221.651s step_avg:1944.31ms
step:115/3325 train_time:223.449s step_avg:1943.04ms
step:116/3325 train_time:225.246s step_avg:1941.78ms
step:117/3325 train_time:227.044s step_avg:1940.55ms
step:118/3325 train_time:228.840s step_avg:1939.32ms
step:119/3325 train_time:230.637s step_avg:1938.13ms
step:120/3325 train_time:232.451s step_avg:1937.10ms
step:121/3325 train_time:234.248s step_avg:1935.94ms
step:122/3325 train_time:236.045s step_avg:1934.80ms
step:123/3325 train_time:237.842s step_avg:1933.68ms
step:124/3325 train_time:239.639s step_avg:1932.57ms
step:125/3325 train_time:241.779s step_avg:1934.23ms
step:125/3325 val_loss:4.92997 train_time:241.780s step_avg:1934.24ms
step:126/3325 train_time:243.577s step_avg:1933.15ms
step:127/3325 train_time:245.376s step_avg:1932.10ms
step:128/3325 train_time:247.174s step_avg:1931.05ms
step:129/3325 train_time:248.972s step_avg:1930.01ms
step:130/3325 train_time:250.769s step_avg:1928.99ms
step:131/3325 train_time:252.566s step_avg:1927.98ms
step:132/3325 train_time:254.363s step_avg:1926.99ms
step:133/3325 train_time:256.160s step_avg:1926.01ms
step:134/3325 train_time:257.957s step_avg:1925.06ms
step:135/3325 train_time:259.756s step_avg:1924.12ms
step:136/3325 train_time:261.553s step_avg:1923.19ms
step:137/3325 train_time:263.351s step_avg:1922.27ms
step:138/3325 train_time:265.148s step_avg:1921.36ms
step:139/3325 train_time:266.945s step_avg:1920.47ms
step:140/3325 train_time:268.744s step_avg:1919.60ms
step:141/3325 train_time:270.540s step_avg:1918.73ms
step:142/3325 train_time:272.337s step_avg:1917.87ms
step:143/3325 train_time:274.135s step_avg:1917.02ms
step:144/3325 train_time:275.932s step_avg:1916.19ms
step:145/3325 train_time:277.730s step_avg:1915.38ms
step:146/3325 train_time:279.527s step_avg:1914.57ms
step:147/3325 train_time:281.323s step_avg:1913.76ms
step:148/3325 train_time:283.119s step_avg:1912.97ms
step:149/3325 train_time:284.915s step_avg:1912.18ms
step:150/3325 train_time:287.003s step_avg:1913.35ms
step:151/3325 train_time:288.799s step_avg:1912.58ms
step:152/3325 train_time:290.597s step_avg:1911.82ms
step:153/3325 train_time:292.394s step_avg:1911.07ms
step:154/3325 train_time:294.191s step_avg:1910.33ms
step:155/3325 train_time:295.988s step_avg:1909.60ms
step:156/3325 train_time:297.785s step_avg:1908.88ms
step:157/3325 train_time:299.582s step_avg:1908.17ms
step:158/3325 train_time:301.379s step_avg:1907.46ms
step:159/3325 train_time:303.177s step_avg:1906.77ms
step:160/3325 train_time:304.973s step_avg:1906.08ms
step:161/3325 train_time:306.771s step_avg:1905.41ms
step:162/3325 train_time:308.568s step_avg:1904.74ms
step:163/3325 train_time:310.363s step_avg:1904.07ms
step:164/3325 train_time:312.160s step_avg:1903.41ms
step:165/3325 train_time:313.956s step_avg:1902.76ms
step:166/3325 train_time:315.752s step_avg:1902.12ms
step:167/3325 train_time:317.548s step_avg:1901.48ms
step:168/3325 train_time:319.343s step_avg:1900.85ms
step:169/3325 train_time:321.141s step_avg:1900.24ms
step:170/3325 train_time:322.938s step_avg:1899.63ms
step:171/3325 train_time:324.734s step_avg:1899.03ms
step:172/3325 train_time:326.531s step_avg:1898.43ms
step:173/3325 train_time:328.328s step_avg:1897.85ms
step:174/3325 train_time:330.125s step_avg:1897.27ms
step:175/3325 train_time:332.197s step_avg:1898.27ms
step:176/3325 train_time:333.992s step_avg:1897.68ms
step:177/3325 train_time:335.788s step_avg:1897.11ms
step:178/3325 train_time:337.583s step_avg:1896.53ms
step:179/3325 train_time:339.380s step_avg:1895.98ms
step:180/3325 train_time:341.192s step_avg:1895.51ms
step:181/3325 train_time:342.987s step_avg:1894.96ms
step:182/3325 train_time:344.783s step_avg:1894.41ms
step:183/3325 train_time:346.579s step_avg:1893.88ms
step:184/3325 train_time:348.376s step_avg:1893.35ms
step:185/3325 train_time:350.173s step_avg:1892.83ms
step:186/3325 train_time:351.969s step_avg:1892.31ms
step:187/3325 train_time:353.765s step_avg:1891.79ms
step:188/3325 train_time:355.562s step_avg:1891.29ms
step:189/3325 train_time:357.358s step_avg:1890.78ms
step:190/3325 train_time:359.155s step_avg:1890.29ms
step:191/3325 train_time:361.068s step_avg:1890.41ms
step:192/3325 train_time:362.864s step_avg:1889.92ms
step:193/3325 train_time:364.661s step_avg:1889.43ms
step:194/3325 train_time:366.456s step_avg:1888.95ms
step:195/3325 train_time:368.253s step_avg:1888.48ms
step:196/3325 train_time:370.048s step_avg:1888.00ms
step:197/3325 train_time:371.843s step_avg:1887.53ms
step:198/3325 train_time:373.638s step_avg:1887.06ms
step:199/3325 train_time:375.433s step_avg:1886.60ms
step:200/3325 train_time:377.503s step_avg:1887.52ms
step:201/3325 train_time:379.299s step_avg:1887.06ms
step:202/3325 train_time:381.095s step_avg:1886.61ms
step:203/3325 train_time:382.891s step_avg:1886.16ms
step:204/3325 train_time:384.686s step_avg:1885.72ms
step:205/3325 train_time:386.482s step_avg:1885.28ms
step:206/3325 train_time:388.277s step_avg:1884.84ms
step:207/3325 train_time:390.071s step_avg:1884.40ms
step:208/3325 train_time:391.866s step_avg:1883.97ms
step:209/3325 train_time:393.661s step_avg:1883.54ms
step:210/3325 train_time:395.472s step_avg:1883.20ms
step:211/3325 train_time:397.266s step_avg:1882.78ms
step:212/3325 train_time:399.061s step_avg:1882.36ms
step:213/3325 train_time:400.856s step_avg:1881.95ms
step:214/3325 train_time:402.651s step_avg:1881.55ms
step:215/3325 train_time:404.445s step_avg:1881.14ms
step:216/3325 train_time:406.240s step_avg:1880.74ms
step:217/3325 train_time:408.036s step_avg:1880.35ms
step:218/3325 train_time:409.835s step_avg:1879.98ms
step:219/3325 train_time:411.631s step_avg:1879.60ms
step:220/3325 train_time:413.429s step_avg:1879.22ms
step:221/3325 train_time:415.225s step_avg:1878.84ms
step:222/3325 train_time:417.020s step_avg:1878.47ms
step:223/3325 train_time:418.815s step_avg:1878.09ms
step:224/3325 train_time:420.610s step_avg:1877.72ms
step:225/3325 train_time:422.680s step_avg:1878.58ms
step:226/3325 train_time:424.476s step_avg:1878.21ms
step:227/3325 train_time:426.271s step_avg:1877.85ms
step:228/3325 train_time:428.067s step_avg:1877.49ms
step:229/3325 train_time:429.863s step_avg:1877.13ms
step:230/3325 train_time:431.658s step_avg:1876.78ms
step:231/3325 train_time:433.454s step_avg:1876.43ms
step:232/3325 train_time:435.251s step_avg:1876.08ms
step:233/3325 train_time:437.047s step_avg:1875.74ms
step:234/3325 train_time:438.842s step_avg:1875.39ms
step:235/3325 train_time:440.637s step_avg:1875.05ms
step:236/3325 train_time:442.431s step_avg:1874.71ms
step:237/3325 train_time:444.226s step_avg:1874.37ms
step:238/3325 train_time:446.020s step_avg:1874.03ms
step:239/3325 train_time:447.818s step_avg:1873.72ms
step:240/3325 train_time:449.629s step_avg:1873.46ms
step:241/3325 train_time:451.429s step_avg:1873.15ms
step:242/3325 train_time:453.224s step_avg:1872.83ms
step:243/3325 train_time:455.019s step_avg:1872.51ms
step:244/3325 train_time:456.815s step_avg:1872.19ms
step:245/3325 train_time:458.611s step_avg:1871.88ms
step:246/3325 train_time:460.406s step_avg:1871.57ms
step:247/3325 train_time:462.202s step_avg:1871.26ms
step:248/3325 train_time:463.997s step_avg:1870.96ms
step:249/3325 train_time:465.792s step_avg:1870.65ms
step:250/3325 train_time:470.390s step_avg:1881.56ms
step:250/3325 val_loss:4.21120 train_time:470.391s step_avg:1828.89ms
step:251/3325 train_time:472.186s step_avg:1881.22ms
step:252/3325 train_time:473.980s step_avg:1880.87ms
step:253/3325 train_time:475.774s step_avg:1880.53ms
step:254/3325 train_time:477.570s step_avg:1880.19ms
step:255/3325 train_time:479.364s step_avg:1879.86ms
step:256/3325 train_time:481.159s step_avg:1879.53ms
step:257/3325 train_time:482.955s step_avg:1879.20ms
step:258/3325 train_time:484.752s step_avg:1878.88ms
step:259/3325 train_time:486.547s step_avg:1878.56ms
step:260/3325 train_time:488.342s step_avg:1878.24ms
step:261/3325 train_time:490.137s step_avg:1877.92ms
step:262/3325 train_time:491.931s step_avg:1877.60ms
step:263/3325 train_time:493.725s step_avg:1877.28ms
step:264/3325 train_time:495.519s step_avg:1876.97ms
step:265/3325 train_time:497.314s step_avg:1876.66ms
step:266/3325 train_time:499.108s step_avg:1876.35ms
step:267/3325 train_time:500.904s step_avg:1876.05ms
step:268/3325 train_time:502.699s step_avg:1875.74ms
step:269/3325 train_time:504.495s step_avg:1875.45ms
step:270/3325 train_time:506.307s step_avg:1875.21ms
step:271/3325 train_time:508.102s step_avg:1874.92ms
step:272/3325 train_time:509.897s step_avg:1874.62ms
step:273/3325 train_time:511.692s step_avg:1874.33ms
step:274/3325 train_time:513.486s step_avg:1874.04ms
step:275/3325 train_time:515.556s step_avg:1874.75ms
step:276/3325 train_time:517.351s step_avg:1874.46ms
step:277/3325 train_time:519.146s step_avg:1874.17ms
step:278/3325 train_time:520.941s step_avg:1873.89ms
step:279/3325 train_time:522.737s step_avg:1873.61ms
step:280/3325 train_time:524.532s step_avg:1873.33ms
step:281/3325 train_time:526.327s step_avg:1873.05ms
step:282/3325 train_time:528.122s step_avg:1872.77ms
step:283/3325 train_time:529.917s step_avg:1872.50ms
step:284/3325 train_time:531.712s step_avg:1872.23ms
step:285/3325 train_time:533.507s step_avg:1871.95ms
step:286/3325 train_time:535.302s step_avg:1871.69ms
step:287/3325 train_time:537.097s step_avg:1871.42ms
step:288/3325 train_time:538.891s step_avg:1871.15ms
step:289/3325 train_time:540.685s step_avg:1870.88ms
step:290/3325 train_time:542.479s step_avg:1870.62ms
step:291/3325 train_time:544.273s step_avg:1870.36ms
step:292/3325 train_time:546.069s step_avg:1870.10ms
step:293/3325 train_time:547.864s step_avg:1869.84ms
step:294/3325 train_time:549.659s step_avg:1869.59ms
step:295/3325 train_time:551.453s step_avg:1869.33ms
step:296/3325 train_time:553.248s step_avg:1869.08ms
step:297/3325 train_time:555.043s step_avg:1868.83ms
step:298/3325 train_time:556.839s step_avg:1868.59ms
step:299/3325 train_time:558.635s step_avg:1868.34ms
step:300/3325 train_time:560.724s step_avg:1869.08ms
step:301/3325 train_time:562.518s step_avg:1868.83ms
step:302/3325 train_time:564.312s step_avg:1868.58ms
step:303/3325 train_time:566.109s step_avg:1868.35ms
step:304/3325 train_time:567.904s step_avg:1868.10ms
step:305/3325 train_time:569.698s step_avg:1867.86ms
step:306/3325 train_time:571.493s step_avg:1867.63ms
step:307/3325 train_time:573.288s step_avg:1867.39ms
step:308/3325 train_time:575.082s step_avg:1867.15ms
step:309/3325 train_time:576.878s step_avg:1866.92ms
step:310/3325 train_time:578.674s step_avg:1866.69ms
step:311/3325 train_time:580.470s step_avg:1866.46ms
step:312/3325 train_time:582.264s step_avg:1866.23ms
step:313/3325 train_time:584.058s step_avg:1866.00ms
step:314/3325 train_time:585.852s step_avg:1865.77ms
step:315/3325 train_time:587.647s step_avg:1865.55ms
step:316/3325 train_time:589.442s step_avg:1865.32ms
step:317/3325 train_time:591.236s step_avg:1865.10ms
step:318/3325 train_time:593.031s step_avg:1864.88ms
step:319/3325 train_time:594.826s step_avg:1864.66ms
step:320/3325 train_time:596.622s step_avg:1864.44ms
step:321/3325 train_time:598.417s step_avg:1864.23ms
step:322/3325 train_time:600.211s step_avg:1864.01ms
step:323/3325 train_time:602.006s step_avg:1863.80ms
step:324/3325 train_time:603.800s step_avg:1863.58ms
step:325/3325 train_time:605.871s step_avg:1864.22ms
step:326/3325 train_time:607.666s step_avg:1864.01ms
step:327/3325 train_time:609.461s step_avg:1863.80ms
step:328/3325 train_time:611.256s step_avg:1863.58ms
step:329/3325 train_time:613.050s step_avg:1863.37ms
step:330/3325 train_time:614.861s step_avg:1863.22ms
step:331/3325 train_time:616.656s step_avg:1863.01ms
step:332/3325 train_time:618.452s step_avg:1862.81ms
step:333/3325 train_time:620.246s step_avg:1862.60ms
step:334/3325 train_time:622.041s step_avg:1862.40ms
step:335/3325 train_time:623.836s step_avg:1862.20ms
step:336/3325 train_time:625.631s step_avg:1862.00ms
step:337/3325 train_time:627.425s step_avg:1861.80ms
step:338/3325 train_time:629.219s step_avg:1861.59ms
step:339/3325 train_time:631.013s step_avg:1861.39ms
step:340/3325 train_time:632.806s step_avg:1861.19ms
step:341/3325 train_time:634.600s step_avg:1861.00ms
step:342/3325 train_time:636.395s step_avg:1860.80ms
step:343/3325 train_time:638.190s step_avg:1860.61ms
step:344/3325 train_time:639.985s step_avg:1860.42ms
step:345/3325 train_time:641.781s step_avg:1860.23ms
step:346/3325 train_time:643.576s step_avg:1860.05ms
step:347/3325 train_time:645.371s step_avg:1859.86ms
step:348/3325 train_time:647.167s step_avg:1859.68ms
step:349/3325 train_time:648.961s step_avg:1859.49ms
step:350/3325 train_time:651.031s step_avg:1860.09ms
step:351/3325 train_time:652.825s step_avg:1859.90ms
step:352/3325 train_time:654.619s step_avg:1859.71ms
step:353/3325 train_time:656.414s step_avg:1859.53ms
step:354/3325 train_time:658.208s step_avg:1859.34ms
step:355/3325 train_time:660.003s step_avg:1859.16ms
step:356/3325 train_time:661.797s step_avg:1858.98ms
step:357/3325 train_time:663.592s step_avg:1858.80ms
step:358/3325 train_time:665.387s step_avg:1858.62ms
step:359/3325 train_time:667.181s step_avg:1858.44ms
step:360/3325 train_time:668.993s step_avg:1858.31ms
step:361/3325 train_time:670.787s step_avg:1858.13ms
step:362/3325 train_time:672.580s step_avg:1857.96ms
step:363/3325 train_time:674.375s step_avg:1857.78ms
step:364/3325 train_time:676.170s step_avg:1857.61ms
step:365/3325 train_time:677.964s step_avg:1857.44ms
step:366/3325 train_time:679.759s step_avg:1857.27ms
step:367/3325 train_time:681.554s step_avg:1857.10ms
step:368/3325 train_time:683.348s step_avg:1856.93ms
step:369/3325 train_time:685.143s step_avg:1856.76ms
step:370/3325 train_time:686.939s step_avg:1856.59ms
