=== START arm_c-strong-ultra-early @ 2026-05-26T15:34:14Z ===
logs/8caa521c-9224-4d37-bbc5-54862e6a1b36.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR ENABLED: exponent=1.0 calibration_step=25 recalibrate_interval=0
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_153419-szc1oyn0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-tanjiro/h179-arm_c-strong-ultra-early
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/szc1oyn0
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.92922306060791, 'final_fnorm': 15.92922306060791}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.62255096435547, 'final_fnorm': 47.622554779052734}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.905841827392578, 'final_fnorm': 15.905840873718262}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.60399627685547, 'final_fnorm': 47.60399627685547}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.906530380249023, 'final_fnorm': 15.906530380249023}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.634212493896484, 'final_fnorm': 47.634212493896484}]
[H162 INIT] PER-BLOCK MuonH path: built 12 param groups (exponent=1.0, calibration_step=25, recalibrate_interval=0)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.92922306060791}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.622554779052734}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.905840873718262}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.60399627685547}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.906530380249023}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.634212493896484}]
step:1/3325 train_time:9.551s step_avg:9551.27ms
step:2/3325 train_time:12.585s step_avg:6292.35ms
step:3/3325 train_time:14.829s step_avg:4943.04ms
[rank0]:W0526 15:34:51.611000 456454 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 15:34:51.611000 456454 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 15:34:51.611000 456454 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: momentum.size()[0] <= momentum.size()[1]  # if G.size(-2) > G.size(-1):  # orkspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:572 in zeropower_via_newtonschulz5 (_dynamo/variables/tensor.py:1951 in evaluate_expr)
[rank0]:W0526 15:34:51.611000 456454 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 15:34:51.611000 456454 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:4/3325 train_time:16.845s step_avg:4211.30ms
step:5/3325 train_time:18.637s step_avg:3727.49ms
step:6/3325 train_time:20.430s step_avg:3404.99ms
step:7/3325 train_time:22.222s step_avg:3174.62ms
step:8/3325 train_time:24.015s step_avg:3001.90ms
step:9/3325 train_time:25.808s step_avg:2867.59ms
step:10/3325 train_time:27.601s step_avg:2760.08ms
step:11/3325 train_time:29.394s step_avg:2672.22ms
step:12/3325 train_time:31.189s step_avg:2599.07ms
step:13/3325 train_time:32.984s step_avg:2537.21ms
step:14/3325 train_time:34.779s step_avg:2484.18ms
step:15/3325 train_time:36.574s step_avg:2438.24ms
step:16/3325 train_time:38.370s step_avg:2398.12ms
step:17/3325 train_time:40.165s step_avg:2362.67ms
step:18/3325 train_time:41.961s step_avg:2331.18ms
step:19/3325 train_time:43.758s step_avg:2303.06ms
step:20/3325 train_time:45.555s step_avg:2277.75ms
step:21/3325 train_time:47.350s step_avg:2254.78ms
step:22/3325 train_time:49.147s step_avg:2233.94ms
step:23/3325 train_time:50.944s step_avg:2214.95ms
step:24/3325 train_time:52.740s step_avg:2197.49ms
[H162 PER-BLOCK LR] step 25: rms_disparity=1.191 mult_range=[0.930, 1.108]
step:25/3325 train_time:54.815s step_avg:2192.61ms
step:26/3325 train_time:56.611s step_avg:2177.34ms
step:27/3325 train_time:58.408s step_avg:2163.25ms
step:28/3325 train_time:60.204s step_avg:2150.16ms
step:29/3325 train_time:62.002s step_avg:2138.01ms
step:30/3325 train_time:63.819s step_avg:2127.29ms
step:31/3325 train_time:65.618s step_avg:2116.70ms
