logs/788dd78a-00d8-47c9-a4d8-30da2ec109e2.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_050615-rf0vm318
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief_A_adamw_eps1e-10_ctrl
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/rf0vm318
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.802s step_avg:5801.87ms
step:2/3250 train_time:7.624s step_avg:3812.04ms
step:3/3250 train_time:9.446s step_avg:3148.55ms
step:4/3250 train_time:11.264s step_avg:2816.07ms
step:5/3250 train_time:13.083s step_avg:2616.65ms
step:6/3250 train_time:14.901s step_avg:2483.49ms
step:7/3250 train_time:16.719s step_avg:2388.40ms
step:8/3250 train_time:18.537s step_avg:2317.16ms
step:9/3250 train_time:20.358s step_avg:2261.95ms
step:10/3250 train_time:22.178s step_avg:2217.77ms
step:11/3250 train_time:23.997s step_avg:2181.52ms
step:12/3250 train_time:25.816s step_avg:2151.33ms
step:13/3250 train_time:27.636s step_avg:2125.82ms
step:14/3250 train_time:29.456s step_avg:2104.03ms
step:15/3250 train_time:31.278s step_avg:2085.20ms
step:16/3250 train_time:33.100s step_avg:2068.72ms
step:17/3250 train_time:35.793s step_avg:2105.46ms
step:18/3250 train_time:37.614s step_avg:2089.69ms
step:19/3250 train_time:39.436s step_avg:2075.59ms
step:20/3250 train_time:41.260s step_avg:2062.99ms
step:21/3250 train_time:43.084s step_avg:2051.60ms
step:22/3250 train_time:44.907s step_avg:2041.21ms
step:23/3250 train_time:46.731s step_avg:2031.77ms
step:24/3250 train_time:48.554s step_avg:2023.09ms
step:25/3250 train_time:50.660s step_avg:2026.38ms
step:26/3250 train_time:52.483s step_avg:2018.57ms
step:27/3250 train_time:54.308s step_avg:2011.40ms
step:28/3250 train_time:56.133s step_avg:2004.74ms
step:29/3250 train_time:57.956s step_avg:1998.48ms
step:30/3250 train_time:59.780s step_avg:1992.66ms
step:31/3250 train_time:61.605s step_avg:1987.25ms
step:32/3250 train_time:63.430s step_avg:1982.18ms
step:33/3250 train_time:66.087s step_avg:2002.65ms
step:34/3250 train_time:67.911s step_avg:1997.39ms
step:35/3250 train_time:69.735s step_avg:1992.44ms
step:36/3250 train_time:71.559s step_avg:1987.75ms
step:37/3250 train_time:73.383s step_avg:1983.31ms
step:38/3250 train_time:75.206s step_avg:1979.10ms
step:39/3250 train_time:77.030s step_avg:1975.12ms
step:40/3250 train_time:78.853s step_avg:1971.33ms
step:41/3250 train_time:80.678s step_avg:1967.75ms
step:42/3250 train_time:82.502s step_avg:1964.33ms
step:43/3250 train_time:84.326s step_avg:1961.08ms
step:44/3250 train_time:86.150s step_avg:1957.97ms
step:45/3250 train_time:87.976s step_avg:1955.02ms
step:46/3250 train_time:89.801s step_avg:1952.19ms
step:47/3250 train_time:91.625s step_avg:1949.47ms
step:48/3250 train_time:93.450s step_avg:1946.88ms
step:49/3250 train_time:96.109s step_avg:1961.40ms
step:50/3250 train_time:98.205s step_avg:1964.10ms
step:51/3250 train_time:100.029s step_avg:1961.35ms
step:52/3250 train_time:101.853s step_avg:1958.71ms
step:53/3250 train_time:103.678s step_avg:1956.18ms
step:54/3250 train_time:105.501s step_avg:1953.72ms
step:55/3250 train_time:107.324s step_avg:1951.35ms
step:56/3250 train_time:109.149s step_avg:1949.08ms
step:57/3250 train_time:110.974s step_avg:1946.91ms
step:58/3250 train_time:112.798s step_avg:1944.79ms
step:59/3250 train_time:114.622s step_avg:1942.75ms
step:60/3250 train_time:116.447s step_avg:1940.78ms
step:61/3250 train_time:118.270s step_avg:1938.86ms
step:62/3250 train_time:120.095s step_avg:1937.02ms
step:63/3250 train_time:121.920s step_avg:1935.23ms
step:64/3250 train_time:123.744s step_avg:1933.49ms
step:65/3250 train_time:126.403s step_avg:1944.66ms
step:66/3250 train_time:128.227s step_avg:1942.83ms
step:67/3250 train_time:130.052s step_avg:1941.07ms
step:68/3250 train_time:131.876s step_avg:1939.36ms
step:69/3250 train_time:133.701s step_avg:1937.70ms
step:70/3250 train_time:135.526s step_avg:1936.09ms
step:71/3250 train_time:137.350s step_avg:1934.51ms
step:72/3250 train_time:139.174s step_avg:1932.97ms
step:73/3250 train_time:140.999s step_avg:1931.49ms
step:74/3250 train_time:142.824s step_avg:1930.05ms
step:75/3250 train_time:144.921s step_avg:1932.27ms
step:76/3250 train_time:146.745s step_avg:1930.85ms
step:77/3250 train_time:148.569s step_avg:1929.47ms
step:78/3250 train_time:150.394s step_avg:1928.13ms
step:79/3250 train_time:152.219s step_avg:1926.82ms
step:80/3250 train_time:154.044s step_avg:1925.55ms
step:81/3250 train_time:156.703s step_avg:1934.61ms
step:82/3250 train_time:158.528s step_avg:1933.26ms
step:83/3250 train_time:160.352s step_avg:1931.95ms
step:84/3250 train_time:162.176s step_avg:1930.67ms
step:85/3250 train_time:164.001s step_avg:1929.42ms
step:86/3250 train_time:165.825s step_avg:1928.19ms
step:87/3250 train_time:167.650s step_avg:1927.01ms
step:88/3250 train_time:169.474s step_avg:1925.84ms
step:89/3250 train_time:171.298s step_avg:1924.70ms
step:90/3250 train_time:173.122s step_avg:1923.58ms
step:91/3250 train_time:174.947s step_avg:1922.50ms
step:92/3250 train_time:176.772s step_avg:1921.43ms
step:93/3250 train_time:178.596s step_avg:1920.39ms
step:94/3250 train_time:180.421s step_avg:1919.37ms
step:95/3250 train_time:182.245s step_avg:1918.37ms
step:96/3250 train_time:184.070s step_avg:1917.40ms
step:97/3250 train_time:186.730s step_avg:1925.05ms
step:98/3250 train_time:188.553s step_avg:1924.01ms
step:99/3250 train_time:190.378s step_avg:1923.01ms
step:100/3250 train_time:192.484s step_avg:1924.84ms
step:101/3250 train_time:194.309s step_avg:1923.85ms
step:102/3250 train_time:196.134s step_avg:1922.88ms
step:103/3250 train_time:197.958s step_avg:1921.92ms
step:104/3250 train_time:199.785s step_avg:1921.00ms
step:105/3250 train_time:201.611s step_avg:1920.10ms
step:106/3250 train_time:203.435s step_avg:1919.20ms
step:107/3250 train_time:205.260s step_avg:1918.31ms
step:108/3250 train_time:207.085s step_avg:1917.45ms
step:109/3250 train_time:208.909s step_avg:1916.60ms
step:110/3250 train_time:210.735s step_avg:1915.77ms
step:111/3250 train_time:212.560s step_avg:1914.96ms
step:112/3250 train_time:214.386s step_avg:1914.16ms
step:113/3250 train_time:217.045s step_avg:1920.75ms
step:114/3250 train_time:218.868s step_avg:1919.90ms
step:115/3250 train_time:220.693s step_avg:1919.07ms
step:116/3250 train_time:222.519s step_avg:1918.26ms
step:117/3250 train_time:224.345s step_avg:1917.48ms
step:118/3250 train_time:226.171s step_avg:1916.70ms
step:119/3250 train_time:227.996s step_avg:1915.93ms
step:120/3250 train_time:229.822s step_avg:1915.18ms
step:121/3250 train_time:231.648s step_avg:1914.44ms
step:122/3250 train_time:233.472s step_avg:1913.70ms
step:123/3250 train_time:235.296s step_avg:1912.97ms
step:124/3250 train_time:237.120s step_avg:1912.26ms
step:125/3250 train_time:239.286s step_avg:1914.29ms
step:125/3250 val_loss:4.54385 train_time:239.287s step_avg:1914.29ms
step:126/3250 train_time:241.113s step_avg:1913.59ms
step:127/3250 train_time:242.938s step_avg:1912.90ms
step:128/3250 train_time:244.762s step_avg:1912.20ms
step:129/3250 train_time:247.421s step_avg:1917.99ms
step:130/3250 train_time:249.245s step_avg:1917.27ms
step:131/3250 train_time:251.069s step_avg:1916.56ms
step:132/3250 train_time:252.893s step_avg:1915.86ms
step:133/3250 train_time:254.718s step_avg:1915.17ms
step:134/3250 train_time:256.542s step_avg:1914.49ms
step:135/3250 train_time:258.366s step_avg:1913.82ms
step:136/3250 train_time:260.190s step_avg:1913.16ms
step:137/3250 train_time:262.014s step_avg:1912.51ms
step:138/3250 train_time:263.839s step_avg:1911.87ms
step:139/3250 train_time:265.662s step_avg:1911.24ms
step:140/3250 train_time:267.485s step_avg:1910.61ms
step:141/3250 train_time:269.310s step_avg:1910.00ms
step:142/3250 train_time:271.136s step_avg:1909.41ms
step:143/3250 train_time:272.962s step_avg:1908.82ms
step:144/3250 train_time:274.787s step_avg:1908.24ms
step:145/3250 train_time:277.446s step_avg:1913.42ms
step:146/3250 train_time:279.270s step_avg:1912.81ms
step:147/3250 train_time:281.095s step_avg:1912.21ms
step:148/3250 train_time:282.920s step_avg:1911.62ms
step:149/3250 train_time:284.745s step_avg:1911.04ms
step:150/3250 train_time:286.843s step_avg:1912.29ms
step:151/3250 train_time:288.668s step_avg:1911.71ms
step:152/3250 train_time:290.493s step_avg:1911.14ms
step:153/3250 train_time:292.318s step_avg:1910.58ms
step:154/3250 train_time:294.143s step_avg:1910.02ms
step:155/3250 train_time:295.968s step_avg:1909.47ms
step:156/3250 train_time:297.794s step_avg:1908.93ms
step:157/3250 train_time:299.618s step_avg:1908.40ms
step:158/3250 train_time:301.444s step_avg:1907.87ms
step:159/3250 train_time:303.269s step_avg:1907.35ms
step:160/3250 train_time:305.094s step_avg:1906.84ms
step:161/3250 train_time:307.754s step_avg:1911.51ms
step:162/3250 train_time:309.580s step_avg:1910.99ms
step:163/3250 train_time:311.405s step_avg:1910.46ms
step:164/3250 train_time:313.228s step_avg:1909.93ms
step:165/3250 train_time:315.053s step_avg:1909.41ms
step:166/3250 train_time:316.876s step_avg:1908.89ms
step:167/3250 train_time:318.701s step_avg:1908.39ms
step:168/3250 train_time:320.525s step_avg:1907.89ms
step:169/3250 train_time:322.350s step_avg:1907.39ms
step:170/3250 train_time:324.174s step_avg:1906.91ms
step:171/3250 train_time:325.998s step_avg:1906.42ms
step:172/3250 train_time:327.823s step_avg:1905.95ms
step:173/3250 train_time:329.648s step_avg:1905.48ms
step:174/3250 train_time:331.475s step_avg:1905.03ms
step:175/3250 train_time:333.580s step_avg:1906.17ms
step:176/3250 train_time:335.403s step_avg:1905.70ms
step:177/3250 train_time:338.062s step_avg:1909.95ms
step:178/3250 train_time:339.885s step_avg:1909.47ms
step:179/3250 train_time:341.710s step_avg:1908.99ms
step:180/3250 train_time:343.534s step_avg:1908.52ms
step:181/3250 train_time:345.359s step_avg:1908.06ms
step:182/3250 train_time:347.183s step_avg:1907.60ms
step:183/3250 train_time:349.007s step_avg:1907.14ms
step:184/3250 train_time:350.833s step_avg:1906.70ms
step:185/3250 train_time:352.658s step_avg:1906.26ms
step:186/3250 train_time:354.482s step_avg:1905.82ms
step:187/3250 train_time:356.306s step_avg:1905.38ms
step:188/3250 train_time:358.130s step_avg:1904.95ms
step:189/3250 train_time:359.956s step_avg:1904.53ms
step:190/3250 train_time:361.783s step_avg:1904.12ms
step:191/3250 train_time:363.713s step_avg:1904.26ms
step:192/3250 train_time:365.538s step_avg:1903.85ms
step:193/3250 train_time:368.197s step_avg:1907.76ms
step:194/3250 train_time:370.021s step_avg:1907.32ms
step:195/3250 train_time:371.844s step_avg:1906.89ms
step:196/3250 train_time:373.669s step_avg:1906.48ms
step:197/3250 train_time:375.494s step_avg:1906.06ms
step:198/3250 train_time:377.318s step_avg:1905.65ms
step:199/3250 train_time:379.142s step_avg:1905.24ms
step:200/3250 train_time:381.245s step_avg:1906.22ms
step:201/3250 train_time:383.068s step_avg:1905.81ms
step:202/3250 train_time:384.893s step_avg:1905.41ms
step:203/3250 train_time:386.717s step_avg:1905.01ms
step:204/3250 train_time:388.543s step_avg:1904.62ms
step:205/3250 train_time:390.367s step_avg:1904.23ms
step:206/3250 train_time:392.193s step_avg:1903.85ms
step:207/3250 train_time:394.018s step_avg:1903.47ms
step:208/3250 train_time:395.843s step_avg:1903.09ms
step:209/3250 train_time:398.501s step_avg:1906.70ms
step:210/3250 train_time:400.325s step_avg:1906.31ms
step:211/3250 train_time:402.150s step_avg:1905.92ms
step:212/3250 train_time:403.974s step_avg:1905.54ms
step:213/3250 train_time:405.798s step_avg:1905.15ms
step:214/3250 train_time:407.624s step_avg:1904.78ms
step:215/3250 train_time:409.449s step_avg:1904.41ms
step:216/3250 train_time:411.274s step_avg:1904.04ms
step:217/3250 train_time:413.098s step_avg:1903.68ms
step:218/3250 train_time:414.923s step_avg:1903.31ms
step:219/3250 train_time:416.748s step_avg:1902.96ms
step:220/3250 train_time:418.573s step_avg:1902.60ms
step:221/3250 train_time:420.398s step_avg:1902.25ms
step:222/3250 train_time:422.225s step_avg:1901.91ms
step:223/3250 train_time:424.050s step_avg:1901.57ms
step:224/3250 train_time:425.875s step_avg:1901.23ms
step:225/3250 train_time:428.811s step_avg:1905.83ms
step:226/3250 train_time:430.634s step_avg:1905.46ms
step:227/3250 train_time:432.458s step_avg:1905.10ms
step:228/3250 train_time:434.282s step_avg:1904.75ms
step:229/3250 train_time:436.107s step_avg:1904.40ms
step:230/3250 train_time:437.931s step_avg:1904.05ms
step:231/3250 train_time:439.755s step_avg:1903.70ms
step:232/3250 train_time:441.580s step_avg:1903.36ms
step:233/3250 train_time:443.404s step_avg:1903.02ms
step:234/3250 train_time:445.227s step_avg:1902.68ms
step:235/3250 train_time:447.052s step_avg:1902.35ms
step:236/3250 train_time:448.877s step_avg:1902.02ms
step:237/3250 train_time:450.701s step_avg:1901.69ms
step:238/3250 train_time:452.527s step_avg:1901.37ms
step:239/3250 train_time:454.351s step_avg:1901.05ms
step:240/3250 train_time:456.176s step_avg:1900.73ms
step:241/3250 train_time:458.835s step_avg:1903.88ms
step:242/3250 train_time:460.658s step_avg:1903.55ms
step:243/3250 train_time:462.483s step_avg:1903.22ms
step:244/3250 train_time:464.307s step_avg:1902.90ms
step:245/3250 train_time:466.131s step_avg:1902.57ms
step:246/3250 train_time:467.957s step_avg:1902.26ms
step:247/3250 train_time:469.781s step_avg:1901.95ms
step:248/3250 train_time:471.608s step_avg:1901.64ms
step:249/3250 train_time:473.434s step_avg:1901.34ms
step:250/3250 train_time:475.604s step_avg:1902.41ms
step:250/3250 val_loss:4.06122 train_time:475.604s step_avg:1890.54ms
step:251/3250 train_time:477.430s step_avg:1902.11ms
step:252/3250 train_time:479.254s step_avg:1901.80ms
step:253/3250 train_time:481.079s step_avg:1901.50ms
step:254/3250 train_time:482.904s step_avg:1901.20ms
step:255/3250 train_time:484.728s step_avg:1900.90ms
step:256/3250 train_time:486.553s step_avg:1900.60ms
step:257/3250 train_time:489.212s step_avg:1903.55ms
step:258/3250 train_time:491.036s step_avg:1903.24ms
step:259/3250 train_time:492.860s step_avg:1902.94ms
step:260/3250 train_time:494.684s step_avg:1902.63ms
step:261/3250 train_time:496.509s step_avg:1902.33ms
step:262/3250 train_time:498.334s step_avg:1902.04ms
step:263/3250 train_time:500.157s step_avg:1901.74ms
step:264/3250 train_time:501.981s step_avg:1901.44ms
step:265/3250 train_time:503.806s step_avg:1901.16ms
step:266/3250 train_time:505.630s step_avg:1900.87ms
step:267/3250 train_time:507.454s step_avg:1900.58ms
step:268/3250 train_time:509.279s step_avg:1900.29ms
step:269/3250 train_time:511.104s step_avg:1900.01ms
step:270/3250 train_time:512.929s step_avg:1899.74ms
step:271/3250 train_time:514.754s step_avg:1899.46ms
step:272/3250 train_time:516.578s step_avg:1899.19ms
step:273/3250 train_time:519.237s step_avg:1901.97ms
step:274/3250 train_time:521.061s step_avg:1901.68ms
step:275/3250 train_time:523.165s step_avg:1902.42ms
step:276/3250 train_time:524.991s step_avg:1902.14ms
step:277/3250 train_time:526.815s step_avg:1901.86ms
step:278/3250 train_time:528.640s step_avg:1901.58ms
step:279/3250 train_time:530.466s step_avg:1901.31ms
step:280/3250 train_time:532.290s step_avg:1901.04ms
step:281/3250 train_time:534.115s step_avg:1900.76ms
step:282/3250 train_time:535.939s step_avg:1900.49ms
step:283/3250 train_time:537.767s step_avg:1900.24ms
step:284/3250 train_time:539.592s step_avg:1899.97ms
step:285/3250 train_time:541.416s step_avg:1899.71ms
step:286/3250 train_time:543.241s step_avg:1899.44ms
step:287/3250 train_time:545.067s step_avg:1899.19ms
step:288/3250 train_time:546.895s step_avg:1898.94ms
step:289/3250 train_time:549.553s step_avg:1901.57ms
step:290/3250 train_time:551.377s step_avg:1901.30ms
step:291/3250 train_time:553.201s step_avg:1901.03ms
step:292/3250 train_time:555.024s step_avg:1900.77ms
step:293/3250 train_time:556.850s step_avg:1900.51ms
step:294/3250 train_time:558.674s step_avg:1900.25ms
step:295/3250 train_time:560.499s step_avg:1900.00ms
step:296/3250 train_time:562.323s step_avg:1899.74ms
step:297/3250 train_time:564.147s step_avg:1899.48ms
step:298/3250 train_time:565.973s step_avg:1899.24ms
step:299/3250 train_time:567.797s step_avg:1898.99ms
step:300/3250 train_time:569.901s step_avg:1899.67ms
step:301/3250 train_time:571.727s step_avg:1899.42ms
step:302/3250 train_time:573.551s step_avg:1899.18ms
step:303/3250 train_time:575.375s step_avg:1898.93ms
step:304/3250 train_time:577.201s step_avg:1898.69ms
step:305/3250 train_time:579.860s step_avg:1901.18ms
step:306/3250 train_time:581.684s step_avg:1900.93ms
step:307/3250 train_time:583.510s step_avg:1900.68ms
step:308/3250 train_time:585.335s step_avg:1900.44ms
step:309/3250 train_time:587.161s step_avg:1900.20ms
step:310/3250 train_time:588.988s step_avg:1899.96ms
step:311/3250 train_time:590.815s step_avg:1899.73ms
step:312/3250 train_time:592.639s step_avg:1899.48ms
step:313/3250 train_time:594.464s step_avg:1899.25ms
step:314/3250 train_time:596.289s step_avg:1899.01ms
step:315/3250 train_time:598.114s step_avg:1898.78ms
step:316/3250 train_time:599.938s step_avg:1898.54ms
step:317/3250 train_time:601.763s step_avg:1898.31ms
step:318/3250 train_time:603.587s step_avg:1898.07ms
step:319/3250 train_time:605.411s step_avg:1897.84ms
step:320/3250 train_time:607.235s step_avg:1897.61ms
step:321/3250 train_time:609.893s step_avg:1899.98ms
step:322/3250 train_time:611.715s step_avg:1899.74ms
step:323/3250 train_time:613.538s step_avg:1899.50ms
step:324/3250 train_time:615.362s step_avg:1899.27ms
step:325/3250 train_time:617.463s step_avg:1899.89ms
step:326/3250 train_time:619.286s step_avg:1899.65ms
step:327/3250 train_time:621.112s step_avg:1899.42ms
step:328/3250 train_time:622.937s step_avg:1899.20ms
step:329/3250 train_time:624.763s step_avg:1898.97ms
step:330/3250 train_time:626.587s step_avg:1898.75ms
step:331/3250 train_time:628.413s step_avg:1898.53ms
step:332/3250 train_time:630.237s step_avg:1898.30ms
step:333/3250 train_time:632.062s step_avg:1898.08ms
step:334/3250 train_time:633.887s step_avg:1897.86ms
step:335/3250 train_time:635.711s step_avg:1897.65ms
step:336/3250 train_time:637.536s step_avg:1897.43ms
step:337/3250 train_time:640.194s step_avg:1899.69ms
step:338/3250 train_time:642.017s step_avg:1899.46ms
step:339/3250 train_time:643.840s step_avg:1899.23ms
step:340/3250 train_time:645.664s step_avg:1899.01ms
step:341/3250 train_time:647.488s step_avg:1898.79ms
step:342/3250 train_time:649.312s step_avg:1898.57ms
step:343/3250 train_time:651.136s step_avg:1898.35ms
step:344/3250 train_time:652.959s step_avg:1898.14ms
step:345/3250 train_time:654.783s step_avg:1897.92ms
step:346/3250 train_time:656.608s step_avg:1897.71ms
step:347/3250 train_time:658.432s step_avg:1897.50ms
step:348/3250 train_time:660.256s step_avg:1897.29ms
step:349/3250 train_time:662.079s step_avg:1897.07ms
step:350/3250 train_time:664.175s step_avg:1897.64ms
step:351/3250 train_time:665.999s step_avg:1897.43ms
step:352/3250 train_time:667.824s step_avg:1897.23ms
step:353/3250 train_time:670.482s step_avg:1899.38ms
step:354/3250 train_time:672.305s step_avg:1899.17ms
step:355/3250 train_time:674.130s step_avg:1898.96ms
step:356/3250 train_time:675.953s step_avg:1898.75ms
step:357/3250 train_time:677.778s step_avg:1898.54ms
step:358/3250 train_time:679.602s step_avg:1898.33ms
step:359/3250 train_time:681.425s step_avg:1898.12ms
step:360/3250 train_time:683.248s step_avg:1897.91ms
step:361/3250 train_time:685.072s step_avg:1897.71ms
step:362/3250 train_time:686.896s step_avg:1897.50ms
step:363/3250 train_time:688.720s step_avg:1897.30ms
step:364/3250 train_time:690.544s step_avg:1897.10ms
step:365/3250 train_time:692.368s step_avg:1896.90ms
step:366/3250 train_time:694.191s step_avg:1896.70ms
step:367/3250 train_time:696.015s step_avg:1896.50ms
step:368/3250 train_time:697.838s step_avg:1896.30ms
step:369/3250 train_time:700.497s step_avg:1898.36ms
step:370/3250 train_time:702.320s step_avg:1898.16ms
step:371/3250 train_time:704.144s step_avg:1897.96ms
step:372/3250 train_time:705.968s step_avg:1897.76ms
step:373/3250 train_time:707.793s step_avg:1897.57ms
step:374/3250 train_time:709.617s step_avg:1897.37ms
step:375/3250 train_time:711.778s step_avg:1898.08ms
step:375/3250 val_loss:3.90079 train_time:711.779s step_avg:1889.40ms
step:376/3250 train_time:713.604s step_avg:1897.88ms
step:377/3250 train_time:715.428s step_avg:1897.69ms
step:378/3250 train_time:717.253s step_avg:1897.50ms
step:379/3250 train_time:719.078s step_avg:1897.30ms
step:380/3250 train_time:720.902s step_avg:1897.11ms
step:381/3250 train_time:722.755s step_avg:1897.00ms
step:382/3250 train_time:724.580s step_avg:1896.81ms
step:383/3250 train_time:726.405s step_avg:1896.62ms
step:384/3250 train_time:728.229s step_avg:1896.43ms
step:385/3250 train_time:730.888s step_avg:1898.41ms
step:386/3250 train_time:732.711s step_avg:1898.22ms
step:387/3250 train_time:734.536s step_avg:1898.03ms
step:388/3250 train_time:736.361s step_avg:1897.84ms
step:389/3250 train_time:738.185s step_avg:1897.65ms
step:390/3250 train_time:740.009s step_avg:1897.46ms
step:391/3250 train_time:741.832s step_avg:1897.27ms
step:392/3250 train_time:743.656s step_avg:1897.08ms
step:393/3250 train_time:745.481s step_avg:1896.90ms
step:394/3250 train_time:747.305s step_avg:1896.71ms
step:395/3250 train_time:749.131s step_avg:1896.53ms
step:396/3250 train_time:750.955s step_avg:1896.35ms
step:397/3250 train_time:752.779s step_avg:1896.17ms
step:398/3250 train_time:754.604s step_avg:1895.99ms
step:399/3250 train_time:756.428s step_avg:1895.81ms
step:400/3250 train_time:758.528s step_avg:1896.32ms
step:401/3250 train_time:761.187s step_avg:1898.22ms
step:402/3250 train_time:763.010s step_avg:1898.03ms
step:403/3250 train_time:764.835s step_avg:1897.85ms
step:404/3250 train_time:766.658s step_avg:1897.67ms
step:405/3250 train_time:768.481s step_avg:1897.48ms
step:406/3250 train_time:770.305s step_avg:1897.30ms
step:407/3250 train_time:772.128s step_avg:1897.12ms
