logs/1760312f-94c6-4bf9-9dc6-7880205414a4.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_065627-zc67954n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief_B_belief_eps1e-10_primary
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/zc67954n
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.837s step_avg:5836.70ms
step:2/3250 train_time:7.664s step_avg:3831.99ms
step:3/3250 train_time:9.487s step_avg:3162.48ms
step:4/3250 train_time:11.310s step_avg:2827.57ms
step:5/3250 train_time:13.133s step_avg:2626.66ms
step:6/3250 train_time:14.959s step_avg:2493.11ms
step:7/3250 train_time:16.784s step_avg:2397.71ms
step:8/3250 train_time:18.608s step_avg:2325.99ms
step:9/3250 train_time:20.431s step_avg:2270.15ms
step:10/3250 train_time:22.255s step_avg:2225.51ms
step:11/3250 train_time:24.080s step_avg:2189.08ms
step:12/3250 train_time:25.905s step_avg:2158.71ms
step:13/3250 train_time:27.728s step_avg:2132.95ms
step:14/3250 train_time:29.553s step_avg:2110.91ms
step:15/3250 train_time:31.378s step_avg:2091.85ms
step:16/3250 train_time:33.203s step_avg:2075.21ms
step:17/3250 train_time:35.901s step_avg:2111.82ms
step:18/3250 train_time:37.726s step_avg:2095.89ms
step:19/3250 train_time:39.551s step_avg:2081.64ms
step:20/3250 train_time:41.376s step_avg:2068.82ms
step:21/3250 train_time:43.202s step_avg:2057.25ms
step:22/3250 train_time:45.028s step_avg:2046.73ms
step:23/3250 train_time:46.854s step_avg:2037.14ms
step:24/3250 train_time:48.681s step_avg:2028.36ms
step:25/3250 train_time:50.781s step_avg:2031.23ms
step:26/3250 train_time:52.607s step_avg:2023.35ms
step:27/3250 train_time:54.434s step_avg:2016.08ms
step:28/3250 train_time:56.261s step_avg:2009.34ms
step:29/3250 train_time:58.089s step_avg:2003.07ms
step:30/3250 train_time:59.917s step_avg:1997.24ms
step:31/3250 train_time:61.745s step_avg:1991.78ms
step:32/3250 train_time:63.573s step_avg:1986.65ms
step:33/3250 train_time:66.234s step_avg:2007.10ms
step:34/3250 train_time:68.062s step_avg:2001.83ms
step:35/3250 train_time:69.889s step_avg:1996.83ms
step:36/3250 train_time:71.715s step_avg:1992.09ms
step:37/3250 train_time:73.542s step_avg:1987.62ms
step:38/3250 train_time:75.369s step_avg:1983.39ms
step:39/3250 train_time:77.195s step_avg:1979.37ms
step:40/3250 train_time:79.023s step_avg:1975.56ms
step:41/3250 train_time:80.851s step_avg:1971.98ms
step:42/3250 train_time:82.678s step_avg:1968.53ms
step:43/3250 train_time:84.505s step_avg:1965.23ms
step:44/3250 train_time:86.332s step_avg:1962.08ms
step:45/3250 train_time:88.160s step_avg:1959.11ms
step:46/3250 train_time:89.988s step_avg:1956.26ms
step:47/3250 train_time:91.815s step_avg:1953.51ms
step:48/3250 train_time:93.642s step_avg:1950.87ms
step:49/3250 train_time:96.303s step_avg:1965.36ms
step:50/3250 train_time:98.402s step_avg:1968.05ms
step:51/3250 train_time:100.228s step_avg:1965.26ms
step:52/3250 train_time:102.055s step_avg:1962.59ms
step:53/3250 train_time:103.883s step_avg:1960.05ms
step:54/3250 train_time:105.711s step_avg:1957.61ms
step:55/3250 train_time:107.539s step_avg:1955.26ms
step:56/3250 train_time:109.367s step_avg:1952.98ms
