logs/e5ee81c5-a86f-4f07-b63c-dd3596c4cb28.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_084632-6nudej8a
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief_C_belief_eps1e-16_paperdefault
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/6nudej8a
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.761s step_avg:5760.52ms
step:2/3250 train_time:7.583s step_avg:3791.47ms
step:3/3250 train_time:9.406s step_avg:3135.38ms
step:4/3250 train_time:11.232s step_avg:2807.94ms
step:5/3250 train_time:13.057s step_avg:2611.37ms
step:6/3250 train_time:14.881s step_avg:2480.20ms
step:7/3250 train_time:16.706s step_avg:2386.53ms
step:8/3250 train_time:18.531s step_avg:2316.36ms
step:9/3250 train_time:20.357s step_avg:2261.94ms
step:10/3250 train_time:22.184s step_avg:2218.39ms
step:11/3250 train_time:24.010s step_avg:2182.71ms
step:12/3250 train_time:25.836s step_avg:2153.00ms
step:13/3250 train_time:27.663s step_avg:2127.93ms
step:14/3250 train_time:29.489s step_avg:2106.37ms
step:15/3250 train_time:31.316s step_avg:2087.74ms
step:16/3250 train_time:33.144s step_avg:2071.50ms
step:17/3250 train_time:35.841s step_avg:2108.30ms
step:18/3250 train_time:37.669s step_avg:2092.71ms
step:19/3250 train_time:39.495s step_avg:2078.68ms
step:20/3250 train_time:41.322s step_avg:2066.12ms
step:21/3250 train_time:43.151s step_avg:2054.79ms
step:22/3250 train_time:44.979s step_avg:2044.48ms
step:23/3250 train_time:46.806s step_avg:2035.04ms
step:24/3250 train_time:48.634s step_avg:2026.41ms
step:25/3250 train_time:50.735s step_avg:2029.41ms
step:26/3250 train_time:52.563s step_avg:2021.66ms
step:27/3250 train_time:54.392s step_avg:2014.53ms
step:28/3250 train_time:56.220s step_avg:2007.87ms
step:29/3250 train_time:58.051s step_avg:2001.77ms
step:30/3250 train_time:59.881s step_avg:1996.05ms
step:31/3250 train_time:61.711s step_avg:1990.68ms
step:32/3250 train_time:63.541s step_avg:1985.66ms
step:33/3250 train_time:66.204s step_avg:2006.19ms
step:34/3250 train_time:68.033s step_avg:2000.96ms
step:35/3250 train_time:69.861s step_avg:1996.02ms
step:36/3250 train_time:71.689s step_avg:1991.37ms
step:37/3250 train_time:73.519s step_avg:1987.01ms
step:38/3250 train_time:75.349s step_avg:1982.86ms
step:39/3250 train_time:77.178s step_avg:1978.92ms
step:40/3250 train_time:79.007s step_avg:1975.18ms
step:41/3250 train_time:80.837s step_avg:1971.64ms
step:42/3250 train_time:82.665s step_avg:1968.22ms
step:43/3250 train_time:84.494s step_avg:1964.98ms
step:44/3250 train_time:86.323s step_avg:1961.88ms
step:45/3250 train_time:88.152s step_avg:1958.93ms
step:46/3250 train_time:89.981s step_avg:1956.12ms
step:47/3250 train_time:91.812s step_avg:1953.45ms
step:48/3250 train_time:93.641s step_avg:1950.86ms
step:49/3250 train_time:96.303s step_avg:1965.37ms
step:50/3250 train_time:98.403s step_avg:1968.06ms
step:51/3250 train_time:100.231s step_avg:1965.32ms
step:52/3250 train_time:102.059s step_avg:1962.68ms
step:53/3250 train_time:103.887s step_avg:1960.13ms
step:54/3250 train_time:105.713s step_avg:1957.66ms
step:55/3250 train_time:107.542s step_avg:1955.31ms
step:56/3250 train_time:109.371s step_avg:1953.05ms
step:57/3250 train_time:111.198s step_avg:1950.84ms
step:58/3250 train_time:113.030s step_avg:1948.80ms
step:59/3250 train_time:114.861s step_avg:1946.79ms
step:60/3250 train_time:116.690s step_avg:1944.84ms
step:61/3250 train_time:118.519s step_avg:1942.93ms
step:62/3250 train_time:120.348s step_avg:1941.09ms
step:63/3250 train_time:122.177s step_avg:1939.32ms
step:64/3250 train_time:124.008s step_avg:1937.63ms
step:65/3250 train_time:126.671s step_avg:1948.78ms
step:66/3250 train_time:128.499s step_avg:1946.96ms
step:67/3250 train_time:130.328s step_avg:1945.19ms
step:68/3250 train_time:132.157s step_avg:1943.49ms
step:69/3250 train_time:133.987s step_avg:1941.83ms
step:70/3250 train_time:135.816s step_avg:1940.23ms
step:71/3250 train_time:137.645s step_avg:1938.66ms
step:72/3250 train_time:139.473s step_avg:1937.13ms
step:73/3250 train_time:141.302s step_avg:1935.65ms
step:74/3250 train_time:143.131s step_avg:1934.21ms
step:75/3250 train_time:145.240s step_avg:1936.53ms
step:76/3250 train_time:147.069s step_avg:1935.12ms
step:77/3250 train_time:148.897s step_avg:1933.73ms
step:78/3250 train_time:150.727s step_avg:1932.40ms
step:79/3250 train_time:152.556s step_avg:1931.08ms
step:80/3250 train_time:154.385s step_avg:1929.81ms
step:81/3250 train_time:157.047s step_avg:1938.85ms
step:82/3250 train_time:158.875s step_avg:1937.50ms
step:83/3250 train_time:160.704s step_avg:1936.19ms
step:84/3250 train_time:162.535s step_avg:1934.94ms
step:85/3250 train_time:164.366s step_avg:1933.72ms
step:86/3250 train_time:166.200s step_avg:1932.56ms
step:87/3250 train_time:168.030s step_avg:1931.38ms
step:88/3250 train_time:169.858s step_avg:1930.20ms
step:89/3250 train_time:171.686s step_avg:1929.05ms
step:90/3250 train_time:173.513s step_avg:1927.93ms
step:91/3250 train_time:175.342s step_avg:1926.84ms
step:92/3250 train_time:177.170s step_avg:1925.77ms
step:93/3250 train_time:178.998s step_avg:1924.71ms
step:94/3250 train_time:180.827s step_avg:1923.69ms
step:95/3250 train_time:182.655s step_avg:1922.69ms
step:96/3250 train_time:184.486s step_avg:1921.73ms
step:97/3250 train_time:187.148s step_avg:1929.36ms
step:98/3250 train_time:188.976s step_avg:1928.33ms
step:99/3250 train_time:190.805s step_avg:1927.32ms
step:100/3250 train_time:192.907s step_avg:1929.07ms
step:101/3250 train_time:194.735s step_avg:1928.07ms
step:102/3250 train_time:196.565s step_avg:1927.10ms
step:103/3250 train_time:198.393s step_avg:1926.15ms
step:104/3250 train_time:200.222s step_avg:1925.21ms
step:105/3250 train_time:202.050s step_avg:1924.28ms
step:106/3250 train_time:203.879s step_avg:1923.39ms
step:107/3250 train_time:205.707s step_avg:1922.49ms
step:108/3250 train_time:207.535s step_avg:1921.62ms
step:109/3250 train_time:209.364s step_avg:1920.77ms
step:110/3250 train_time:211.193s step_avg:1919.94ms
step:111/3250 train_time:213.023s step_avg:1919.12ms
step:112/3250 train_time:214.850s step_avg:1918.30ms
step:113/3250 train_time:217.512s step_avg:1924.88ms
step:114/3250 train_time:219.338s step_avg:1924.02ms
step:115/3250 train_time:221.165s step_avg:1923.17ms
step:116/3250 train_time:222.992s step_avg:1922.34ms
step:117/3250 train_time:224.820s step_avg:1921.54ms
step:118/3250 train_time:226.647s step_avg:1920.74ms
step:119/3250 train_time:228.474s step_avg:1919.95ms
step:120/3250 train_time:230.302s step_avg:1919.18ms
step:121/3250 train_time:232.130s step_avg:1918.43ms
step:122/3250 train_time:233.959s step_avg:1917.70ms
step:123/3250 train_time:235.786s step_avg:1916.96ms
step:124/3250 train_time:237.614s step_avg:1916.24ms
step:125/3250 train_time:239.779s step_avg:1918.23ms
step:125/3250 val_loss:4.48970 train_time:239.779s step_avg:1918.24ms
step:126/3250 train_time:241.608s step_avg:1917.53ms
step:127/3250 train_time:243.435s step_avg:1916.81ms
step:128/3250 train_time:245.262s step_avg:1916.11ms
step:129/3250 train_time:247.924s step_avg:1921.89ms
step:130/3250 train_time:249.750s step_avg:1921.15ms
