logs/c924b57d-7363-4ab1-9d08-726e669cfe4d.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_103637-rfx4ai9r
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief_D_belief_eps1e-8_loose
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/rfx4ai9r
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.759s step_avg:5758.58ms
step:2/3250 train_time:7.581s step_avg:3790.38ms
step:3/3250 train_time:9.404s step_avg:3134.66ms
step:4/3250 train_time:11.228s step_avg:2807.01ms
step:5/3250 train_time:13.053s step_avg:2610.60ms
step:6/3250 train_time:14.878s step_avg:2479.70ms
step:7/3250 train_time:16.704s step_avg:2386.26ms
step:8/3250 train_time:18.530s step_avg:2316.24ms
step:9/3250 train_time:20.357s step_avg:2261.94ms
step:10/3250 train_time:22.184s step_avg:2218.40ms
step:11/3250 train_time:24.011s step_avg:2182.85ms
step:12/3250 train_time:25.839s step_avg:2153.22ms
step:13/3250 train_time:27.666s step_avg:2128.14ms
step:14/3250 train_time:29.493s step_avg:2106.62ms
step:15/3250 train_time:31.320s step_avg:2088.02ms
step:16/3250 train_time:33.147s step_avg:2071.70ms
step:17/3250 train_time:35.846s step_avg:2108.62ms
step:18/3250 train_time:37.675s step_avg:2093.03ms
step:19/3250 train_time:39.503s step_avg:2079.10ms
step:20/3250 train_time:41.331s step_avg:2066.53ms
step:21/3250 train_time:43.160s step_avg:2055.21ms
step:22/3250 train_time:44.989s step_avg:2044.95ms
step:23/3250 train_time:46.818s step_avg:2035.55ms
step:24/3250 train_time:48.647s step_avg:2026.95ms
step:25/3250 train_time:50.747s step_avg:2029.90ms
step:26/3250 train_time:52.576s step_avg:2022.15ms
step:27/3250 train_time:54.406s step_avg:2015.04ms
step:28/3250 train_time:56.236s step_avg:2008.42ms
step:29/3250 train_time:58.065s step_avg:2002.25ms
step:30/3250 train_time:59.895s step_avg:1996.50ms
step:31/3250 train_time:61.724s step_avg:1991.11ms
step:32/3250 train_time:63.554s step_avg:1986.07ms
step:33/3250 train_time:66.218s step_avg:2006.62ms
step:34/3250 train_time:68.046s step_avg:2001.36ms
step:35/3250 train_time:69.873s step_avg:1996.38ms
step:36/3250 train_time:71.701s step_avg:1991.70ms
step:37/3250 train_time:73.530s step_avg:1987.28ms
step:38/3250 train_time:75.357s step_avg:1983.08ms
step:39/3250 train_time:77.185s step_avg:1979.11ms
step:40/3250 train_time:79.015s step_avg:1975.36ms
step:41/3250 train_time:80.843s step_avg:1971.79ms
step:42/3250 train_time:82.671s step_avg:1968.36ms
step:43/3250 train_time:84.499s step_avg:1965.09ms
step:44/3250 train_time:86.328s step_avg:1961.99ms
step:45/3250 train_time:88.156s step_avg:1959.03ms
step:46/3250 train_time:89.986s step_avg:1956.21ms
step:47/3250 train_time:91.814s step_avg:1953.50ms
step:48/3250 train_time:93.644s step_avg:1950.91ms
step:49/3250 train_time:96.307s step_avg:1965.44ms
step:50/3250 train_time:98.408s step_avg:1968.16ms
step:51/3250 train_time:100.235s step_avg:1965.40ms
step:52/3250 train_time:102.064s step_avg:1962.76ms
step:53/3250 train_time:103.891s step_avg:1960.21ms
step:54/3250 train_time:105.719s step_avg:1957.76ms
step:55/3250 train_time:107.548s step_avg:1955.41ms
step:56/3250 train_time:109.377s step_avg:1953.15ms
step:57/3250 train_time:111.206s step_avg:1950.98ms
step:58/3250 train_time:113.035s step_avg:1948.87ms
step:59/3250 train_time:114.863s step_avg:1946.83ms
step:60/3250 train_time:116.692s step_avg:1944.86ms
step:61/3250 train_time:118.521s step_avg:1942.96ms
step:62/3250 train_time:120.349s step_avg:1941.11ms
step:63/3250 train_time:122.179s step_avg:1939.35ms
step:64/3250 train_time:124.008s step_avg:1937.62ms
step:65/3250 train_time:126.672s step_avg:1948.80ms
step:66/3250 train_time:128.501s step_avg:1946.98ms
step:67/3250 train_time:130.329s step_avg:1945.20ms
step:68/3250 train_time:132.156s step_avg:1943.47ms
step:69/3250 train_time:133.984s step_avg:1941.79ms
step:70/3250 train_time:135.812s step_avg:1940.17ms
step:71/3250 train_time:137.640s step_avg:1938.59ms
step:72/3250 train_time:139.467s step_avg:1937.05ms
step:73/3250 train_time:141.295s step_avg:1935.55ms
step:74/3250 train_time:143.124s step_avg:1934.10ms
step:75/3250 train_time:145.224s step_avg:1936.31ms
step:76/3250 train_time:147.051s step_avg:1934.88ms
step:77/3250 train_time:148.879s step_avg:1933.49ms
step:78/3250 train_time:150.707s step_avg:1932.14ms
step:79/3250 train_time:152.535s step_avg:1930.82ms
step:80/3250 train_time:154.364s step_avg:1929.55ms
step:81/3250 train_time:157.027s step_avg:1938.61ms
step:82/3250 train_time:158.857s step_avg:1937.28ms
step:83/3250 train_time:160.685s step_avg:1935.96ms
step:84/3250 train_time:162.512s step_avg:1934.67ms
step:85/3250 train_time:164.341s step_avg:1933.43ms
step:86/3250 train_time:166.170s step_avg:1932.20ms
step:87/3250 train_time:167.998s step_avg:1931.01ms
step:88/3250 train_time:169.826s step_avg:1929.84ms
step:89/3250 train_time:171.655s step_avg:1928.71ms
step:90/3250 train_time:173.483s step_avg:1927.59ms
