logs/218c4dd9-a976-4ef7-b492-322aced0a4f0.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_122641-wtsmc7jx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief_E_adamw_eps1e-16_falsifier
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/wtsmc7jx
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.766s step_avg:5766.17ms
step:2/3250 train_time:7.584s step_avg:3792.02ms
step:3/3250 train_time:9.402s step_avg:3134.10ms
step:4/3250 train_time:11.222s step_avg:2805.46ms
step:5/3250 train_time:13.043s step_avg:2608.53ms
step:6/3250 train_time:14.865s step_avg:2477.53ms
step:7/3250 train_time:16.687s step_avg:2383.81ms
step:8/3250 train_time:18.509s step_avg:2313.62ms
step:9/3250 train_time:20.331s step_avg:2259.00ms
step:10/3250 train_time:22.155s step_avg:2215.51ms
step:11/3250 train_time:23.979s step_avg:2179.90ms
step:12/3250 train_time:25.802s step_avg:2150.15ms
step:13/3250 train_time:27.625s step_avg:2125.01ms
step:14/3250 train_time:29.448s step_avg:2103.42ms
step:15/3250 train_time:31.272s step_avg:2084.78ms
step:16/3250 train_time:33.096s step_avg:2068.49ms
step:17/3250 train_time:35.790s step_avg:2105.28ms
step:18/3250 train_time:37.613s step_avg:2089.61ms
step:19/3250 train_time:39.437s step_avg:2075.62ms
step:20/3250 train_time:41.261s step_avg:2063.04ms
step:21/3250 train_time:43.085s step_avg:2051.69ms
step:22/3250 train_time:44.911s step_avg:2041.40ms
step:23/3250 train_time:46.735s step_avg:2031.97ms
step:24/3250 train_time:48.560s step_avg:2023.32ms
step:25/3250 train_time:50.657s step_avg:2026.28ms
step:26/3250 train_time:52.482s step_avg:2018.56ms
step:27/3250 train_time:54.309s step_avg:2011.43ms
step:28/3250 train_time:56.134s step_avg:2004.77ms
step:29/3250 train_time:57.958s step_avg:1998.56ms
step:30/3250 train_time:59.783s step_avg:1992.77ms
step:31/3250 train_time:61.609s step_avg:1987.38ms
step:32/3250 train_time:63.435s step_avg:1982.35ms
step:33/3250 train_time:66.096s step_avg:2002.90ms
step:34/3250 train_time:67.920s step_avg:1997.66ms
step:35/3250 train_time:69.746s step_avg:1992.73ms
step:36/3250 train_time:71.570s step_avg:1988.05ms
step:37/3250 train_time:73.395s step_avg:1983.65ms
step:38/3250 train_time:75.220s step_avg:1979.49ms
step:39/3250 train_time:77.045s step_avg:1975.51ms
step:40/3250 train_time:78.869s step_avg:1971.73ms
step:41/3250 train_time:80.694s step_avg:1968.15ms
step:42/3250 train_time:82.519s step_avg:1964.75ms
step:43/3250 train_time:84.346s step_avg:1961.53ms
step:44/3250 train_time:86.170s step_avg:1958.42ms
step:45/3250 train_time:87.996s step_avg:1955.46ms
step:46/3250 train_time:89.821s step_avg:1952.64ms
step:47/3250 train_time:91.647s step_avg:1949.93ms
step:48/3250 train_time:93.473s step_avg:1947.35ms
step:49/3250 train_time:96.134s step_avg:1961.92ms
step:50/3250 train_time:98.236s step_avg:1964.72ms
step:51/3250 train_time:100.061s step_avg:1961.98ms
step:52/3250 train_time:101.885s step_avg:1959.33ms
step:53/3250 train_time:103.710s step_avg:1956.79ms
step:54/3250 train_time:105.534s step_avg:1954.33ms
step:55/3250 train_time:107.360s step_avg:1952.01ms
step:56/3250 train_time:109.185s step_avg:1949.73ms
step:57/3250 train_time:111.009s step_avg:1947.52ms
step:58/3250 train_time:112.834s step_avg:1945.41ms
step:59/3250 train_time:114.661s step_avg:1943.40ms
step:60/3250 train_time:116.486s step_avg:1941.44ms
step:61/3250 train_time:118.311s step_avg:1939.53ms
step:62/3250 train_time:120.137s step_avg:1937.69ms
step:63/3250 train_time:121.961s step_avg:1935.89ms
step:64/3250 train_time:123.787s step_avg:1934.17ms
step:65/3250 train_time:126.447s step_avg:1945.34ms
step:66/3250 train_time:128.271s step_avg:1943.50ms
