logs/70471169-7424-4eb5-8724-efd9930285ec.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_145048-gmqu5cnq
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief-C-confirm-n4-seed1
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/gmqu5cnq
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.060s step_avg:6059.91ms
step:2/3250 train_time:7.888s step_avg:3943.84ms
step:3/3250 train_time:9.715s step_avg:3238.32ms
step:4/3250 train_time:11.542s step_avg:2885.55ms
step:5/3250 train_time:13.370s step_avg:2673.93ms
step:6/3250 train_time:15.196s step_avg:2532.74ms
step:7/3250 train_time:17.022s step_avg:2431.67ms
step:8/3250 train_time:18.845s step_avg:2355.67ms
step:9/3250 train_time:20.668s step_avg:2296.44ms
step:10/3250 train_time:22.490s step_avg:2249.03ms
step:11/3250 train_time:24.313s step_avg:2210.25ms
step:12/3250 train_time:26.137s step_avg:2178.08ms
step:13/3250 train_time:27.961s step_avg:2150.85ms
step:14/3250 train_time:29.785s step_avg:2127.47ms
step:15/3250 train_time:31.608s step_avg:2107.17ms
step:16/3250 train_time:33.431s step_avg:2089.41ms
step:17/3250 train_time:36.127s step_avg:2125.14ms
step:18/3250 train_time:37.953s step_avg:2108.51ms
step:19/3250 train_time:39.778s step_avg:2093.57ms
step:20/3250 train_time:41.604s step_avg:2080.19ms
step:21/3250 train_time:43.428s step_avg:2068.02ms
step:22/3250 train_time:45.254s step_avg:2056.98ms
step:23/3250 train_time:47.081s step_avg:2046.99ms
step:24/3250 train_time:48.907s step_avg:2037.80ms
step:25/3250 train_time:51.009s step_avg:2040.37ms
step:26/3250 train_time:52.835s step_avg:2032.11ms
step:27/3250 train_time:54.661s step_avg:2024.49ms
step:28/3250 train_time:56.488s step_avg:2017.44ms
step:29/3250 train_time:58.315s step_avg:2010.86ms
step:30/3250 train_time:60.142s step_avg:2004.72ms
step:31/3250 train_time:61.968s step_avg:1998.96ms
step:32/3250 train_time:63.794s step_avg:1993.58ms
step:33/3250 train_time:66.455s step_avg:2013.79ms
step:34/3250 train_time:68.281s step_avg:2008.25ms
step:35/3250 train_time:70.107s step_avg:2003.05ms
step:36/3250 train_time:71.933s step_avg:1998.15ms
step:37/3250 train_time:73.759s step_avg:1993.49ms
step:38/3250 train_time:75.585s step_avg:1989.08ms
step:39/3250 train_time:77.414s step_avg:1984.98ms
step:40/3250 train_time:79.242s step_avg:1981.05ms
step:41/3250 train_time:81.070s step_avg:1977.32ms
step:42/3250 train_time:82.897s step_avg:1973.74ms
step:43/3250 train_time:84.724s step_avg:1970.33ms
step:44/3250 train_time:86.553s step_avg:1967.10ms
step:45/3250 train_time:88.379s step_avg:1963.98ms
step:46/3250 train_time:90.206s step_avg:1961.01ms
step:47/3250 train_time:92.034s step_avg:1958.17ms
step:48/3250 train_time:93.862s step_avg:1955.45ms
step:49/3250 train_time:96.523s step_avg:1969.85ms
step:50/3250 train_time:98.622s step_avg:1972.45ms
step:51/3250 train_time:100.449s step_avg:1969.59ms
step:52/3250 train_time:102.276s step_avg:1966.85ms
step:53/3250 train_time:104.103s step_avg:1964.21ms
step:54/3250 train_time:105.931s step_avg:1961.68ms
step:55/3250 train_time:107.759s step_avg:1959.26ms
step:56/3250 train_time:109.587s step_avg:1956.90ms
step:57/3250 train_time:111.414s step_avg:1954.63ms
step:58/3250 train_time:113.241s step_avg:1952.43ms
step:59/3250 train_time:115.068s step_avg:1950.31ms
step:60/3250 train_time:116.896s step_avg:1948.27ms
step:61/3250 train_time:118.725s step_avg:1946.30ms
step:62/3250 train_time:120.552s step_avg:1944.39ms
step:63/3250 train_time:122.380s step_avg:1942.54ms
step:64/3250 train_time:124.207s step_avg:1940.74ms
step:65/3250 train_time:126.870s step_avg:1951.84ms
step:66/3250 train_time:128.698s step_avg:1949.96ms
step:67/3250 train_time:130.524s step_avg:1948.12ms
step:68/3250 train_time:132.351s step_avg:1946.34ms
step:69/3250 train_time:134.179s step_avg:1944.62ms
step:70/3250 train_time:136.006s step_avg:1942.95ms
step:71/3250 train_time:137.834s step_avg:1941.32ms
step:72/3250 train_time:139.661s step_avg:1939.73ms
step:73/3250 train_time:141.488s step_avg:1938.20ms
step:74/3250 train_time:143.317s step_avg:1936.71ms
step:75/3250 train_time:145.418s step_avg:1938.90ms
step:76/3250 train_time:147.245s step_avg:1937.43ms
step:77/3250 train_time:149.074s step_avg:1936.02ms
step:78/3250 train_time:150.901s step_avg:1934.63ms
step:79/3250 train_time:152.729s step_avg:1933.28ms
step:80/3250 train_time:154.556s step_avg:1931.95ms
step:81/3250 train_time:157.218s step_avg:1940.96ms
step:82/3250 train_time:159.045s step_avg:1939.58ms
step:83/3250 train_time:160.873s step_avg:1938.22ms
step:84/3250 train_time:162.699s step_avg:1936.90ms
step:85/3250 train_time:164.527s step_avg:1935.61ms
step:86/3250 train_time:166.356s step_avg:1934.38ms
step:87/3250 train_time:168.185s step_avg:1933.16ms
step:88/3250 train_time:170.012s step_avg:1931.96ms
step:89/3250 train_time:171.840s step_avg:1930.78ms
step:90/3250 train_time:173.668s step_avg:1929.65ms
step:91/3250 train_time:175.495s step_avg:1928.52ms
step:92/3250 train_time:177.323s step_avg:1927.42ms
step:93/3250 train_time:179.152s step_avg:1926.37ms
step:94/3250 train_time:180.980s step_avg:1925.32ms
step:95/3250 train_time:182.807s step_avg:1924.29ms
step:96/3250 train_time:184.634s step_avg:1923.27ms
step:97/3250 train_time:187.296s step_avg:1930.89ms
step:98/3250 train_time:189.123s step_avg:1929.83ms
step:99/3250 train_time:190.950s step_avg:1928.79ms
step:100/3250 train_time:193.050s step_avg:1930.50ms
step:101/3250 train_time:194.877s step_avg:1929.48ms
step:102/3250 train_time:196.706s step_avg:1928.49ms
step:103/3250 train_time:198.533s step_avg:1927.51ms
step:104/3250 train_time:200.361s step_avg:1926.54ms
step:105/3250 train_time:202.188s step_avg:1925.60ms
step:106/3250 train_time:204.016s step_avg:1924.68ms
step:107/3250 train_time:205.843s step_avg:1923.77ms
step:108/3250 train_time:207.671s step_avg:1922.88ms
step:109/3250 train_time:209.500s step_avg:1922.02ms
step:110/3250 train_time:211.329s step_avg:1921.17ms
step:111/3250 train_time:213.157s step_avg:1920.33ms
step:112/3250 train_time:214.984s step_avg:1919.50ms
step:113/3250 train_time:217.646s step_avg:1926.07ms
step:114/3250 train_time:219.472s step_avg:1925.19ms
step:115/3250 train_time:221.299s step_avg:1924.34ms
step:116/3250 train_time:223.126s step_avg:1923.50ms
step:117/3250 train_time:224.954s step_avg:1922.69ms
step:118/3250 train_time:226.782s step_avg:1921.88ms
step:119/3250 train_time:228.609s step_avg:1921.09ms
step:120/3250 train_time:230.436s step_avg:1920.30ms
step:121/3250 train_time:232.263s step_avg:1919.53ms
step:122/3250 train_time:234.090s step_avg:1918.77ms
step:123/3250 train_time:235.918s step_avg:1918.03ms
step:124/3250 train_time:237.745s step_avg:1917.30ms
step:125/3250 train_time:239.911s step_avg:1919.29ms
step:125/3250 val_loss:4.48845 train_time:239.912s step_avg:1919.29ms
step:126/3250 train_time:241.740s step_avg:1918.57ms
step:127/3250 train_time:243.567s step_avg:1917.85ms
step:128/3250 train_time:245.396s step_avg:1917.16ms
step:129/3250 train_time:248.058s step_avg:1922.93ms
step:130/3250 train_time:249.885s step_avg:1922.19ms
step:131/3250 train_time:251.712s step_avg:1921.47ms
step:132/3250 train_time:253.540s step_avg:1920.75ms
step:133/3250 train_time:255.367s step_avg:1920.06ms
step:134/3250 train_time:257.194s step_avg:1919.36ms
step:135/3250 train_time:259.023s step_avg:1918.69ms
step:136/3250 train_time:260.851s step_avg:1918.02ms
step:137/3250 train_time:262.678s step_avg:1917.36ms
step:138/3250 train_time:264.505s step_avg:1916.71ms
step:139/3250 train_time:266.334s step_avg:1916.07ms
step:140/3250 train_time:268.162s step_avg:1915.44ms
step:141/3250 train_time:269.989s step_avg:1914.82ms
step:142/3250 train_time:271.816s step_avg:1914.20ms
step:143/3250 train_time:273.644s step_avg:1913.60ms
step:144/3250 train_time:275.473s step_avg:1913.01ms
step:145/3250 train_time:278.135s step_avg:1918.17ms
step:146/3250 train_time:279.963s step_avg:1917.55ms
step:147/3250 train_time:281.791s step_avg:1916.94ms
step:148/3250 train_time:283.618s step_avg:1916.34ms
step:149/3250 train_time:285.446s step_avg:1915.75ms
step:150/3250 train_time:287.547s step_avg:1916.98ms
step:151/3250 train_time:289.374s step_avg:1916.39ms
step:152/3250 train_time:291.201s step_avg:1915.80ms
step:153/3250 train_time:293.028s step_avg:1915.21ms
step:154/3250 train_time:294.855s step_avg:1914.64ms
step:155/3250 train_time:296.683s step_avg:1914.08ms
step:156/3250 train_time:298.510s step_avg:1913.53ms
step:157/3250 train_time:300.337s step_avg:1912.97ms
step:158/3250 train_time:302.164s step_avg:1912.43ms
step:159/3250 train_time:303.992s step_avg:1911.90ms
step:160/3250 train_time:305.821s step_avg:1911.38ms
step:161/3250 train_time:308.482s step_avg:1916.04ms
step:162/3250 train_time:310.311s step_avg:1915.50ms
step:163/3250 train_time:312.139s step_avg:1914.96ms
step:164/3250 train_time:313.967s step_avg:1914.44ms
step:165/3250 train_time:315.797s step_avg:1913.92ms
step:166/3250 train_time:317.626s step_avg:1913.41ms
step:167/3250 train_time:319.454s step_avg:1912.90ms
step:168/3250 train_time:321.282s step_avg:1912.39ms
step:169/3250 train_time:323.110s step_avg:1911.89ms
step:170/3250 train_time:324.938s step_avg:1911.40ms
step:171/3250 train_time:326.768s step_avg:1910.92ms
step:172/3250 train_time:328.596s step_avg:1910.44ms
step:173/3250 train_time:330.425s step_avg:1909.97ms
step:174/3250 train_time:332.255s step_avg:1909.51ms
step:175/3250 train_time:334.359s step_avg:1910.62ms
step:176/3250 train_time:336.188s step_avg:1910.16ms
step:177/3250 train_time:338.850s step_avg:1914.41ms
step:178/3250 train_time:340.676s step_avg:1913.91ms
step:179/3250 train_time:342.503s step_avg:1913.42ms
step:180/3250 train_time:344.330s step_avg:1912.95ms
step:181/3250 train_time:346.159s step_avg:1912.48ms
step:182/3250 train_time:347.986s step_avg:1912.01ms
step:183/3250 train_time:349.814s step_avg:1911.55ms
step:184/3250 train_time:351.641s step_avg:1911.09ms
step:185/3250 train_time:353.469s step_avg:1910.64ms
step:186/3250 train_time:355.296s step_avg:1910.20ms
step:187/3250 train_time:357.125s step_avg:1909.76ms
step:188/3250 train_time:358.954s step_avg:1909.33ms
step:189/3250 train_time:360.783s step_avg:1908.90ms
step:190/3250 train_time:362.611s step_avg:1908.48ms
step:191/3250 train_time:364.547s step_avg:1908.62ms
step:192/3250 train_time:366.376s step_avg:1908.21ms
step:193/3250 train_time:369.038s step_avg:1912.11ms
step:194/3250 train_time:370.865s step_avg:1911.68ms
step:195/3250 train_time:372.692s step_avg:1911.24ms
step:196/3250 train_time:374.520s step_avg:1910.82ms
step:197/3250 train_time:376.347s step_avg:1910.39ms
step:198/3250 train_time:378.175s step_avg:1909.97ms
step:199/3250 train_time:380.002s step_avg:1909.56ms
step:200/3250 train_time:382.102s step_avg:1910.51ms
step:201/3250 train_time:383.929s step_avg:1910.10ms
step:202/3250 train_time:385.756s step_avg:1909.68ms
step:203/3250 train_time:387.583s step_avg:1909.28ms
step:204/3250 train_time:389.410s step_avg:1908.87ms
step:205/3250 train_time:391.237s step_avg:1908.47ms
step:206/3250 train_time:393.063s step_avg:1908.07ms
step:207/3250 train_time:394.892s step_avg:1907.69ms
step:208/3250 train_time:396.720s step_avg:1907.31ms
step:209/3250 train_time:399.381s step_avg:1910.91ms
step:210/3250 train_time:401.208s step_avg:1910.51ms
step:211/3250 train_time:403.036s step_avg:1910.12ms
step:212/3250 train_time:404.863s step_avg:1909.73ms
step:213/3250 train_time:406.691s step_avg:1909.35ms
step:214/3250 train_time:408.519s step_avg:1908.97ms
step:215/3250 train_time:410.347s step_avg:1908.59ms
step:216/3250 train_time:412.175s step_avg:1908.22ms
step:217/3250 train_time:414.003s step_avg:1907.85ms
step:218/3250 train_time:415.832s step_avg:1907.49ms
step:219/3250 train_time:417.661s step_avg:1907.13ms
step:220/3250 train_time:419.489s step_avg:1906.77ms
step:221/3250 train_time:421.317s step_avg:1906.41ms
step:222/3250 train_time:423.144s step_avg:1906.06ms
step:223/3250 train_time:424.972s step_avg:1905.71ms
step:224/3250 train_time:426.800s step_avg:1905.36ms
step:225/3250 train_time:429.739s step_avg:1909.95ms
step:226/3250 train_time:431.566s step_avg:1909.58ms
step:227/3250 train_time:433.393s step_avg:1909.22ms
step:228/3250 train_time:435.219s step_avg:1908.86ms
step:229/3250 train_time:437.047s step_avg:1908.50ms
step:230/3250 train_time:438.877s step_avg:1908.16ms
step:231/3250 train_time:440.705s step_avg:1907.81ms
step:232/3250 train_time:442.533s step_avg:1907.47ms
step:233/3250 train_time:444.362s step_avg:1907.13ms
step:234/3250 train_time:446.192s step_avg:1906.80ms
step:235/3250 train_time:448.019s step_avg:1906.47ms
step:236/3250 train_time:449.847s step_avg:1906.13ms
step:237/3250 train_time:451.676s step_avg:1905.81ms
step:238/3250 train_time:453.505s step_avg:1905.48ms
step:239/3250 train_time:455.332s step_avg:1905.15ms
step:240/3250 train_time:457.158s step_avg:1904.83ms
step:241/3250 train_time:459.819s step_avg:1907.96ms
step:242/3250 train_time:461.646s step_avg:1907.63ms
step:243/3250 train_time:463.473s step_avg:1907.30ms
step:244/3250 train_time:465.301s step_avg:1906.97ms
step:245/3250 train_time:467.129s step_avg:1906.65ms
step:246/3250 train_time:468.955s step_avg:1906.32ms
step:247/3250 train_time:470.782s step_avg:1906.00ms
step:248/3250 train_time:472.610s step_avg:1905.69ms
step:249/3250 train_time:474.437s step_avg:1905.37ms
step:250/3250 train_time:476.608s step_avg:1906.43ms
step:250/3250 val_loss:4.05996 train_time:476.608s step_avg:1893.57ms
step:251/3250 train_time:478.436s step_avg:1906.12ms
step:252/3250 train_time:480.264s step_avg:1905.81ms
step:253/3250 train_time:482.093s step_avg:1905.51ms
step:254/3250 train_time:483.921s step_avg:1905.20ms
step:255/3250 train_time:485.749s step_avg:1904.90ms
step:256/3250 train_time:487.577s step_avg:1904.60ms
step:257/3250 train_time:490.239s step_avg:1907.54ms
step:258/3250 train_time:492.066s step_avg:1907.23ms
step:259/3250 train_time:493.895s step_avg:1906.93ms
step:260/3250 train_time:495.723s step_avg:1906.63ms
step:261/3250 train_time:497.550s step_avg:1906.32ms
step:262/3250 train_time:499.378s step_avg:1906.02ms
step:263/3250 train_time:501.206s step_avg:1905.73ms
step:264/3250 train_time:503.035s step_avg:1905.43ms
step:265/3250 train_time:504.863s step_avg:1905.14ms
step:266/3250 train_time:506.691s step_avg:1904.85ms
step:267/3250 train_time:508.519s step_avg:1904.57ms
step:268/3250 train_time:510.348s step_avg:1904.28ms
step:269/3250 train_time:512.174s step_avg:1903.99ms
step:270/3250 train_time:514.002s step_avg:1903.71ms
step:271/3250 train_time:515.831s step_avg:1903.44ms
step:272/3250 train_time:517.659s step_avg:1903.16ms
step:273/3250 train_time:520.320s step_avg:1905.93ms
step:274/3250 train_time:522.147s step_avg:1905.65ms
step:275/3250 train_time:524.254s step_avg:1906.38ms
step:276/3250 train_time:526.081s step_avg:1906.09ms
step:277/3250 train_time:527.908s step_avg:1905.81ms
step:278/3250 train_time:529.735s step_avg:1905.52ms
step:279/3250 train_time:531.563s step_avg:1905.24ms
step:280/3250 train_time:533.390s step_avg:1904.97ms
