logs/17ead7b5-8ee0-45f9-8522-9a8ae655533b.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_164103-fwymzlgy
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/adabelief-C-confirm-n4-seed2
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/fwymzlgy
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.002s step_avg:nanms
step:1/3250 train_time:21.553s step_avg:21552.80ms
step:2/3250 train_time:25.535s step_avg:12767.67ms
step:3/3250 train_time:29.521s step_avg:9840.27ms
step:4/3250 train_time:33.504s step_avg:8376.12ms
step:5/3250 train_time:37.492s step_avg:7498.47ms
step:6/3250 train_time:41.480s step_avg:6913.37ms
step:7/3250 train_time:45.467s step_avg:6495.27ms
step:8/3250 train_time:49.455s step_avg:6181.92ms
step:9/3250 train_time:53.446s step_avg:5938.49ms
step:10/3250 train_time:57.390s step_avg:5739.04ms
step:11/3250 train_time:61.363s step_avg:5578.48ms
step:12/3250 train_time:65.353s step_avg:5446.12ms
step:13/3250 train_time:69.343s step_avg:5334.08ms
step:14/3250 train_time:73.330s step_avg:5237.82ms
step:15/3250 train_time:77.319s step_avg:5154.62ms
step:16/3250 train_time:81.307s step_avg:5081.69ms
step:17/3250 train_time:87.128s step_avg:5125.20ms
step:18/3250 train_time:90.594s step_avg:5032.98ms
step:19/3250 train_time:92.641s step_avg:4875.87ms
step:20/3250 train_time:94.696s step_avg:4734.78ms
step:21/3250 train_time:96.751s step_avg:4607.18ms
step:22/3250 train_time:98.804s step_avg:4491.08ms
step:23/3250 train_time:100.850s step_avg:4384.79ms
step:24/3250 train_time:103.004s step_avg:4291.82stestep:25/3250 train_time:119.886s step_avg:4795.44ms
step:26/3250 train_time:123.873s step_avg:4764.36ms
step:27/3250 train_time:127.835s step_avg:4734.64ms
step:28/3250 train_time:131.823s step_avg:4707.95ms
W0525 16:43:39.566000 391730 torch/distributed/elastic/agent/server/api.py:739] Received Signals.SIGTERM death signal, shutting down workers
W0525 16:43:39.567000 391730 torch/distributed/elastic/multiprocessing/api.py:1012] Sending process 391755 closing signal SIGTERM
Traceback (most recent call last):
  File "/usr/local/bin/torchrun", line 6, in <module>
 step:36/3250 train_time:147.548s step_avg:4098.55ms
step:37/3250 train_time:149.375s step_avg:4037.15ms
