==== n=4 CONFIRM Cell B START 2026-05-29T22:05:00Z ====
logs/02d3eb19-95ca-4fb0-9d9a-1e7dbe7201ee.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260529_220505-rb0655m6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-alphonse/soap-gram-b2-warmup-n4-confirm
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/rb0655m6
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 ema_val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.035s step_avg:6034.67ms
step:2/3250 train_time:7.861s step_avg:3930.37ms
step:3/3250 train_time:9.684s step_avg:3228.10ms
step:4/3250 train_time:11.504s step_avg:2876.01ms
step:5/3250 train_time:13.324s step_avg:2664.82ms
step:6/3250 train_time:15.145s step_avg:2524.17ms
step:7/3250 train_time:16.966s step_avg:2423.65ms
step:8/3250 train_time:18.787s step_avg:2348.39ms
step:9/3250 train_time:20.609s step_avg:2289.87ms
step:10/3250 train_time:22.430s step_avg:2243.01ms
step:11/3250 train_time:24.252s step_avg:2204.70ms
step:12/3250 train_time:26.074s step_avg:2172.80ms
step:13/3250 train_time:27.896s step_avg:2145.88ms
step:14/3250 train_time:29.719s step_avg:2122.76ms
step:15/3250 train_time:31.541s step_avg:2102.72ms
step:16/3250 train_time:33.364s step_avg:2085.23ms
step:17/3250 train_time:36.059s step_avg:2121.12ms
step:18/3250 train_time:37.883s step_avg:2104.63ms
step:19/3250 train_time:39.707s step_avg:2089.84ms
step:20/3250 train_time:41.530s step_avg:2076.48ms
step:21/3250 train_time:43.352s step_avg:2064.40ms
