=== START Cell B (eps=1e-6) at 2026-05-24T20:58:02+00:00 ===
logs/e8f6c4d3-4de7-4619-a246-086ca16afed0.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260524_205807-8ebopxxf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run eps_B_1e-6_primary
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/8ebopxxf
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.825s step_avg:5824.99ms
step:2/3250 train_time:7.646s step_avg:3823.21ms
step:3/3250 train_time:9.468s step_avg:3155.90ms
step:4/3250 train_time:11.290s step_avg:2822.49ms
step:5/3250 train_time:13.111s step_avg:2622.26ms
step:6/3250 train_time:14.931s step_avg:2488.55ms
step:7/3250 train_time:16.748s step_avg:2392.63ms
step:8/3250 train_time:18.566s step_avg:2320.70ms
step:9/3250 train_time:20.383s step_avg:2264.73ms
step:10/3250 train_time:22.200s step_avg:2219.97ms
step:11/3250 train_time:24.018s step_avg:2183.47ms
step:12/3250 train_time:25.836s step_avg:2153.00ms
step:13/3250 train_time:27.655s step_avg:2127.29ms
step:14/3250 train_time:29.473s step_avg:2105.22ms
step:15/3250 train_time:31.291s step_avg:2086.06ms
step:16/3250 train_time:33.109s step_avg:2069.30ms
step:17/3250 train_time:35.799s step_avg:2105.80ms
step:18/3250 train_time:37.618s step_avg:2089.91ms
step:19/3250 train_time:39.438s step_avg:2075.69ms
step:20/3250 train_time:41.259s step_avg:2062.95ms
step:21/3250 train_time:43.079s step_avg:2051.37ms
step:22/3250 train_time:44.899s step_avg:2040.86ms
step:23/3250 train_time:46.719s step_avg:2031.24ms
step:24/3250 train_time:48.541s step_avg:2022.53ms
step:25/3250 train_time:50.633s step_avg:2025.32ms
step:26/3250 train_time:52.454s step_avg:2017.45ms
step:27/3250 train_time:54.275s step_avg:2010.20ms
step:28/3250 train_time:56.096s step_avg:2003.41ms
step:29/3250 train_time:57.917s step_avg:1997.12ms
step:30/3250 train_time:59.738s step_avg:1991.25ms
step:31/3250 train_time:61.559s step_avg:1985.79ms
step:32/3250 train_time:63.382s step_avg:1980.67ms
step:33/3250 train_time:66.039s step_avg:2001.18ms
step:34/3250 train_time:67.861s step_avg:1995.91ms
step:35/3250 train_time:69.682s step_avg:1990.92ms
step:36/3250 train_time:71.504s step_avg:1986.22ms
step:37/3250 train_time:73.326s step_avg:1981.78ms
step:38/3250 train_time:75.147s step_avg:1977.55ms
step:39/3250 train_time:76.969s step_avg:1973.56ms
step:40/3250 train_time:78.792s step_avg:1969.79ms
step:41/3250 train_time:80.614s step_avg:1966.19ms
step:42/3250 train_time:82.436s step_avg:1962.76ms
step:43/3250 train_time:84.258s step_avg:1959.49ms
step:44/3250 train_time:86.080s step_avg:1956.37ms
step:45/3250 train_time:87.904s step_avg:1953.43ms
step:46/3250 train_time:89.727s step_avg:1950.59ms
step:47/3250 train_time:91.549s step_avg:1947.86ms
step:48/3250 train_time:93.371s step_avg:1945.24ms
step:49/3250 train_time:96.029s step_avg:1959.78ms
step:50/3250 train_time:98.124s step_avg:1962.49ms
step:51/3250 train_time:99.946s step_avg:1959.73ms
step:52/3250 train_time:101.769s step_avg:1957.10ms
step:53/3250 train_time:103.592s step_avg:1954.56ms
step:54/3250 train_time:105.414s step_avg:1952.12ms
step:55/3250 train_time:107.239s step_avg:1949.81ms
step:56/3250 train_time:109.063s step_avg:1947.55ms
step:57/3250 train_time:110.886s step_avg:1945.37ms
step:58/3250 train_time:112.708s step_avg:1943.25ms
step:59/3250 train_time:114.531s step_avg:1941.20ms
