=== START Cell C (eps=1e-4) at 2026-05-24T22:48:23+00:00 ===
logs/8c01e21c-fa13-4c6c-beb6-80afc664cf57.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260524_224828-xlpbiwbm
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run eps_C_1e-4_loose
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/xlpbiwbm
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.832s step_avg:5831.65ms
step:2/3250 train_time:7.656s step_avg:3827.94ms
step:3/3250 train_time:9.480s step_avg:3159.90ms
step:4/3250 train_time:11.301s step_avg:2825.19ms
step:5/3250 train_time:13.120s step_avg:2623.97ms
step:6/3250 train_time:14.938s step_avg:2489.60ms
step:7/3250 train_time:16.757s step_avg:2393.83ms
step:8/3250 train_time:18.575s step_avg:2321.91ms
step:9/3250 train_time:20.394s step_avg:2266.00ms
step:10/3250 train_time:22.212s step_avg:2221.22ms
step:11/3250 train_time:24.031s step_avg:2184.59ms
step:12/3250 train_time:25.849s step_avg:2154.11ms
step:13/3250 train_time:27.669s step_avg:2128.39ms
step:14/3250 train_time:29.489s step_avg:2106.39ms
step:15/3250 train_time:31.310s step_avg:2087.35ms
step:16/3250 train_time:33.130s step_avg:2070.62ms
step:17/3250 train_time:35.820s step_avg:2107.08ms
step:18/3250 train_time:37.641s step_avg:2091.14ms
step:19/3250 train_time:39.461s step_avg:2076.89ms
step:20/3250 train_time:41.282s step_avg:2064.11ms
step:21/3250 train_time:43.104s step_avg:2052.58ms
step:22/3250 train_time:44.926s step_avg:2042.08ms
step:23/3250 train_time:46.748s step_avg:2032.53ms
step:24/3250 train_time:48.570s step_avg:2023.74ms
step:25/3250 train_time:50.666s step_avg:2026.63ms
step:26/3250 train_time:52.487s step_avg:2018.74ms
step:27/3250 train_time:54.310s step_avg:2011.47ms
step:28/3250 train_time:56.132s step_avg:2004.72ms
step:29/3250 train_time:57.955s step_avg:1998.45ms
