=== START Cell D (eps=1e-10) at 2026-05-25T00:38:45+00:00 ===
logs/7eba8ce2-c9f9-4e89-9f28-ea3356d23459.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_003850-jgbsjfzt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run eps_D_1e-10_tight
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/jgbsjfzt
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.813s step_avg:5813.07ms
step:2/3250 train_time:7.633s step_avg:3816.59ms
step:3/3250 train_time:9.451s step_avg:3150.20ms
step:4/3250 train_time:11.268s step_avg:2816.91ms
step:5/3250 train_time:13.085s step_avg:2617.01ms
step:6/3250 train_time:14.903s step_avg:2483.83ms
step:7/3250 train_time:16.720s step_avg:2388.63ms
step:8/3250 train_time:18.539s step_avg:2317.34ms
step:9/3250 train_time:20.357s step_avg:2261.88ms
step:10/3250 train_time:22.176s step_avg:2217.65ms
step:11/3250 train_time:23.997s step_avg:2181.57ms
step:12/3250 train_time:25.817s step_avg:2151.39ms
step:13/3250 train_time:27.636s step_avg:2125.84ms
step:14/3250 train_time:29.456s step_avg:2103.97ms
step:15/3250 train_time:31.276s step_avg:2085.10ms
step:16/3250 train_time:33.097s step_avg:2068.55ms
step:17/3250 train_time:35.789s step_avg:2105.22ms
step:18/3250 train_time:37.609s step_avg:2089.41ms
step:19/3250 train_time:39.431s step_avg:2075.29ms
step:20/3250 train_time:41.251s step_avg:2062.57ms
step:21/3250 train_time:43.073s step_avg:2051.12ms
step:22/3250 train_time:44.897s step_avg:2040.78ms
step:23/3250 train_time:46.720s step_avg:2031.32ms
step:24/3250 train_time:48.543s step_avg:2022.61ms
step:25/3250 train_time:50.639s step_avg:2025.55ms
step:26/3250 train_time:52.461s step_avg:2017.74ms
step:27/3250 train_time:54.284s step_avg:2010.53ms
step:28/3250 train_time:56.107s step_avg:2003.84ms
step:29/3250 train_time:57.931s step_avg:1997.62ms
step:30/3250 train_time:59.754s step_avg:1991.82ms
step:31/3250 train_time:61.578s step_avg:1986.39ms
step:32/3250 train_time:63.401s step_avg:1981.29ms
step:33/3250 train_time:66.060s step_avg:2001.81ms
step:34/3250 train_time:67.882s step_avg:1996.54ms
step:35/3250 train_time:69.705s step_avg:1991.57ms
step:36/3250 train_time:71.529s step_avg:1986.91ms
step:37/3250 train_time:73.352s step_avg:1982.49ms
step:38/3250 train_time:75.176s step_avg:1978.31ms
step:39/3250 train_time:76.999s step_avg:1974.33ms
step:40/3250 train_time:78.821s step_avg:1970.53ms
step:41/3250 train_time:80.646s step_avg:1966.97ms
step:42/3250 train_time:82.469s step_avg:1963.54ms
step:43/3250 train_time:84.294s step_avg:1960.33ms
step:44/3250 train_time:86.117s step_avg:1957.21ms
step:45/3250 train_time:87.940s step_avg:1954.22ms
