=== START Cell E (eps=1e-2) at 2026-05-25T02:29:04+00:00 ===
logs/2a220648-f983-4b3f-b43d-57145bdd88e7.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260525_022909-ufx11gga
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run eps_E_1e-2_extreme
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/ufx11gga
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.788s step_avg:5788.47ms
step:2/3250 train_time:7.608s step_avg:3803.76ms
step:3/3250 train_time:9.425s step_avg:3141.63ms
step:4/3250 train_time:11.242s step_avg:2810.50ms
step:5/3250 train_time:13.059s step_avg:2611.80ms
step:6/3250 train_time:14.876s step_avg:2479.37ms
step:7/3250 train_time:16.694s step_avg:2384.91ms
step:8/3250 train_time:18.514s step_avg:2314.31ms
step:9/3250 train_time:20.334s step_avg:2259.32ms
step:10/3250 train_time:22.155s step_avg:2215.46ms
step:11/3250 train_time:23.973s step_avg:2179.39ms
step:12/3250 train_time:25.795s step_avg:2149.61ms
step:13/3250 train_time:27.616s step_avg:2124.28ms
step:14/3250 train_time:29.437s step_avg:2102.65ms
step:15/3250 train_time:31.257s step_avg:2083.82ms
step:16/3250 train_time:33.078s step_avg:2067.35ms
step:17/3250 train_time:35.770s step_avg:2104.14ms
step:18/3250 train_time:37.591s step_avg:2088.40ms
step:19/3250 train_time:39.413s step_avg:2074.35ms
step:20/3250 train_time:41.234s step_avg:2061.72ms
step:21/3250 train_time:43.056s step_avg:2050.31ms
step:22/3250 train_time:44.879s step_avg:2039.94ms
step:23/3250 train_time:46.701s step_avg:2030.49ms
step:24/3250 train_time:48.524s step_avg:2021.85ms
step:25/3250 train_time:50.630s step_avg:2025.22ms
step:26/3250 train_time:52.454s step_avg:2017.44ms
step:27/3250 train_time:54.278s step_avg:2010.30ms
step:28/3250 train_time:56.104s step_avg:2003.73ms
step:29/3250 train_time:57.929s step_avg:1997.55ms
step:30/3250 train_time:59.754s step_avg:1991.80ms
step:31/3250 train_time:61.578s step_avg:1986.39ms
step:32/3250 train_time:63.403s step_avg:1981.36ms
step:33/3250 train_time:66.062s step_avg:2001.89ms
step:34/3250 train_time:67.886s step_avg:1996.64ms
step:35/3250 train_time:69.710s step_avg:1991.70ms
step:36/3250 train_time:71.533s step_avg:1987.01ms
step:37/3250 train_time:73.355s step_avg:1982.58ms
step:38/3250 train_time:75.178s step_avg:1978.38ms
step:39/3250 train_time:77.002s step_avg:1974.41ms
step:40/3250 train_time:78.826s step_avg:1970.65ms
step:41/3250 train_time:80.650s step_avg:1967.07ms
step:42/3250 train_time:82.475s step_avg:1963.69ms
step:43/3250 train_time:84.300s step_avg:1960.46ms
step:44/3250 train_time:86.127s step_avg:1957.43ms
step:45/3250 train_time:87.954s step_avg:1954.54ms
step:46/3250 train_time:89.780s step_avg:1951.74ms
step:47/3250 train_time:91.605s step_avg:1949.04ms
step:48/3250 train_time:93.430s step_avg:1946.45ms
step:49/3250 train_time:96.089s step_avg:1960.99ms
step:50/3250 train_time:98.195s step_avg:1963.90ms
step:51/3250 train_time:100.019s step_avg:1961.16ms
step:52/3250 train_time:101.845s step_avg:1958.56ms
step:53/3250 train_time:103.670s step_avg:1956.04ms
step:54/3250 train_time:105.495s step_avg:1953.61ms
step:55/3250 train_time:107.318s step_avg:1951.25ms
step:56/3250 train_time:109.144s step_avg:1949.00ms
step:57/3250 train_time:110.969s step_avg:1946.83ms
step:58/3250 train_time:112.795s step_avg:1944.74ms
step:59/3250 train_time:114.620s step_avg:1942.72ms
step:60/3250 train_time:116.447s step_avg:1940.79ms
step:61/3250 train_time:118.275s step_avg:1938.93ms
step:62/3250 train_time:120.100s step_avg:1937.09ms
step:63/3250 train_time:121.925s step_avg:1935.32ms
step:64/3250 train_time:123.750s step_avg:1933.60ms
step:65/3250 train_time:126.411s step_avg:1944.78ms
step:66/3250 train_time:128.235s step_avg:1942.96ms
step:67/3250 train_time:130.063s step_avg:1941.23ms
step:68/3250 train_time:131.889s step_avg:1939.55ms
step:69/3250 train_time:133.715s step_avg:1937.90ms
step:70/3250 train_time:135.541s step_avg:1936.31ms
step:71/3250 train_time:137.368s step_avg:1934.76ms
step:72/3250 train_time:139.195s step_avg:1933.26ms
step:73/3250 train_time:141.021s step_avg:1931.79ms
step:74/3250 train_time:142.846s step_avg:1930.36ms
step:75/3250 train_time:144.947s step_avg:1932.63ms
step:76/3250 train_time:146.774s step_avg:1931.23ms
step:77/3250 train_time:148.599s step_avg:1929.86ms
step:78/3250 train_time:150.426s step_avg:1928.54ms
step:79/3250 train_time:152.251s step_avg:1927.22ms
step:80/3250 train_time:154.077s step_avg:1925.96ms
step:81/3250 train_time:156.736s step_avg:1935.01ms
step:82/3250 train_time:158.561s step_avg:1933.67ms
step:83/3250 train_time:160.386s step_avg:1932.36ms
step:84/3250 train_time:162.213s step_avg:1931.11ms
step:85/3250 train_time:164.039s step_avg:1929.87ms
step:86/3250 train_time:165.865s step_avg:1928.66ms
step:87/3250 train_time:167.689s step_avg:1927.46ms
step:88/3250 train_time:169.514s step_avg:1926.29ms
step:89/3250 train_time:171.339s step_avg:1925.16ms
step:90/3250 train_time:173.166s step_avg:1924.06ms
step:91/3250 train_time:174.991s step_avg:1922.98ms
step:92/3250 train_time:176.816s step_avg:1921.91ms
step:93/3250 train_time:178.642s step_avg:1920.88ms
step:94/3250 train_time:180.469s step_avg:1919.88ms
step:95/3250 train_time:182.295s step_avg:1918.90ms
step:96/3250 train_time:184.120s step_avg:1917.92ms
step:97/3250 train_time:186.780s step_avg:1925.56ms
step:98/3250 train_time:188.605s step_avg:1924.55ms
step:99/3250 train_time:190.431s step_avg:1923.54ms
step:100/3250 train_time:192.532s step_avg:1925.32ms
step:101/3250 train_time:194.357s step_avg:1924.33ms
step:102/3250 train_time:196.182s step_avg:1923.36ms
step:103/3250 train_time:198.008s step_avg:1922.40ms
step:104/3250 train_time:199.832s step_avg:1921.46ms
step:105/3250 train_time:201.655s step_avg:1920.53ms
step:106/3250 train_time:203.481s step_avg:1919.63ms
step:107/3250 train_time:205.307s step_avg:1918.76ms
step:108/3250 train_time:207.134s step_avg:1917.91ms
step:109/3250 train_time:208.962s step_avg:1917.08ms
step:110/3250 train_time:210.788s step_avg:1916.25ms
step:111/3250 train_time:212.612s step_avg:1915.43ms
