=== START Cell A (ramp_down) at 2026-05-26T08:17:46Z ===
logs/0751e570-5cd5-44ba-882b-b40c88951ec3.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_081752-1oez0e2z
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wd-sched-A-ramp_down-n1
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/1oez0e2z
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.002s step_avg:nanms
step:1/3250 train_time:23.784s step_avg:23783.92ms
step:2/3250 train_time:27.763s step_avg:13881.28ms
step:3/3250 train_time:31.740s step_avg:10579.93ms
step:4/3250 train_time:33.890s step_avg:8472.43ms
step:5/3250 train_time:35.713s step_avg:7142.68ms
step:6/3250 train_time:37.622s step_avg:6270.29ms
step:7/3250 train_time:39.486s step_avg:5640.89ms
step:8/3250 train_time:41.313s step_avg:5164.09ms
step:9/3250 train_time:44.081s step_avg:4897.84ms
step:10/3250 train_time:48.075s step_avg:4807.52ms
step:11/3250 train_time:52.071s step_avg:4733.71ms
step:12/3250 train_time:56.067s step_avg:4672.27ms
step:13/3250 train_time:60.063s step_avg:4620.24ms
step:14/3250 train_time:64.058s step_avg:4575.56ms
step:15/3250 train_time:67.989s step_avg:4532.60ms
step:16/3250 train_time:70.387s step_avg:4399.19ms
step:17/3250 train_time:74.693s step_avg:4393.70ms
step:18/3250 train_time:76.746s step_avg:4263.64ms
step:19/3250 train_time:78.791s step_avg:4146.90ms
step:20/3250 train_time:80.835s step_avg:4041.76ms
step:21/3250 train_time:82.783s step_avg:3942.04ms
step:22/3250 train_time:84.607s step_avg:3845.76ms
step:23/3250 train_time:86.431s step_avg:3757.87ms
step:24/3250 train_time:88.255s step_avg:3677.30ms
step:25/3250 train_time:90.352s step_avg:3614.09ms
step:26/3250 train_time:92.177s step_avg:3545.27ms
step:27/3250 train_time:94.002s step_avg:3481.56ms
step:28/3250 train_time:95.827s step_avg:3422.41ms
step:29/3250 train_time:97.653s step_avg:3367.34ms
step:30/3250 train_time:99.479s step_avg:3315.96ms
step:31/3250 train_time:101.304s step_avg:3267.88ms
step:32/3250 train_time:103.129s step_avg:3222.79ms
step:33/3250 train_time:105.790s step_avg:3205.76ms
step:34/3250 train_time:107.615s step_avg:3165.15ms
step:35/3250 train_time:109.440s step_avg:3126.86ms
step:36/3250 train_time:111.265s step_avg:3090.69ms
step:37/3250 train_time:113.089s step_avg:3056.45ms
step:38/3250 train_time:114.914s step_avg:3024.05ms
step:39/3250 train_time:116.740s step_avg:2993.33ms
step:40/3250 train_time:118.565s step_avg:2964.12ms
step:41/3250 train_time:120.390s step_avg:2936.33ms
step:42/3250 train_time:122.215s step_avg:2909.87ms
step:43/3250 train_time:124.041s step_avg:2884.68ms
step:44/3250 train_time:125.867s step_avg:2860.60ms
step:45/3250 train_time:127.692s step_avg:2837.60ms
step:46/3250 train_time:129.517s step_avg:2815.59ms
step:47/3250 train_time:131.343s step_avg:2794.54ms
step:48/3250 train_time:133.169s step_avg:2774.35ms
step:49/3250 train_time:135.829s step_avg:2772.02ms
step:50/3250 train_time:137.926s step_avg:2758.52ms
step:51/3250 train_time:139.751s step_avg:2740.22ms
step:52/3250 train_time:141.577s step_avg:2722.63ms
step:53/3250 train_time:143.402s step_avg:2705.69ms
step:54/3250 train_time:145.226s step_avg:2689.37ms
step:55/3250 train_time:147.050s step_avg:2673.64ms
step:56/3250 train_time:148.878s step_avg:2658.54ms
step:57/3250 train_time:150.704s step_avg:2643.93ms
step:58/3250 train_time:152.529s step_avg:2629.82ms
step:59/3250 train_time:154.354s step_avg:2616.18ms
step:60/3250 train_time:156.180s step_avg:2602.99ms
step:61/3250 train_time:158.005s step_avg:2590.25ms
step:62/3250 train_time:159.831s step_avg:2577.92ms
step:63/3250 train_time:161.656s step_avg:2565.97ms
step:64/3250 train_time:163.482s step_avg:2554.41ms
step:65/3250 train_time:166.142s step_avg:2556.02ms
step:66/3250 train_time:167.966s step_avg:2544.94ms
step:67/3250 train_time:169.792s step_avg:2534.21ms
step:68/3250 train_time:171.617s step_avg:2523.78ms
step:69/3250 train_time:173.442s step_avg:2513.65ms
step:70/3250 train_time:175.267s step_avg:2503.81ms
step:71/3250 train_time:177.091s step_avg:2494.25ms
step:72/3250 train_time:178.918s step_avg:2484.97ms
step:73/3250 train_time:180.743s step_avg:2475.93ms
step:74/3250 train_time:182.568s step_avg:2467.13ms
step:75/3250 train_time:184.665s step_avg:2462.20ms
step:76/3250 train_time:186.490s step_avg:2453.81ms
step:77/3250 train_time:188.316s step_avg:2445.66ms
step:78/3250 train_time:190.141s step_avg:2437.71ms
step:79/3250 train_time:191.966s step_avg:2429.95ms
step:80/3250 train_time:193.791s step_avg:2422.38ms
step:81/3250 train_time:196.451s step_avg:2425.32ms
step:82/3250 train_time:198.275s step_avg:2417.98ms
step:83/3250 train_time:200.100s step_avg:2410.85ms
step:84/3250 train_time:201.925s step_avg:2403.87ms
step:85/3250 train_time:203.750s step_avg:2397.06ms
step:86/3250 train_time:205.575s step_avg:2390.41ms
step:87/3250 train_time:207.400s step_avg:2383.91ms
step:88/3250 train_time:209.226s step_avg:2377.57ms
step:89/3250 train_time:211.052s step_avg:2371.37ms
step:90/3250 train_time:212.877s step_avg:2365.30ms
step:91/3250 train_time:214.702s step_avg:2359.36ms
step:92/3250 train_time:216.526s step_avg:2353.55ms
step:93/3250 train_time:218.353s step_avg:2347.88ms
step:94/3250 train_time:220.178s step_avg:2342.32ms
step:95/3250 train_time:222.003s step_avg:2336.87ms
step:96/3250 train_time:223.828s step_avg:2331.54ms
step:97/3250 train_time:226.488s step_avg:2334.92ms
step:98/3250 train_time:228.312s step_avg:2329.72ms
step:99/3250 train_time:230.138s step_avg:2324.62ms
step:100/3250 train_time:232.233s step_avg:2322.33ms
step:101/3250 train_time:234.058s step_avg:2317.40ms
step:102/3250 train_time:235.886s step_avg:2312.61ms
step:103/3250 train_time:237.711s step_avg:2307.87ms
step:104/3250 train_time:239.536s step_avg:2303.23ms
step:105/3250 train_time:241.360s step_avg:2298.67ms
step:106/3250 train_time:243.186s step_avg:2294.21ms
step:107/3250 train_time:245.011s step_avg:2289.83ms
step:108/3250 train_time:246.836s step_avg:2285.52ms
step:109/3250 train_time:248.662s step_avg:2281.30ms
step:110/3250 train_time:250.487s step_avg:2277.15ms
step:111/3250 train_time:252.313s step_avg:2273.09ms
step:112/3250 train_time:254.139s step_avg:2269.10ms
step:113/3250 train_time:256.798s step_avg:2272.55ms
step:114/3250 train_time:258.624s step_avg:2268.63ms
step:115/3250 train_time:260.448s step_avg:2264.76ms
step:116/3250 train_time:262.272s step_avg:2260.97ms
step:117/3250 train_time:264.096s step_avg:2257.23ms
step:118/3250 train_time:265.921s step_avg:2253.57ms
step:119/3250 train_time:267.746s step_avg:2249.97ms
step:120/3250 train_time:269.571s step_avg:2246.43ms
step:121/3250 train_time:271.396s step_avg:2242.94ms
step:122/3250 train_time:273.223s step_avg:2239.53ms
step:123/3250 train_time:275.048s step_avg:2236.16ms
step:124/3250 train_time:276.873s step_avg:2232.85ms
step:125/3250 train_time:279.036s step_avg:2232.29ms
step:125/3250 val_loss:4.53078 train_time:279.036s step_avg:2232.27ms
step:126/3250 train_time:280.862s step_avg:2229.06ms
step:127/3250 train_time:282.687s step_avg:2225.88ms
step:128/3250 train_time:284.512s step_avg:2222.75ms
step:129/3250 train_time:287.173s step_avg:2226.14ms
step:130/3250 train_time:288.998s step_avg:2223.06ms
step:131/3250 train_time:290.823s step_avg:2220.03ms
step:132/3250 train_time:292.647s step_avg:2217.03ms
step:133/3250 train_time:294.472s step_avg:2214.07ms
step:134/3250 train_time:296.296s step_avg:2211.17ms
step:135/3250 train_time:298.122s step_avg:2208.31ms
step:136/3250 train_time:299.947s step_avg:2205.49ms
step:137/3250 train_time:301.772s step_avg:2202.71ms
step:138/3250 train_time:303.597s step_avg:2199.98ms
step:139/3250 train_time:305.422s step_avg:2197.28ms
step:140/3250 train_time:307.247s step_avg:2194.62ms
step:141/3250 train_time:309.071s step_avg:2191.99ms
step:142/3250 train_time:310.895s step_avg:2189.40ms
step:143/3250 train_time:312.719s step_avg:2186.85ms
step:144/3250 train_time:314.544s step_avg:2184.34ms
step:145/3250 train_time:317.204s step_avg:2187.61ms
step:146/3250 train_time:319.028s step_avg:2185.12ms
step:147/3250 train_time:320.853s step_avg:2182.67ms
step:148/3250 train_time:322.677s step_avg:2180.25ms
step:149/3250 train_time:324.501s step_avg:2177.86ms
step:150/3250 train_time:326.598s step_avg:2177.32ms
step:151/3250 train_time:328.422s step_avg:2174.98ms
step:152/3250 train_time:330.247s step_avg:2172.68ms
step:153/3250 train_time:332.071s step_avg:2170.40ms
step:154/3250 train_time:333.895s step_avg:2168.15ms
step:155/3250 train_time:335.719s step_avg:2165.93ms
step:156/3250 train_time:337.544s step_avg:2163.74ms
step:157/3250 train_time:339.369s step_avg:2161.58ms
step:158/3250 train_time:341.193s step_avg:2159.45ms
step:159/3250 train_time:343.018s step_avg:2157.34ms
step:160/3250 train_time:344.842s step_avg:2155.26ms
step:161/3250 train_time:347.501s step_avg:2158.39ms
step:162/3250 train_time:349.325s step_avg:2156.32ms
step:163/3250 train_time:351.148s step_avg:2154.28ms
step:164/3250 train_time:352.972s step_avg:2152.27ms
step:165/3250 train_time:354.796s step_avg:2150.28ms
step:166/3250 train_time:356.621s step_avg:2148.32ms
step:167/3250 train_time:358.445s step_avg:2146.38ms
step:168/3250 train_time:360.269s step_avg:2144.46ms
step:169/3250 train_time:362.093s step_avg:2142.56ms
step:170/3250 train_time:363.918s step_avg:2140.69ms
step:171/3250 train_time:365.742s step_avg:2138.84ms
step:172/3250 train_time:367.567s step_avg:2137.02ms
step:173/3250 train_time:369.391s step_avg:2135.21ms
step:174/3250 train_time:371.216s step_avg:2133.42ms
step:175/3250 train_time:373.312s step_avg:2133.21ms
step:176/3250 train_time:375.137s step_avg:2131.46ms
step:177/3250 train_time:377.795s step_avg:2134.44ms
step:178/3250 train_time:379.620s step_avg:2132.70ms
step:179/3250 train_time:381.444s step_avg:2130.97ms
step:180/3250 train_time:383.268s step_avg:2129.27ms
step:181/3250 train_time:385.091s step_avg:2127.58ms
step:182/3250 train_time:386.916s step_avg:2125.91ms
step:183/3250 train_time:388.741s step_avg:2124.27ms
step:184/3250 train_time:390.566s step_avg:2122.64ms
step:185/3250 train_time:392.390s step_avg:2121.03ms
step:186/3250 train_time:394.214s step_avg:2119.43ms
step:187/3250 train_time:396.040s step_avg:2117.86ms
step:188/3250 train_time:397.864s step_avg:2116.30ms
step:189/3250 train_time:399.688s step_avg:2114.75ms
step:190/3250 train_time:401.512s step_avg:2113.22ms
step:191/3250 train_time:403.447s step_avg:2112.29ms
step:192/3250 train_time:405.271s step_avg:2110.79ms
step:193/3250 train_time:407.930s step_avg:2113.63ms
step:194/3250 train_time:409.755s step_avg:2112.14ms
step:195/3250 train_time:411.579s step_avg:2110.66ms
step:196/3250 train_time:413.402s step_avg:2109.19ms
step:197/3250 train_time:415.225s step_avg:2107.74ms
step:198/3250 train_time:417.051s step_avg:2106.32ms
step:199/3250 train_time:418.876s step_avg:2104.90ms
step:200/3250 train_time:420.973s step_avg:2104.86ms
step:201/3250 train_time:422.797s step_avg:2103.47ms
step:202/3250 train_time:424.620s step_avg:2102.08ms
step:203/3250 train_time:426.444s step_avg:2100.71ms
step:204/3250 train_time:428.268s step_avg:2099.35ms
step:205/3250 train_time:430.092s step_avg:2098.01ms
step:206/3250 train_time:431.917s step_avg:2096.68ms
step:207/3250 train_time:433.740s step_avg:2095.36ms
step:208/3250 train_time:435.563s step_avg:2094.05ms
step:209/3250 train_time:438.222s step_avg:2096.76ms
step:210/3250 train_time:440.046s step_avg:2095.46ms
step:211/3250 train_time:441.869s step_avg:2094.17ms
step:212/3250 train_time:443.694s step_avg:2092.89ms
step:213/3250 train_time:445.518s step_avg:2091.63ms
step:214/3250 train_time:447.343s step_avg:2090.39ms
step:215/3250 train_time:449.167s step_avg:2089.15ms
step:216/3250 train_time:450.990s step_avg:2087.92ms
step:217/3250 train_time:452.814s step_avg:2086.70ms
step:218/3250 train_time:454.639s step_avg:2085.50ms
step:219/3250 train_time:456.463s step_avg:2084.31ms
step:220/3250 train_time:458.287s step_avg:2083.12ms
step:221/3250 train_time:460.111s step_avg:2081.95ms
step:222/3250 train_time:461.936s step_avg:2080.79ms
step:223/3250 train_time:463.760s step_avg:2079.64ms
step:224/3250 train_time:465.583s step_avg:2078.50ms
