=== START Cell B (constant) at 2026-05-26T10:09:00Z ===
logs/a7c8adb4-7b9d-416e-b5a1-162fc21ce6bb.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_100905-ndaun4hz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wd-sched-B-constant-n1
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/ndaun4hz
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.977s step_avg:5976.67ms
step:2/3250 train_time:7.799s step_avg:3899.31ms
step:3/3250 train_time:9.617s step_avg:3205.76ms
step:4/3250 train_time:11.435s step_avg:2858.63ms
step:5/3250 train_time:13.251s step_avg:2650.29ms
step:6/3250 train_time:15.069s step_avg:2511.44ms
step:7/3250 train_time:16.887s step_avg:2412.41ms
step:8/3250 train_time:18.707s step_avg:2338.37ms
step:9/3250 train_time:20.526s step_avg:2280.66ms
step:10/3250 train_time:22.344s step_avg:2234.44ms
step:11/3250 train_time:24.163s step_avg:2196.66ms
step:12/3250 train_time:25.982s step_avg:2165.14ms
step:13/3250 train_time:27.801s step_avg:2138.56ms
step:14/3250 train_time:29.623s step_avg:2115.92ms
step:15/3250 train_time:31.444s step_avg:2096.26ms
step:16/3250 train_time:33.263s step_avg:2078.97ms
step:17/3250 train_time:35.954s step_avg:2114.93ms
step:18/3250 train_time:37.774s step_avg:2098.58ms
step:19/3250 train_time:39.595s step_avg:2083.94ms
step:20/3250 train_time:41.416s step_avg:2070.78ms
step:21/3250 train_time:43.237s step_avg:2058.90ms
step:22/3250 train_time:45.058s step_avg:2048.08ms
step:23/3250 train_time:46.879s step_avg:2038.22ms
step:24/3250 train_time:48.701s step_avg:2029.23ms
step:25/3250 train_time:50.800s step_avg:2031.99ms
step:26/3250 train_time:52.621s step_avg:2023.87ms
step:27/3250 train_time:54.443s step_avg:2016.40ms
step:28/3250 train_time:56.266s step_avg:2009.49ms
step:29/3250 train_time:58.088s step_avg:2003.03ms
step:30/3250 train_time:59.911s step_avg:1997.04ms
step:31/3250 train_time:61.734s step_avg:1991.42ms
step:32/3250 train_time:63.558s step_avg:1986.18ms
step:33/3250 train_time:66.216s step_avg:2006.55ms
step:34/3250 train_time:68.039s step_avg:2001.14ms
step:35/3250 train_time:69.864s step_avg:1996.11ms
step:36/3250 train_time:71.687s step_avg:1991.31ms
step:37/3250 train_time:73.510s step_avg:1986.76ms
step:38/3250 train_time:75.333s step_avg:1982.45ms
step:39/3250 train_time:77.155s step_avg:1978.34ms
step:40/3250 train_time:78.979s step_avg:1974.48ms
step:41/3250 train_time:80.803s step_avg:1970.80ms
step:42/3250 train_time:82.626s step_avg:1967.29ms
step:43/3250 train_time:84.449s step_avg:1963.94ms
step:44/3250 train_time:86.272s step_avg:1960.73ms
step:45/3250 train_time:88.096s step_avg:1957.69ms
step:46/3250 train_time:89.922s step_avg:1954.82ms
step:47/3250 train_time:91.747s step_avg:1952.06ms
step:48/3250 train_time:93.571s step_avg:1949.40ms
step:49/3250 train_time:96.230s step_avg:1963.88ms
step:50/3250 train_time:98.331s step_avg:1966.61ms
step:51/3250 train_time:100.154s step_avg:1963.80ms
step:52/3250 train_time:101.977s step_avg:1961.10ms
step:53/3250 train_time:103.800s step_avg:1958.49ms
step:54/3250 train_time:105.624s step_avg:1955.99ms
step:55/3250 train_time:107.447s step_avg:1953.59ms
step:56/3250 train_time:109.271s step_avg:1951.26ms
step:57/3250 train_time:111.094s step_avg:1949.02ms
step:58/3250 train_time:112.918s step_avg:1946.86ms
step:59/3250 train_time:114.742s step_avg:1944.78ms
step:60/3250 train_time:116.566s step_avg:1942.77ms
step:61/3250 train_time:118.390s step_avg:1940.83ms
step:62/3250 train_time:120.217s step_avg:1938.98ms
step:63/3250 train_time:122.041s step_avg:1937.16ms
step:64/3250 train_time:123.865s step_avg:1935.40ms
step:65/3250 train_time:126.526s step_avg:1946.55ms
step:66/3250 train_time:128.350s step_avg:1944.70ms
step:67/3250 train_time:130.175s step_avg:1942.91ms
step:68/3250 train_time:131.999s step_avg:1941.16ms
step:69/3250 train_time:133.823s step_avg:1939.47ms
step:70/3250 train_time:135.648s step_avg:1937.83ms
step:71/3250 train_time:137.472s step_avg:1936.23ms
step:72/3250 train_time:139.296s step_avg:1934.66ms
step:73/3250 train_time:141.120s step_avg:1933.15ms
step:74/3250 train_time:142.944s step_avg:1931.68ms
step:75/3250 train_time:145.044s step_avg:1933.92ms
step:76/3250 train_time:146.868s step_avg:1932.47ms
step:77/3250 train_time:148.692s step_avg:1931.06ms
step:78/3250 train_time:150.516s step_avg:1929.70ms
step:79/3250 train_time:152.340s step_avg:1928.36ms
