=== START Cell C (ramp_up) at 2026-05-26T11:59:22Z ===
logs/23274a4a-4269-421f-bed7-bb3c27a66ead.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_115927-ym7r9sxw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wd-sched-C-ramp_up-n1
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/ym7r9sxw
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.003s step_avg:6003.09ms
step:2/3250 train_time:7.827s step_avg:3913.33ms
step:3/3250 train_time:9.648s step_avg:3215.83ms
step:4/3250 train_time:11.466s step_avg:2866.45ms
step:5/3250 train_time:13.286s step_avg:2657.19ms
step:6/3250 train_time:15.105s step_avg:2517.48ms
step:7/3250 train_time:16.924s step_avg:2417.75ms
step:8/3250 train_time:18.744s step_avg:2342.97ms
step:9/3250 train_time:20.563s step_avg:2284.78ms
step:10/3250 train_time:22.382s step_avg:2238.21ms
step:11/3250 train_time:24.202s step_avg:2200.18ms
step:12/3250 train_time:26.023s step_avg:2168.56ms
step:13/3250 train_time:27.843s step_avg:2141.77ms
step:14/3250 train_time:29.664s step_avg:2118.84ms
step:15/3250 train_time:31.483s step_avg:2098.89ms
step:16/3250 train_time:33.304s step_avg:2081.53ms
step:17/3250 train_time:35.995s step_avg:2117.36ms
step:18/3250 train_time:37.817s step_avg:2100.95ms
step:19/3250 train_time:39.640s step_avg:2086.29ms
step:20/3250 train_time:41.461s step_avg:2073.04ms
step:21/3250 train_time:43.283s step_avg:2061.12ms
step:22/3250 train_time:45.106s step_avg:2050.27ms
step:23/3250 train_time:46.929s step_avg:2040.40ms
step:24/3250 train_time:48.753s step_avg:2031.38ms
step:25/3250 train_time:50.852s step_avg:2034.09ms
step:26/3250 train_time:52.675s step_avg:2025.96ms
step:27/3250 train_time:54.498s step_avg:2018.44ms
step:28/3250 train_time:56.321s step_avg:2011.45ms
step:29/3250 train_time:58.146s step_avg:2005.03ms
step:30/3250 train_time:59.971s step_avg:1999.03ms
step:31/3250 train_time:61.794s step_avg:1993.37ms
step:32/3250 train_time:63.618s step_avg:1988.06ms
step:33/3250 train_time:66.277s step_avg:2008.38ms
step:34/3250 train_time:68.100s step_avg:2002.95ms
step:35/3250 train_time:69.924s step_avg:1997.83ms
step:36/3250 train_time:71.748s step_avg:1993.00ms
step:37/3250 train_time:73.572s step_avg:1988.44ms
step:38/3250 train_time:75.396s step_avg:1984.10ms
step:39/3250 train_time:77.220s step_avg:1979.99ms
step:40/3250 train_time:79.043s step_avg:1976.08ms
step:41/3250 train_time:80.868s step_avg:1972.39ms
step:42/3250 train_time:82.692s step_avg:1968.85ms
step:43/3250 train_time:84.516s step_avg:1965.49ms
step:44/3250 train_time:86.340s step_avg:1962.27ms
step:45/3250 train_time:88.164s step_avg:1959.20ms
step:46/3250 train_time:89.989s step_avg:1956.28ms
step:47/3250 train_time:91.813s step_avg:1953.47ms
step:48/3250 train_time:93.637s step_avg:1950.76ms
step:49/3250 train_time:96.295s step_avg:1965.21ms
step:50/3250 train_time:98.397s step_avg:1967.95ms
step:51/3250 train_time:100.221s step_avg:1965.12ms
step:52/3250 train_time:102.045s step_avg:1962.41ms
step:53/3250 train_time:103.869s step_avg:1959.78ms
step:54/3250 train_time:105.693s step_avg:1957.27ms
step:55/3250 train_time:107.518s step_avg:1954.87ms
step:56/3250 train_time:109.342s step_avg:1952.54ms
step:57/3250 train_time:111.166s step_avg:1950.29ms
step:58/3250 train_time:112.991s step_avg:1948.11ms
step:59/3250 train_time:114.816s step_avg:1946.03ms
step:60/3250 train_time:116.640s step_avg:1944.00ms
step:61/3250 train_time:118.466s step_avg:1942.07ms
step:62/3250 train_time:120.290s step_avg:1940.17ms
step:63/3250 train_time:122.116s step_avg:1938.35ms
step:64/3250 train_time:123.942s step_avg:1936.59ms
step:65/3250 train_time:126.602s step_avg:1947.72ms
step:66/3250 train_time:128.428s step_avg:1945.88ms
step:67/3250 train_time:130.253s step_avg:1944.07ms
step:68/3250 train_time:132.077s step_avg:1942.30ms
step:69/3250 train_time:133.901s step_avg:1940.59ms
step:70/3250 train_time:135.725s step_avg:1938.93ms
step:71/3250 train_time:137.551s step_avg:1937.33ms
step:72/3250 train_time:139.376s step_avg:1935.78ms
step:73/3250 train_time:141.201s step_avg:1934.26ms
step:74/3250 train_time:143.025s step_avg:1932.77ms
step:75/3250 train_time:145.126s step_avg:1935.02ms
step:76/3250 train_time:146.951s step_avg:1933.57ms
step:77/3250 train_time:148.777s step_avg:1932.16ms
step:78/3250 train_time:150.601s step_avg:1930.78ms
step:79/3250 train_time:152.425s step_avg:1929.44ms
step:80/3250 train_time:154.250s step_avg:1928.12ms
step:81/3250 train_time:156.909s step_avg:1937.15ms
step:82/3250 train_time:158.734s step_avg:1935.79ms
step:83/3250 train_time:160.558s step_avg:1934.44ms
step:84/3250 train_time:162.384s step_avg:1933.14ms
step:85/3250 train_time:164.208s step_avg:1931.86ms
step:86/3250 train_time:166.033s step_avg:1930.61ms
step:87/3250 train_time:167.858s step_avg:1929.40ms
step:88/3250 train_time:169.684s step_avg:1928.23ms
step:89/3250 train_time:171.510s step_avg:1927.07ms
step:90/3250 train_time:173.334s step_avg:1925.94ms
step:91/3250 train_time:175.159s step_avg:1924.82ms
step:92/3250 train_time:176.983s step_avg:1923.73ms
step:93/3250 train_time:178.809s step_avg:1922.68ms
step:94/3250 train_time:180.634s step_avg:1921.64ms
step:95/3250 train_time:182.459s step_avg:1920.62ms
step:96/3250 train_time:184.283s step_avg:1919.61ms
step:97/3250 train_time:186.943s step_avg:1927.25ms
step:98/3250 train_time:188.767s step_avg:1926.20ms
step:99/3250 train_time:190.591s step_avg:1925.16ms
step:100/3250 train_time:192.693s step_avg:1926.93ms
step:101/3250 train_time:194.517s step_avg:1925.91ms
step:102/3250 train_time:196.342s step_avg:1924.92ms
step:103/3250 train_time:198.168s step_avg:1923.96ms
step:104/3250 train_time:199.992s step_avg:1923.00ms
