=== START Cell E (cosine_updown) at 2026-05-26T15:40:14Z ===
logs/d8514ce8-f8e4-43c1-9ac3-c58315f03972.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_154019-mkvt4nxw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wd-sched-E-cosine_updown-n1
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/mkvt4nxw
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.987s step_avg:5987.45ms
step:2/3250 train_time:7.808s step_avg:3904.23ms
step:3/3250 train_time:9.627s step_avg:3209.11ms
step:4/3250 train_time:11.446s step_avg:2861.57ms
step:5/3250 train_time:13.264s step_avg:2652.84ms
step:6/3250 train_time:15.083s step_avg:2513.76ms
step:7/3250 train_time:16.902s step_avg:2414.62ms
step:8/3250 train_time:18.722s step_avg:2340.28ms
step:9/3250 train_time:20.543s step_avg:2282.51ms
step:10/3250 train_time:22.362s step_avg:2236.23ms
step:11/3250 train_time:24.183s step_avg:2198.41ms
step:12/3250 train_time:26.003s step_avg:2166.90ms
step:13/3250 train_time:27.824s step_avg:2140.31ms
step:14/3250 train_time:29.645s step_avg:2117.52ms
step:15/3250 train_time:31.467s step_avg:2097.79ms
step:16/3250 train_time:33.288s step_avg:2080.49ms
step:17/3250 train_time:35.980s step_avg:2116.45ms
step:18/3250 train_time:37.802s step_avg:2100.09ms
step:19/3250 train_time:39.624s step_avg:2085.46ms
step:20/3250 train_time:41.448s step_avg:2072.40ms
step:21/3250 train_time:43.273s step_avg:2060.60ms
step:22/3250 train_time:45.096s step_avg:2049.84ms
step:23/3250 train_time:46.920s step_avg:2040.00ms
step:24/3250 train_time:48.745s step_avg:2031.03ms
step:25/3250 train_time:50.841s step_avg:2033.66ms
step:26/3250 train_time:52.666s step_avg:2025.63ms
step:27/3250 train_time:54.492s step_avg:2018.21ms
step:28/3250 train_time:56.317s step_avg:2011.32ms
step:29/3250 train_time:58.142s step_avg:2004.89ms
step:30/3250 train_time:59.968s step_avg:1998.93ms
step:31/3250 train_time:61.793s step_avg:1993.33ms
step:32/3250 train_time:63.619s step_avg:1988.09ms
step:33/3250 train_time:66.278s step_avg:2008.42ms
step:34/3250 train_time:68.103s step_avg:2003.02ms
step:35/3250 train_time:69.927s step_avg:1997.91ms
step:36/3250 train_time:71.751s step_avg:1993.08ms
step:37/3250 train_time:73.575s step_avg:1988.51ms
step:38/3250 train_time:75.402s step_avg:1984.27ms
step:39/3250 train_time:77.227s step_avg:1980.18ms
step:40/3250 train_time:79.051s step_avg:1976.27ms
step:41/3250 train_time:80.876s step_avg:1972.58ms
step:42/3250 train_time:82.702s step_avg:1969.08ms
step:43/3250 train_time:84.527s step_avg:1965.75ms
step:44/3250 train_time:86.352s step_avg:1962.56ms
step:45/3250 train_time:88.177s step_avg:1959.49ms
step:46/3250 train_time:90.002s step_avg:1956.56ms
step:47/3250 train_time:91.827s step_avg:1953.76ms
step:48/3250 train_time:93.653s step_avg:1951.10ms
step:49/3250 train_time:96.312s step_avg:1965.54ms
step:50/3250 train_time:98.408s step_avg:1968.16ms
step:51/3250 train_time:100.233s step_avg:1965.35ms
step:52/3250 train_time:102.058s step_avg:1962.65ms
step:53/3250 train_time:103.882s step_avg:1960.04ms
step:54/3250 train_time:105.707s step_avg:1957.53ms
step:55/3250 train_time:107.531s step_avg:1955.11ms
step:56/3250 train_time:109.356s step_avg:1952.78ms
step:57/3250 train_time:111.182s step_avg:1950.55ms
step:58/3250 train_time:113.007s step_avg:1948.39ms
step:59/3250 train_time:114.832s step_avg:1946.30ms
step:60/3250 train_time:116.660s step_avg:1944.33ms
step:61/3250 train_time:118.484s step_avg:1942.37ms
step:62/3250 train_time:120.309s step_avg:1940.46ms
step:63/3250 train_time:122.133s step_avg:1938.63ms
step:64/3250 train_time:123.960s step_avg:1936.88ms
step:65/3250 train_time:126.620s step_avg:1948.00ms
step:66/3250 train_time:128.444s step_avg:1946.12ms
step:67/3250 train_time:130.269s step_avg:1944.31ms
step:68/3250 train_time:132.094s step_avg:1942.56ms
step:69/3250 train_time:133.919s step_avg:1940.85ms
step:70/3250 train_time:135.744s step_avg:1939.20ms
step:71/3250 train_time:137.570s step_avg:1937.60ms
step:72/3250 train_time:139.396s step_avg:1936.05ms
