[launcher] launching arm-b (lr=0.030) at 2026-05-15T22:46:29Z
logs/80a48b7f-9add-4981-8b8c-0266bf3210a0.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260515_224634-e8fpf864
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r4-askeladd/mup-lr-arm-b-0p030
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/e8fpf864
step:0/3350 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3350 train_time:7.580s step_avg:7579.59ms
step:2/3350 train_time:9.338s step_avg:4668.80ms
step:3/3350 train_time:11.106s step_avg:3702.01ms
step:4/3350 train_time:12.878s step_avg:3219.47ms
step:5/3350 train_time:14.651s step_avg:2930.13ms
step:6/3350 train_time:16.424s step_avg:2737.42ms
step:7/3350 train_time:18.198s step_avg:2599.68ms
step:8/3350 train_time:19.971s step_avg:2496.40ms
step:9/3350 train_time:21.746s step_avg:2416.18ms
step:10/3350 train_time:23.523s step_avg:2352.26ms
step:11/3350 train_time:25.297s step_avg:2299.77ms
step:12/3350 train_time:27.073s step_avg:2256.07ms
step:13/3350 train_time:28.850s step_avg:2219.22ms
step:14/3350 train_time:30.627s step_avg:2187.63ms
step:15/3350 train_time:32.403s step_avg:2160.18ms
step:16/3350 train_time:34.180s step_avg:2136.22ms
step:17/3350 train_time:35.958s step_avg:2115.15ms
step:18/3350 train_time:37.736s step_avg:2096.44ms
step:19/3350 train_time:39.514s step_avg:2079.70ms
step:20/3350 train_time:41.292s step_avg:2064.61ms
step:21/3350 train_time:43.072s step_avg:2051.03ms
step:22/3350 train_time:44.851s step_avg:2038.68ms
step:23/3350 train_time:46.630s step_avg:2027.41ms
step:24/3350 train_time:48.409s step_avg:2017.05ms
step:25/3350 train_time:50.463s step_avg:2018.51ms
step:26/3350 train_time:52.241s step_avg:2009.28ms
step:27/3350 train_time:54.021s step_avg:2000.77ms
step:28/3350 train_time:55.800s step_avg:1992.87ms
step:29/3350 train_time:57.581s step_avg:1985.55ms
step:30/3350 train_time:59.361s step_avg:1978.71ms
step:31/3350 train_time:61.141s step_avg:1972.29ms
step:32/3350 train_time:62.922s step_avg:1966.31ms
step:33/3350 train_time:64.703s step_avg:1960.69ms
step:34/3350 train_time:66.484s step_avg:1955.40ms
step:35/3350 train_time:68.264s step_avg:1950.41ms
step:36/3350 train_time:70.045s step_avg:1945.70ms
step:37/3350 train_time:71.825s step_avg:1941.23ms
step:38/3350 train_time:73.607s step_avg:1937.03ms
step:39/3350 train_time:75.389s step_avg:1933.05ms
step:40/3350 train_time:77.170s step_avg:1929.24ms
step:41/3350 train_time:78.950s step_avg:1925.62ms
step:42/3350 train_time:80.731s step_avg:1922.17ms
step:43/3350 train_time:82.513s step_avg:1918.90ms
step:44/3350 train_time:84.294s step_avg:1915.78ms
step:45/3350 train_time:86.075s step_avg:1912.79ms
step:46/3350 train_time:87.856s step_avg:1909.91ms
step:47/3350 train_time:89.638s step_avg:1907.18ms
step:48/3350 train_time:91.419s step_avg:1904.57ms
step:49/3350 train_time:93.201s step_avg:1902.05ms
step:50/3350 train_time:95.254s step_avg:1905.09ms
step:51/3350 train_time:97.036s step_avg:1902.67ms
step:52/3350 train_time:98.818s step_avg:1900.34ms
step:53/3350 train_time:100.599s step_avg:1898.09ms
step:54/3350 train_time:102.379s step_avg:1895.92ms
step:55/3350 train_time:104.161s step_avg:1893.84ms
step:56/3350 train_time:105.943s step_avg:1891.83ms
step:57/3350 train_time:107.725s step_avg:1889.91ms
step:58/3350 train_time:109.506s step_avg:1888.03ms
step:59/3350 train_time:111.287s step_avg:1886.23ms
step:60/3350 train_time:113.069s step_avg:1884.48ms
step:61/3350 train_time:114.850s step_avg:1882.79ms
step:62/3350 train_time:116.631s step_avg:1881.14ms
step:63/3350 train_time:118.411s step_avg:1879.54ms
step:64/3350 train_time:120.191s step_avg:1877.99ms
step:65/3350 train_time:121.973s step_avg:1876.51ms
step:66/3350 train_time:123.756s step_avg:1875.09ms
step:67/3350 train_time:125.537s step_avg:1873.68ms
step:68/3350 train_time:127.318s step_avg:1872.32ms
step:69/3350 train_time:129.098s step_avg:1870.99ms
step:70/3350 train_time:130.880s step_avg:1869.72ms
step:71/3350 train_time:132.662s step_avg:1868.48ms
step:72/3350 train_time:134.442s step_avg:1867.26ms
step:73/3350 train_time:136.224s step_avg:1866.08ms
step:74/3350 train_time:138.005s step_avg:1864.93ms
step:75/3350 train_time:140.059s step_avg:1867.46ms
step:76/3350 train_time:141.840s step_avg:1866.31ms
step:77/3350 train_time:143.621s step_avg:1865.21ms
step:78/3350 train_time:145.403s step_avg:1864.14ms
step:79/3350 train_time:147.185s step_avg:1863.11ms
step:80/3350 train_time:148.967s step_avg:1862.09ms
step:81/3350 train_time:150.748s step_avg:1861.09ms
step:82/3350 train_time:152.530s step_avg:1860.12ms
step:83/3350 train_time:154.311s step_avg:1859.17ms
step:84/3350 train_time:156.093s step_avg:1858.26ms
step:85/3350 train_time:157.875s step_avg:1857.35ms
step:86/3350 train_time:159.656s step_avg:1856.47ms
step:87/3350 train_time:161.438s step_avg:1855.61ms
step:88/3350 train_time:163.220s step_avg:1854.77ms
step:89/3350 train_time:165.002s step_avg:1853.95ms
step:90/3350 train_time:166.782s step_avg:1853.14ms
step:91/3350 train_time:168.563s step_avg:1852.34ms
step:92/3350 train_time:170.345s step_avg:1851.57ms
step:93/3350 train_time:172.126s step_avg:1850.82ms
step:94/3350 train_time:173.907s step_avg:1850.08ms
step:95/3350 train_time:175.689s step_avg:1849.36ms
step:96/3350 train_time:177.470s step_avg:1848.64ms
step:97/3350 train_time:179.251s step_avg:1847.95ms
step:98/3350 train_time:181.034s step_avg:1847.28ms
step:99/3350 train_time:182.814s step_avg:1846.61ms
step:100/3350 train_time:184.870s step_avg:1848.70ms
step:101/3350 train_time:186.652s step_avg:1848.04ms
step:102/3350 train_time:188.433s step_avg:1847.38ms
step:103/3350 train_time:190.213s step_avg:1846.73ms
step:104/3350 train_time:191.994s step_avg:1846.09ms
step:105/3350 train_time:193.775s step_avg:1845.48ms
step:106/3350 train_time:195.557s step_avg:1844.87ms
step:107/3350 train_time:197.337s step_avg:1844.27ms
step:108/3350 train_time:199.118s step_avg:1843.68ms
step:109/3350 train_time:200.898s step_avg:1843.10ms
step:110/3350 train_time:202.679s step_avg:1842.54ms
step:111/3350 train_time:204.461s step_avg:1841.99ms
step:112/3350 train_time:206.241s step_avg:1841.44ms
step:113/3350 train_time:208.022s step_avg:1840.90ms
step:114/3350 train_time:209.803s step_avg:1840.38ms
step:115/3350 train_time:211.585s step_avg:1839.87ms
step:116/3350 train_time:213.365s step_avg:1839.36ms
step:117/3350 train_time:215.146s step_avg:1838.86ms
step:118/3350 train_time:216.926s step_avg:1838.36ms
step:119/3350 train_time:218.708s step_avg:1837.88ms
step:120/3350 train_time:220.490s step_avg:1837.41ms
step:121/3350 train_time:222.270s step_avg:1836.95ms
step:122/3350 train_time:224.051s step_avg:1836.48ms
step:123/3350 train_time:225.832s step_avg:1836.03ms
step:124/3350 train_time:227.613s step_avg:1835.59ms
step:125/3350 train_time:229.731s step_avg:1837.85ms
step:125/3350 val_loss:4.65417 train_time:229.732s step_avg:1837.85ms
step:126/3350 train_time:231.513s step_avg:1837.41ms
step:127/3350 train_time:233.294s step_avg:1836.96ms
step:128/3350 train_time:235.074s step_avg:1836.52ms
step:129/3350 train_time:236.855s step_avg:1836.09ms
step:130/3350 train_time:238.636s step_avg:1835.66ms
step:131/3350 train_time:240.418s step_avg:1835.25ms
step:132/3350 train_time:242.199s step_avg:1834.84ms
step:133/3350 train_time:243.980s step_avg:1834.43ms
step:134/3350 train_time:245.761s step_avg:1834.03ms
step:135/3350 train_time:247.542s step_avg:1833.64ms
step:136/3350 train_time:249.323s step_avg:1833.26ms
step:137/3350 train_time:251.103s step_avg:1832.87ms
step:138/3350 train_time:252.884s step_avg:1832.49ms
step:139/3350 train_time:254.666s step_avg:1832.13ms
step:140/3350 train_time:256.448s step_avg:1831.77ms
step:141/3350 train_time:258.229s step_avg:1831.41ms
step:142/3350 train_time:260.009s step_avg:1831.05ms
step:143/3350 train_time:261.790s step_avg:1830.70ms
step:144/3350 train_time:263.571s step_avg:1830.36ms
step:145/3350 train_time:265.353s step_avg:1830.02ms
step:146/3350 train_time:267.133s step_avg:1829.68ms
step:147/3350 train_time:268.914s step_avg:1829.35ms
step:148/3350 train_time:270.696s step_avg:1829.03ms
step:149/3350 train_time:272.478s step_avg:1828.71ms
step:150/3350 train_time:274.530s step_avg:1830.20ms
step:151/3350 train_time:276.311s step_avg:1829.87ms
step:152/3350 train_time:278.093s step_avg:1829.56ms
step:153/3350 train_time:279.875s step_avg:1829.25ms
step:154/3350 train_time:281.655s step_avg:1828.93ms
step:155/3350 train_time:283.437s step_avg:1828.62ms
step:156/3350 train_time:285.218s step_avg:1828.32ms
step:157/3350 train_time:287.000s step_avg:1828.02ms
step:158/3350 train_time:288.780s step_avg:1827.72ms
step:159/3350 train_time:290.561s step_avg:1827.42ms
step:160/3350 train_time:292.341s step_avg:1827.13ms
step:161/3350 train_time:294.123s step_avg:1826.85ms
step:162/3350 train_time:295.905s step_avg:1826.57ms
step:163/3350 train_time:297.686s step_avg:1826.29ms
step:164/3350 train_time:299.467s step_avg:1826.02ms
step:165/3350 train_time:301.272s step_avg:1825.89ms
step:166/3350 train_time:303.052s step_avg:1825.62ms
step:167/3350 train_time:304.834s step_avg:1825.35ms
step:168/3350 train_time:306.615s step_avg:1825.09ms
step:169/3350 train_time:308.396s step_avg:1824.83ms
step:170/3350 train_time:310.176s step_avg:1824.56ms
step:171/3350 train_time:311.957s step_avg:1824.31ms
step:172/3350 train_time:313.739s step_avg:1824.06ms
step:173/3350 train_time:315.520s step_avg:1823.82ms
step:174/3350 train_time:317.301s step_avg:1823.57ms
step:175/3350 train_time:319.356s step_avg:1824.89ms
step:176/3350 train_time:321.137s step_avg:1824.64ms
step:177/3350 train_time:322.917s step_avg:1824.39ms
step:178/3350 train_time:324.698s step_avg:1824.14ms
step:179/3350 train_time:326.479s step_avg:1823.90ms
step:180/3350 train_time:328.260s step_avg:1823.67ms
step:181/3350 train_time:330.041s step_avg:1823.43ms
step:182/3350 train_time:331.821s step_avg:1823.19ms
step:183/3350 train_time:333.602s step_avg:1822.96ms
step:184/3350 train_time:335.383s step_avg:1822.74ms
step:185/3350 train_time:337.165s step_avg:1822.52ms
step:186/3350 train_time:338.946s step_avg:1822.29ms
step:187/3350 train_time:340.727s step_avg:1822.07ms
step:188/3350 train_time:342.508s step_avg:1821.85ms
step:189/3350 train_time:344.289s step_avg:1821.64ms
step:190/3350 train_time:346.071s step_avg:1821.43ms
step:191/3350 train_time:347.951s step_avg:1821.73ms
step:192/3350 train_time:349.733s step_avg:1821.53ms
step:193/3350 train_time:351.514s step_avg:1821.32ms
step:194/3350 train_time:353.295s step_avg:1821.11ms
step:195/3350 train_time:355.076s step_avg:1820.90ms
step:196/3350 train_time:356.856s step_avg:1820.70ms
step:197/3350 train_time:358.637s step_avg:1820.49ms
step:198/3350 train_time:360.418s step_avg:1820.29ms
step:199/3350 train_time:362.199s step_avg:1820.10ms
step:200/3350 train_time:364.253s step_avg:1821.27ms
step:201/3350 train_time:366.034s step_avg:1821.06ms
step:202/3350 train_time:367.815s step_avg:1820.87ms
step:203/3350 train_time:369.596s step_avg:1820.67ms
step:204/3350 train_time:371.376s step_avg:1820.47ms
step:205/3350 train_time:373.156s step_avg:1820.28ms
step:206/3350 train_time:374.938s step_avg:1820.09ms
step:207/3350 train_time:376.720s step_avg:1819.90ms
step:208/3350 train_time:378.500s step_avg:1819.71ms
step:209/3350 train_time:380.281s step_avg:1819.53ms
step:210/3350 train_time:382.061s step_avg:1819.34ms
step:211/3350 train_time:383.843s step_avg:1819.16ms
step:212/3350 train_time:385.624s step_avg:1818.98ms
step:213/3350 train_time:387.405s step_avg:1818.80ms
step:214/3350 train_time:389.185s step_avg:1818.62ms
step:215/3350 train_time:390.967s step_avg:1818.45ms
step:216/3350 train_time:392.748s step_avg:1818.28ms
step:217/3350 train_time:394.530s step_avg:1818.11ms
step:218/3350 train_time:396.310s step_avg:1817.94ms
step:219/3350 train_time:398.091s step_avg:1817.77ms
