[launcher] launching arm-d (lr=0.042, USE_MUON2=0) at 2026-05-16T02:30:26Z
logs/87e3b887-abf1-4d64-b337-64e6680dec37.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run c9pxrfwv
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260516_023031-c9pxrfwv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r4-askeladd/mup-lr-arm-d-0p042-vanilla
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/c9pxrfwv
step:0/3350 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3350 train_time:3.995s step_avg:3995.15ms
step:2/3350 train_time:5.752s step_avg:2876.11ms
step:3/3350 train_time:7.524s step_avg:2508.06ms
step:4/3350 train_time:9.298s step_avg:2324.50ms
step:5/3350 train_time:11.071s step_avg:2214.22ms
step:6/3350 train_time:12.844s step_avg:2140.73ms
step:7/3350 train_time:14.619s step_avg:2088.44ms
step:8/3350 train_time:16.395s step_avg:2049.34ms
step:9/3350 train_time:18.170s step_avg:2018.90ms
step:10/3350 train_time:19.946s step_avg:1994.55ms
step:11/3350 train_time:21.722s step_avg:1974.75ms
step:12/3350 train_time:23.499s step_avg:1958.23ms
step:13/3350 train_time:25.276s step_avg:1944.32ms
step:14/3350 train_time:27.054s step_avg:1932.41ms
step:15/3350 train_time:28.833s step_avg:1922.18ms
step:16/3350 train_time:30.611s step_avg:1913.20ms
step:17/3350 train_time:32.390s step_avg:1905.27ms
step:18/3350 train_time:34.168s step_avg:1898.24ms
step:19/3350 train_time:35.948s step_avg:1892.00ms
step:20/3350 train_time:37.728s step_avg:1886.40ms
step:21/3350 train_time:39.508s step_avg:1881.32ms
step:22/3350 train_time:41.288s step_avg:1876.72ms
step:23/3350 train_time:43.069s step_avg:1872.57ms
