logs/f8284088-ec52-4d5c-a90f-8956b941db7d.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR DISABLED (single global LR)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_081350-pnxp8xzr
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-fern/h175-arm_a-ctrl
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/pnxp8xzr
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.882415771484375, 'final_fnorm': 15.882415771484375}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.61061477661133, 'final_fnorm': 47.61061477661133}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.922845840454102, 'final_fnorm': 15.922847747802734}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.589359283447266, 'final_fnorm': 47.589359283447266}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.914653778076172, 'final_fnorm': 15.914651870727539}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.631797790527344, 'final_fnorm': 47.63180160522461}]
[H162 INIT] SINGLE-GROUP MuonH path: built 1 param group (exponent=0.0, CTRL bit-identical to baseline)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.882415771484375}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.61061477661133}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.922847747802734}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.589359283447266}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.914651870727539}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.63180160522461}]
step:1/3325 train_time:10.079s step_avg:10079.37ms
step:2/3325 train_time:13.177s step_avg:6588.55ms
step:3/3325 train_time:15.423s step_avg:5141.02ms
step:4/3325 train_time:17.672s step_avg:4417.94ms
[rank0]:W0526 08:14:25.015000 712383 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 08:14:25.015000 712383 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 08:14:25.015000 712383 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: ___as_tensor(mu).item() == 0.9499548736462093  # (unknown source ___as_tensor(mu).item(), please file a bug)
[rank0]:W0526 08:14:25.015000 712383 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 08:14:25.015000 712383 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:5/3325 train_time:19.476s step_avg:3895.20ms
step:6/3325 train_time:21.271s step_avg:3545.14ms
step:7/3325 train_time:23.065s step_avg:3294.97ms
step:8/3325 train_time:24.861s step_avg:3107.68ms
step:9/3325 train_time:26.660s step_avg:2962.19ms
step:10/3325 train_time:28.459s step_avg:2845.89ms
step:11/3325 train_time:30.257s step_avg:2750.66ms
step:12/3325 train_time:32.057s step_avg:2671.38ms
step:13/3325 train_time:33.856s step_avg:2604.28ms
step:14/3325 train_time:35.657s step_avg:2546.90ms
step:15/3325 train_time:37.457s step_avg:2497.16ms
step:16/3325 train_time:39.258s step_avg:2453.63ms
step:17/3325 train_time:41.059s step_avg:2415.22ms
step:18/3325 train_time:42.860s step_avg:2381.09ms
step:19/3325 train_time:44.660s step_avg:2350.54ms
step:20/3325 train_time:46.463s step_avg:2323.17ms
step:21/3325 train_time:48.266s step_avg:2298.38ms
step:22/3325 train_time:50.069s step_avg:2275.86ms
step:23/3325 train_time:51.871s step_avg:2255.28ms
step:24/3325 train_time:53.674s step_avg:2236.43ms
step:25/3325 train_time:55.759s step_avg:2230.36ms
step:26/3325 train_time:57.564s step_avg:2213.99ms
step:27/3325 train_time:59.368s step_avg:2198.80ms
step:28/3325 train_time:61.173s step_avg:2184.74ms
step:29/3325 train_time:62.977s step_avg:2171.61ms
step:30/3325 train_time:64.800s step_avg:2159.99ms
step:31/3325 train_time:66.605s step_avg:2148.55ms
step:32/3325 train_time:68.411s step_avg:2137.84ms
step:33/3325 train_time:70.216s step_avg:2127.77ms
step:34/3325 train_time:72.024s step_avg:2118.34ms
step:35/3325 train_time:73.830s step_avg:2109.42ms
step:36/3325 train_time:75.636s step_avg:2101.00ms
step:37/3325 train_time:77.443s step_avg:2093.05ms
step:38/3325 train_time:79.249s step_avg:2085.49ms
step:39/3325 train_time:81.055s step_avg:2078.34ms
step:40/3325 train_time:82.862s step_avg:2071.55ms
step:41/3325 train_time:84.669s step_avg:2065.10ms
step:42/3325 train_time:86.476s step_avg:2058.95ms
step:43/3325 train_time:88.282s step_avg:2053.08ms
step:44/3325 train_time:90.089s step_avg:2047.47ms
step:45/3325 train_time:91.896s step_avg:2042.13ms
step:46/3325 train_time:93.702s step_avg:2037.00ms
step:47/3325 train_time:95.511s step_avg:2032.15ms
step:48/3325 train_time:97.319s step_avg:2027.48ms
step:49/3325 train_time:99.126s step_avg:2022.98ms
step:50/3325 train_time:104.032s step_avg:2080.63ms
step:51/3325 train_time:105.839s step_avg:2075.27ms
step:52/3325 train_time:107.645s step_avg:2070.09ms
step:53/3325 train_time:109.450s step_avg:2065.10ms
step:54/3325 train_time:111.256s step_avg:2060.29ms
step:55/3325 train_time:113.064s step_avg:2055.71ms
step:56/3325 train_time:114.870s step_avg:2051.25ms
step:57/3325 train_time:116.677s step_avg:2046.96ms
step:58/3325 train_time:118.484s step_avg:2042.83ms
step:59/3325 train_time:120.291s step_avg:2038.83ms
step:60/3325 train_time:122.114s step_avg:2035.24ms
step:61/3325 train_time:123.921s step_avg:2031.49ms
step:62/3325 train_time:125.728s step_avg:2027.88ms
step:63/3325 train_time:127.535s step_avg:2024.37ms
step:64/3325 train_time:129.342s step_avg:2020.97ms
step:65/3325 train_time:131.148s step_avg:2017.67ms
step:66/3325 train_time:132.956s step_avg:2014.48ms
step:67/3325 train_time:134.764s step_avg:2011.41ms
step:68/3325 train_time:136.572s step_avg:2008.42ms
step:69/3325 train_time:138.379s step_avg:2005.50ms
step:70/3325 train_time:140.190s step_avg:2002.72ms
step:71/3325 train_time:141.998s step_avg:1999.97ms
step:72/3325 train_time:143.806s step_avg:1997.30ms
step:73/3325 train_time:145.614s step_avg:1994.72ms
step:74/3325 train_time:147.422s step_avg:1992.19ms
step:75/3325 train_time:149.507s step_avg:1993.43ms
step:76/3325 train_time:151.315s step_avg:1990.99ms
step:77/3325 train_time:153.123s step_avg:1988.61ms
step:78/3325 train_time:154.930s step_avg:1986.29ms
step:79/3325 train_time:156.738s step_avg:1984.03ms
step:80/3325 train_time:158.547s step_avg:1981.83ms
step:81/3325 train_time:160.354s step_avg:1979.67ms
step:82/3325 train_time:162.162s step_avg:1977.58ms
step:83/3325 train_time:163.969s step_avg:1975.53ms
step:84/3325 train_time:165.777s step_avg:1973.53ms
step:85/3325 train_time:167.585s step_avg:1971.59ms
step:86/3325 train_time:169.393s step_avg:1969.68ms
step:87/3325 train_time:171.199s step_avg:1967.81ms
step:88/3325 train_time:173.007s step_avg:1965.99ms
step:89/3325 train_time:174.814s step_avg:1964.20ms
step:90/3325 train_time:176.640s step_avg:1962.66ms
step:91/3325 train_time:178.448s step_avg:1960.97ms
step:92/3325 train_time:180.257s step_avg:1959.31ms
step:93/3325 train_time:182.066s step_avg:1957.70ms
step:94/3325 train_time:183.873s step_avg:1956.10ms
step:95/3325 train_time:185.682s step_avg:1954.55ms
step:96/3325 train_time:187.491s step_avg:1953.03ms
step:97/3325 train_time:189.299s step_avg:1951.54ms
step:98/3325 train_time:191.107s step_avg:1950.07ms
step:99/3325 train_time:192.915s step_avg:1948.63ms
step:100/3325 train_time:195.000s step_avg:1950.00ms
step:101/3325 train_time:196.807s step_avg:1948.59ms
step:102/3325 train_time:198.615s step_avg:1947.21ms
step:103/3325 train_time:200.422s step_avg:1945.84ms
step:104/3325 train_time:202.229s step_avg:1944.51ms
step:105/3325 train_time:204.036s step_avg:1943.20ms
step:106/3325 train_time:205.846s step_avg:1941.94ms
step:107/3325 train_time:207.653s step_avg:1940.68ms
step:108/3325 train_time:209.461s step_avg:1939.45ms
step:109/3325 train_time:211.270s step_avg:1938.26ms
step:110/3325 train_time:213.078s step_avg:1937.07ms
step:111/3325 train_time:214.886s step_avg:1935.91ms
step:112/3325 train_time:216.694s step_avg:1934.77ms
step:113/3325 train_time:218.503s step_avg:1933.66ms
step:114/3325 train_time:220.312s step_avg:1932.56ms
step:115/3325 train_time:222.120s step_avg:1931.48ms
step:116/3325 train_time:223.928s step_avg:1930.41ms
step:117/3325 train_time:225.737s step_avg:1929.38ms
step:118/3325 train_time:227.547s step_avg:1928.36ms
step:119/3325 train_time:229.355s step_avg:1927.35ms
step:120/3325 train_time:231.180s step_avg:1926.50ms
step:121/3325 train_time:232.987s step_avg:1925.51ms
step:122/3325 train_time:234.794s step_avg:1924.54ms
step:123/3325 train_time:236.604s step_avg:1923.61ms
step:124/3325 train_time:238.412s step_avg:1922.68ms
step:125/3325 train_time:240.563s step_avg:1924.50ms
step:125/3325 val_loss:4.92932 train_time:240.563s step_avg:1924.51ms
step:126/3325 train_time:242.373s step_avg:1923.59ms
step:127/3325 train_time:244.183s step_avg:1922.70ms
step:128/3325 train_time:245.991s step_avg:1921.80ms
step:129/3325 train_time:247.800s step_avg:1920.93ms
step:130/3325 train_time:249.608s step_avg:1920.06ms
step:131/3325 train_time:251.416s step_avg:1919.20ms
step:132/3325 train_time:253.224s step_avg:1918.37ms
step:133/3325 train_time:255.034s step_avg:1917.55ms
step:134/3325 train_time:256.843s step_avg:1916.74ms
step:135/3325 train_time:258.652s step_avg:1915.94ms
step:136/3325 train_time:260.461s step_avg:1915.15ms
step:137/3325 train_time:262.268s step_avg:1914.37ms
step:138/3325 train_time:264.077s step_avg:1913.60ms
step:139/3325 train_time:265.885s step_avg:1912.84ms
step:140/3325 train_time:267.693s step_avg:1912.10ms
step:141/3325 train_time:269.501s step_avg:1911.35ms
step:142/3325 train_time:271.309s step_avg:1910.63ms
step:143/3325 train_time:273.116s step_avg:1909.90ms
step:144/3325 train_time:274.924s step_avg:1909.20ms
step:145/3325 train_time:276.731s step_avg:1908.49ms
step:146/3325 train_time:278.539s step_avg:1907.80ms
step:147/3325 train_time:280.345s step_avg:1907.11ms
step:148/3325 train_time:282.153s step_avg:1906.44ms
step:149/3325 train_time:283.960s step_avg:1905.77ms
step:150/3325 train_time:286.063s step_avg:1907.08ms
step:151/3325 train_time:287.869s step_avg:1906.42ms
step:152/3325 train_time:289.676s step_avg:1905.77ms
step:153/3325 train_time:291.484s step_avg:1905.12ms
step:154/3325 train_time:293.291s step_avg:1904.49ms
step:155/3325 train_time:295.100s step_avg:1903.87ms
step:156/3325 train_time:296.908s step_avg:1903.26ms
step:157/3325 train_time:298.716s step_avg:1902.65ms
step:158/3325 train_time:300.524s step_avg:1902.05ms
step:159/3325 train_time:302.332s step_avg:1901.46ms
step:160/3325 train_time:304.141s step_avg:1900.88ms
step:161/3325 train_time:305.949s step_avg:1900.30ms
step:162/3325 train_time:307.757s step_avg:1899.73ms
step:163/3325 train_time:309.563s step_avg:1899.16ms
step:164/3325 train_time:311.371s step_avg:1898.60ms
step:165/3325 train_time:313.178s step_avg:1898.05ms
step:166/3325 train_time:314.986s step_avg:1897.51ms
step:167/3325 train_time:316.793s step_avg:1896.96ms
step:168/3325 train_time:318.599s step_avg:1896.42ms
step:169/3325 train_time:320.406s step_avg:1895.89ms
step:170/3325 train_time:322.212s step_avg:1895.37ms
step:171/3325 train_time:324.019s step_avg:1894.85ms
step:172/3325 train_time:325.827s step_avg:1894.34ms
step:173/3325 train_time:327.634s step_avg:1893.84ms
step:174/3325 train_time:329.442s step_avg:1893.35ms
step:175/3325 train_time:331.526s step_avg:1894.43ms
step:176/3325 train_time:333.331s step_avg:1893.93ms
step:177/3325 train_time:335.139s step_avg:1893.44ms
step:178/3325 train_time:336.947s step_avg:1892.96ms
step:179/3325 train_time:338.754s step_avg:1892.48ms
step:180/3325 train_time:340.577s step_avg:1892.09ms
step:181/3325 train_time:342.384s step_avg:1891.62ms
step:182/3325 train_time:344.192s step_avg:1891.16ms
step:183/3325 train_time:345.999s step_avg:1890.71ms
step:184/3325 train_time:347.806s step_avg:1890.25ms
step:185/3325 train_time:349.614s step_avg:1889.80ms
