[chain] launch arm_b 20260526T102245Z
logs/1833bdac-645f-42ba-85ef-fe14831c990f.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR ENABLED: exponent=0.25 calibration_step=100 recalibrate_interval=0
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_102250-prkh17kh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-fern/h175-arm_b-gentle-early
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/prkh17kh
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.923391342163086, 'final_fnorm': 15.923392295837402}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.607078552246094, 'final_fnorm': 47.607078552246094}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.924899101257324, 'final_fnorm': 15.92490005493164}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.610721588134766, 'final_fnorm': 47.61072540283203}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.91242504119873, 'final_fnorm': 15.912425994873047}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.64216613769531, 'final_fnorm': 47.64216613769531}]
[H162 INIT] PER-BLOCK MuonH path: built 12 param groups (exponent=0.25, calibration_step=100, recalibrate_interval=0)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.923392295837402}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.607078552246094}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.92490005493164}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.61072540283203}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.912425994873047}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.64216613769531}]
step:1/3325 train_time:13.342s step_avg:13342.07ms
step:2/3325 train_time:16.267s step_avg:8133.40ms
step:3/3325 train_time:18.517s step_avg:6172.29ms
[rank0]:W0526 10:23:25.484000 724876 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 10:23:25.484000 724876 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 10:23:25.484000 724876 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: momentum.size()[0] <= momentum.size()[1]  # if G.size(-2) > G.size(-1):  # orkspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:572 in zeropower_via_newtonschulz5 (_dynamo/variables/tensor.py:1951 in evaluate_expr)
[rank0]:W0526 10:23:25.484000 724876 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 10:23:25.484000 724876 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:4/3325 train_time:20.542s step_avg:5135.44ms
step:5/3325 train_time:22.339s step_avg:4467.87ms
step:6/3325 train_time:24.137s step_avg:4022.79ms
step:7/3325 train_time:25.937s step_avg:3705.27ms
step:8/3325 train_time:27.737s step_avg:3467.14ms
step:9/3325 train_time:29.540s step_avg:3282.18ms
step:10/3325 train_time:31.344s step_avg:3134.40ms
step:11/3325 train_time:33.146s step_avg:3013.28ms
step:12/3325 train_time:34.949s step_avg:2912.42ms
step:13/3325 train_time:36.753s step_avg:2827.13ms
step:14/3325 train_time:38.557s step_avg:2754.06ms
step:15/3325 train_time:40.361s step_avg:2690.72ms
step:16/3325 train_time:42.166s step_avg:2635.36ms
step:17/3325 train_time:43.971s step_avg:2586.55ms
step:18/3325 train_time:45.776s step_avg:2543.13ms
step:19/3325 train_time:47.583s step_avg:2504.36ms
step:20/3325 train_time:49.388s step_avg:2469.42ms
step:21/3325 train_time:51.195s step_avg:2437.85ms
step:22/3325 train_time:53.001s step_avg:2409.12ms
step:23/3325 train_time:54.806s step_avg:2382.87ms
step:24/3325 train_time:56.612s step_avg:2358.85ms
step:25/3325 train_time:58.697s step_avg:2347.89ms
step:26/3325 train_time:60.503s step_avg:2327.05ms
step:27/3325 train_time:62.309s step_avg:2307.76ms
step:28/3325 train_time:64.116s step_avg:2289.85ms
step:29/3325 train_time:65.923s step_avg:2273.19ms
step:30/3325 train_time:67.746s step_avg:2258.21ms
step:31/3325 train_time:69.553s step_avg:2243.64ms
step:32/3325 train_time:71.359s step_avg:2229.98ms
