[chain] launch arm_c 20260526T121130Z
logs/bbe02a77-ca71-4171-a318-00381e12eba9.txt
MuLoCo outer optimizer ENABLED: outer_lr=0.7 outer_momentum=0.5 sync_interval=30
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=linear
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
H162 per-block MuonH LR ENABLED: exponent=1.0 calibration_step=100 recalibrate_interval=0
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260526_121135-nfmwrv5v
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-fern/h175-arm_c-heavy-early
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/nfmwrv5v
[H148 body_init=orthogonal_fnorm_matched] sample F-norms: [{'name': 'blocks.0.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.942680358886719, 'final_fnorm': 15.942680358886719}, {'name': 'blocks.0.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.59502029418945, 'final_fnorm': 47.59502029418945}, {'name': 'blocks.5.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.9248046875, 'final_fnorm': 15.9248046875}, {'name': 'blocks.5.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.610652923583984, 'final_fnorm': 47.610652923583984}, {'name': 'blocks.11.attn.q.weight', 'shape': (768, 768), 'default_fnorm': 15.920130729675293, 'final_fnorm': 15.92013168334961}, {'name': 'blocks.11.mlp.fc.weight', 'shape': (3072, 768), 'default_fnorm': 47.63069534301758, 'final_fnorm': 47.630699157714844}]
[H162 INIT] PER-BLOCK MuonH path: built 12 param groups (exponent=1.0, calibration_step=100, recalibrate_interval=0)
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
[H148 body_init=orthogonal_fnorm_matched] hyperball radii: [{'name': 'blocks.0.attn.q.weight', 'radius': 15.942680358886719}, {'name': 'blocks.0.mlp.fc.weight', 'radius': 47.59502029418945}, {'name': 'blocks.5.attn.q.weight', 'radius': 15.9248046875}, {'name': 'blocks.5.mlp.fc.weight', 'radius': 47.610652923583984}, {'name': 'blocks.11.attn.q.weight', 'radius': 15.92013168334961}, {'name': 'blocks.11.mlp.fc.weight', 'radius': 47.630699157714844}]
step:1/3325 train_time:9.897s step_avg:9896.73ms
step:2/3325 train_time:12.941s step_avg:6470.60ms
step:3/3325 train_time:15.190s step_avg:5063.43ms
[rank0]:W0526 12:12:07.743000 730249 torch/_dynamo/convert_frame.py:1743] [1/8] torch._dynamo hit config.recompile_limit (8)
[rank0]:W0526 12:12:07.743000 730249 torch/_dynamo/convert_frame.py:1743] [1/8]    function: 'muon_update' (/workspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:588)
[rank0]:W0526 12:12:07.743000 730249 torch/_dynamo/convert_frame.py:1743] [1/8]    last reason: 1/7: momentum.size()[0] <= momentum.size()[1]  # if G.size(-2) > G.size(-1):  # orkspace/senpai/target/records/track_3_optimization/train_gpt_simple.py:572 in zeropower_via_newtonschulz5 (_dynamo/variables/tensor.py:1951 in evaluate_expr)
[rank0]:W0526 12:12:07.743000 730249 torch/_dynamo/convert_frame.py:1743] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
[rank0]:W0526 12:12:07.743000 730249 torch/_dynamo/convert_frame.py:1743] [1/8] To diagnose recompilation issues, see https://docs.pytorch.org/docs/main/user_guide/torch_compiler/compile/programming_model.recompilation.html
step:4/3325 train_time:17.210s step_avg:4302.39ms
step:5/3325 train_time:19.005s step_avg:3800.99ms
step:6/3325 train_time:20.802s step_avg:3466.96ms
step:7/3325 train_time:22.599s step_avg:3228.49ms
step:8/3325 train_time:24.398s step_avg:3049.76ms
step:9/3325 train_time:26.198s step_avg:2910.86ms
step:10/3325 train_time:28.001s step_avg:2800.05ms
step:11/3325 train_time:29.802s step_avg:2709.25ms
step:12/3325 train_time:31.605s step_avg:2633.77ms
step:13/3325 train_time:33.408s step_avg:2569.88ms
step:14/3325 train_time:35.211s step_avg:2515.09ms
step:15/3325 train_time:37.015s step_avg:2467.68ms
step:16/3325 train_time:38.819s step_avg:2426.17ms
step:17/3325 train_time:40.624s step_avg:2389.65ms
step:18/3325 train_time:42.429s step_avg:2357.18ms
step:19/3325 train_time:44.233s step_avg:2328.08ms
step:20/3325 train_time:46.040s step_avg:2301.99ms
step:21/3325 train_time:47.844s step_avg:2278.27ms
step:22/3325 train_time:49.649s step_avg:2256.76ms
step:23/3325 train_time:51.454s step_avg:2237.14ms
step:24/3325 train_time:53.260s step_avg:2219.15ms
step:25/3325 train_time:55.342s step_avg:2213.69ms
step:26/3325 train_time:57.148s step_avg:2198.00ms
step:27/3325 train_time:58.953s step_avg:2183.46ms
step:28/3325 train_time:60.761s step_avg:2170.02ms
step:29/3325 train_time:62.568s step_avg:2157.51ms
step:30/3325 train_time:64.391s step_avg:2146.37ms
step:31/3325 train_time:66.198s step_avg:2135.43ms
step:32/3325 train_time:68.005s step_avg:2125.17ms
