logs/551fc742-034c-47e8-82ef-dc34cad8868e.txt
MuLoCo outer optimizer DISABLED
MuonH mode=scale_invariant lr=0.018 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260524_123841-e3g2vpr1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-frieren/H118_arm_b_no_outer
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/e3g2vpr1
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3325 train_time:4.189s step_avg:4188.98ms
step:2/3325 train_time:5.975s step_avg:2987.59ms
step:3/3325 train_time:7.762s step_avg:2587.30ms
step:4/3325 train_time:9.549s step_avg:2387.37ms
step:5/3325 train_time:11.337s step_avg:2267.49ms
step:6/3325 train_time:13.125s step_avg:2187.57ms
step:7/3325 train_time:14.913s step_avg:2130.47ms
step:8/3325 train_time:16.703s step_avg:2087.88ms
step:9/3325 train_time:18.492s step_avg:2054.66ms
step:10/3325 train_time:20.283s step_avg:2028.32ms
step:11/3325 train_time:22.073s step_avg:2006.67ms
step:12/3325 train_time:23.864s step_avg:1988.67ms
step:13/3325 train_time:25.655s step_avg:1973.44ms
step:14/3325 train_time:27.446s step_avg:1960.44ms
step:15/3325 train_time:29.237s step_avg:1949.13ms
step:16/3325 train_time:31.028s step_avg:1939.25ms
step:17/3325 train_time:32.818s step_avg:1930.47ms
step:18/3325 train_time:34.609s step_avg:1922.75ms
step:19/3325 train_time:36.400s step_avg:1915.79ms
step:20/3325 train_time:38.191s step_avg:1909.57ms
step:21/3325 train_time:39.983s step_avg:1903.96ms
step:22/3325 train_time:41.775s step_avg:1898.87ms
step:23/3325 train_time:43.567s step_avg:1894.22ms
step:24/3325 train_time:45.359s step_avg:1889.95ms
step:25/3325 train_time:47.428s step_avg:1897.12ms
step:26/3325 train_time:49.221s step_avg:1893.11ms
step:27/3325 train_time:51.012s step_avg:1889.34ms
step:28/3325 train_time:52.805s step_avg:1885.88ms
step:29/3325 train_time:54.598s step_avg:1882.70ms
step:30/3325 train_time:56.391s step_avg:1879.69ms
step:31/3325 train_time:58.182s step_avg:1876.85ms
step:32/3325 train_time:59.974s step_avg:1874.19ms
step:33/3325 train_time:61.765s step_avg:1871.67ms
step:34/3325 train_time:63.556s step_avg:1869.30ms
step:35/3325 train_time:65.347s step_avg:1867.05ms
step:36/3325 train_time:67.139s step_avg:1864.97ms
step:37/3325 train_time:68.932s step_avg:1863.02ms
step:38/3325 train_time:70.724s step_avg:1861.17ms
step:39/3325 train_time:72.516s step_avg:1859.38ms
step:40/3325 train_time:74.309s step_avg:1857.72ms
step:41/3325 train_time:76.101s step_avg:1856.11ms
step:42/3325 train_time:77.894s step_avg:1854.62ms
step:43/3325 train_time:79.686s step_avg:1853.17ms
step:44/3325 train_time:81.478s step_avg:1851.78ms
step:45/3325 train_time:83.270s step_avg:1850.44ms
