logs/8bd947f6-36a4-49dc-bd85-557fdf2e3fac.txt
MuLoCo outer optimizer DISABLED
MuonH mode=scale_invariant lr=0.025 budget_mult=1.0 cooldown_shape=cosine
AGC ENABLED on aux AdamW groups: clip_ratio=0.05 eps=0.001
AGC ENABLED on inner MuonH gradient: clip_ratio=0.05 eps=0.001
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260524_142605-k5ek4jde
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r3-frieren/H118_arm_c_no_outer_lr_boost
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/k5ek4jde
step:0/3325 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3325 train_time:4.178s step_avg:4177.76ms
step:2/3325 train_time:5.965s step_avg:2982.41ms
step:3/3325 train_time:7.752s step_avg:2584.09ms
step:4/3325 train_time:9.540s step_avg:2385.04ms
step:5/3325 train_time:11.328s step_avg:2265.59ms
step:6/3325 train_time:13.117s step_avg:2186.10ms
step:7/3325 train_time:14.904s step_avg:2129.21ms
step:8/3325 train_time:16.694s step_avg:2086.71ms
step:9/3325 train_time:18.482s step_avg:2053.54ms
step:10/3325 train_time:20.271s step_avg:2027.13ms
step:11/3325 train_time:22.061s step_avg:2005.51ms
step:12/3325 train_time:23.850s step_avg:1987.48ms
step:13/3325 train_time:25.639s step_avg:1972.26ms
step:14/3325 train_time:27.430s step_avg:1959.32ms
step:15/3325 train_time:29.222s step_avg:1948.12ms
step:16/3325 train_time:31.013s step_avg:1938.34ms
step:17/3325 train_time:32.805s step_avg:1929.70ms
step:18/3325 train_time:34.596s step_avg:1921.97ms
step:19/3325 train_time:36.386s step_avg:1915.06ms
step:20/3325 train_time:38.178s step_avg:1908.90ms
step:21/3325 train_time:39.968s step_avg:1903.25ms
step:22/3325 train_time:41.761s step_avg:1898.21ms
step:23/3325 train_time:43.552s step_avg:1893.57ms
step:24/3325 train_time:45.345s step_avg:1889.38ms
step:25/3325 train_time:47.414s step_avg:1896.58ms
step:26/3325 train_time:49.205s step_avg:1892.50ms
step:27/3325 train_time:50.996s step_avg:1888.73ms
step:28/3325 train_time:52.788s step_avg:1885.27ms
step:29/3325 train_time:54.579s step_avg:1882.04ms
step:30/3325 train_time:56.371s step_avg:1879.04ms
step:31/3325 train_time:58.164s step_avg:1876.25ms
step:32/3325 train_time:59.957s step_avg:1873.64ms
step:33/3325 train_time:61.749s step_avg:1871.18ms
step:34/3325 train_time:63.541s step_avg:1868.84ms
step:35/3325 train_time:65.333s step_avg:1866.65ms
step:36/3325 train_time:67.126s step_avg:1864.60ms
step:37/3325 train_time:68.918s step_avg:1862.65ms
step:38/3325 train_time:70.711s step_avg:1860.82ms
step:39/3325 train_time:72.503s step_avg:1859.06ms
step:40/3325 train_time:74.296s step_avg:1857.40ms
step:41/3325 train_time:76.088s step_avg:1855.80ms
step:42/3325 train_time:77.881s step_avg:1854.32ms
step:43/3325 train_time:79.675s step_avg:1852.91ms
step:44/3325 train_time:81.467s step_avg:1851.53ms
step:45/3325 train_time:83.259s step_avg:1850.20ms
step:46/3325 train_time:85.051s step_avg:1848.93ms
step:47/3325 train_time:86.843s step_avg:1847.72ms
step:48/3325 train_time:88.636s step_avg:1846.58ms
step:49/3325 train_time:90.428s step_avg:1845.46ms
step:50/3325 train_time:92.497s step_avg:1849.94ms
step:51/3325 train_time:94.288s step_avg:1848.78ms
step:52/3325 train_time:96.080s step_avg:1847.69ms
step:53/3325 train_time:97.872s step_avg:1846.64ms
step:54/3325 train_time:99.664s step_avg:1845.62ms
step:55/3325 train_time:101.457s step_avg:1844.67ms
step:56/3325 train_time:103.249s step_avg:1843.73ms
step:57/3325 train_time:105.042s step_avg:1842.84ms
step:58/3325 train_time:106.835s step_avg:1841.99ms
step:59/3325 train_time:108.628s step_avg:1841.15ms
step:60/3325 train_time:110.421s step_avg:1840.35ms
step:61/3325 train_time:112.212s step_avg:1839.55ms
step:62/3325 train_time:114.003s step_avg:1838.76ms
step:63/3325 train_time:115.795s step_avg:1838.02ms
step:64/3325 train_time:117.587s step_avg:1837.30ms
step:65/3325 train_time:119.379s step_avg:1836.60ms
step:66/3325 train_time:121.171s step_avg:1835.92ms
step:67/3325 train_time:122.963s step_avg:1835.27ms
step:68/3325 train_time:124.755s step_avg:1834.64ms
step:69/3325 train_time:126.547s step_avg:1834.02ms
step:70/3325 train_time:128.338s step_avg:1833.41ms
step:71/3325 train_time:130.129s step_avg:1832.81ms
step:72/3325 train_time:131.920s step_avg:1832.22ms
step:73/3325 train_time:133.711s step_avg:1831.66ms
step:74/3325 train_time:135.502s step_avg:1831.11ms
step:75/3325 train_time:137.572s step_avg:1834.30ms
step:76/3325 train_time:139.365s step_avg:1833.75ms
step:77/3325 train_time:141.156s step_avg:1833.19ms
step:78/3325 train_time:142.947s step_avg:1832.65ms
step:79/3325 train_time:144.737s step_avg:1832.11ms
step:80/3325 train_time:146.529s step_avg:1831.61ms
step:81/3325 train_time:148.321s step_avg:1831.12ms
step:82/3325 train_time:150.112s step_avg:1830.64ms
step:83/3325 train_time:151.903s step_avg:1830.16ms
step:84/3325 train_time:153.697s step_avg:1829.72ms
step:85/3325 train_time:155.488s step_avg:1829.27ms
step:86/3325 train_time:157.279s step_avg:1828.83ms
step:87/3325 train_time:159.071s step_avg:1828.41ms
step:88/3325 train_time:160.863s step_avg:1827.99ms
step:89/3325 train_time:162.655s step_avg:1827.59ms
step:90/3325 train_time:164.449s step_avg:1827.21ms
step:91/3325 train_time:166.241s step_avg:1826.83ms
step:92/3325 train_time:168.034s step_avg:1826.46ms
step:93/3325 train_time:169.825s step_avg:1826.08ms
step:94/3325 train_time:171.617s step_avg:1825.71ms
step:95/3325 train_time:173.410s step_avg:1825.36ms
step:96/3325 train_time:175.202s step_avg:1825.02ms
step:97/3325 train_time:176.994s step_avg:1824.68ms
step:98/3325 train_time:178.785s step_avg:1824.33ms
step:99/3325 train_time:180.575s step_avg:1823.99ms
step:100/3325 train_time:182.643s step_avg:1826.43ms
step:101/3325 train_time:184.433s step_avg:1826.07ms
step:102/3325 train_time:186.225s step_avg:1825.73ms
step:103/3325 train_time:188.016s step_avg:1825.40ms
step:104/3325 train_time:189.806s step_avg:1825.06ms
step:105/3325 train_time:191.597s step_avg:1824.74ms
step:106/3325 train_time:193.388s step_avg:1824.41ms
step:107/3325 train_time:195.178s step_avg:1824.09ms
step:108/3325 train_time:196.970s step_avg:1823.80ms
step:109/3325 train_time:198.761s step_avg:1823.49ms
step:110/3325 train_time:200.552s step_avg:1823.20ms
step:111/3325 train_time:202.341s step_avg:1822.89ms
step:112/3325 train_time:204.131s step_avg:1822.60ms
step:113/3325 train_time:205.922s step_avg:1822.32ms
step:114/3325 train_time:207.714s step_avg:1822.05ms
step:115/3325 train_time:209.504s step_avg:1821.77ms
step:116/3325 train_time:211.294s step_avg:1821.50ms
step:117/3325 train_time:213.085s step_avg:1821.24ms
step:118/3325 train_time:214.875s step_avg:1820.98ms
step:119/3325 train_time:216.666s step_avg:1820.72ms
step:120/3325 train_time:218.457s step_avg:1820.48ms
step:121/3325 train_time:220.247s step_avg:1820.22ms
step:122/3325 train_time:222.037s step_avg:1819.97ms
step:123/3325 train_time:223.828s step_avg:1819.74ms
step:124/3325 train_time:225.620s step_avg:1819.51ms
step:125/3325 train_time:227.752s step_avg:1822.01ms
step:125/3325 val_loss:4.91415 train_time:227.752s step_avg:1822.02ms
step:126/3325 train_time:229.544s step_avg:1821.78ms
step:127/3325 train_time:231.335s step_avg:1821.53ms
step:128/3325 train_time:233.126s step_avg:1821.29ms
step:129/3325 train_time:234.916s step_avg:1821.05ms
step:130/3325 train_time:236.707s step_avg:1820.82ms
step:131/3325 train_time:238.499s step_avg:1820.60ms
step:132/3325 train_time:240.289s step_avg:1820.37ms
step:133/3325 train_time:242.078s step_avg:1820.14ms
step:134/3325 train_time:243.868s step_avg:1819.91ms
step:135/3325 train_time:245.657s step_avg:1819.68ms
step:136/3325 train_time:247.448s step_avg:1819.47ms
step:137/3325 train_time:249.238s step_avg:1819.25ms
step:138/3325 train_time:251.028s step_avg:1819.05ms
step:139/3325 train_time:252.818s step_avg:1818.84ms
step:140/3325 train_time:254.608s step_avg:1818.63ms
step:141/3325 train_time:256.398s step_avg:1818.43ms
step:142/3325 train_time:258.188s step_avg:1818.22ms
step:143/3325 train_time:259.977s step_avg:1818.02ms
step:144/3325 train_time:261.767s step_avg:1817.83ms
step:145/3325 train_time:263.557s step_avg:1817.63ms
step:146/3325 train_time:265.347s step_avg:1817.45ms
step:147/3325 train_time:267.138s step_avg:1817.26ms
step:148/3325 train_time:268.928s step_avg:1817.08ms
step:149/3325 train_time:270.718s step_avg:1816.90ms
step:150/3325 train_time:272.784s step_avg:1818.56ms
step:151/3325 train_time:274.574s step_avg:1818.37ms
step:152/3325 train_time:276.365s step_avg:1818.19ms
step:153/3325 train_time:278.154s step_avg:1818.00ms
step:154/3325 train_time:279.945s step_avg:1817.82ms
step:155/3325 train_time:281.734s step_avg:1817.64ms
step:156/3325 train_time:283.523s step_avg:1817.46ms
step:157/3325 train_time:285.313s step_avg:1817.28ms
