==== Running cellA (baseline-ctrl):  ====
2026-05-23T11:45:29Z
logs/89fcb798-1479-4cf9-84c3-1bf1634262b3.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260523_114534-kcjx7zap
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-frieren/baseline-ctrl
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/kcjx7zap
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:5.885s step_avg:5884.72ms
step:2/3250 train_time:7.702s step_avg:3851.09ms
step:3/3250 train_time:9.519s step_avg:3172.87ms
step:4/3250 train_time:11.336s step_avg:2833.97ms
step:5/3250 train_time:13.154s step_avg:2630.74ms
step:6/3250 train_time:14.972s step_avg:2495.34ms
step:7/3250 train_time:16.793s step_avg:2399.06ms
step:8/3250 train_time:18.612s step_avg:2326.51ms
step:9/3250 train_time:20.430s step_avg:2270.04ms
step:10/3250 train_time:22.251s step_avg:2225.06ms
step:11/3250 train_time:24.070s step_avg:2188.18ms
step:12/3250 train_time:25.889s step_avg:2157.45ms
step:13/3250 train_time:27.709s step_avg:2131.45ms
step:14/3250 train_time:29.529s step_avg:2109.18ms
step:15/3250 train_time:31.349s step_avg:2089.96ms
step:16/3250 train_time:33.171s step_avg:2073.17ms
step:17/3250 train_time:35.862s step_avg:2109.51ms
step:18/3250 train_time:37.684s step_avg:2093.54ms
step:19/3250 train_time:39.504s step_avg:2079.16ms
step:20/3250 train_time:41.326s step_avg:2066.29ms
step:21/3250 train_time:43.147s step_avg:2054.63ms
step:22/3250 train_time:44.969s step_avg:2044.04ms
step:23/3250 train_time:46.791s step_avg:2034.41ms
step:24/3250 train_time:48.614s step_avg:2025.57ms
step:25/3250 train_time:50.710s step_avg:2028.41ms
step:26/3250 train_time:52.532s step_avg:2020.46ms
step:27/3250 train_time:54.354s step_avg:2013.13ms
step:28/3250 train_time:56.177s step_avg:2006.33ms
step:29/3250 train_time:58.001s step_avg:2000.04ms
step:30/3250 train_time:59.825s step_avg:1994.17ms
step:31/3250 train_time:61.649s step_avg:1988.67ms
step:32/3250 train_time:63.473s step_avg:1983.52ms
step:33/3250 train_time:66.130s step_avg:2003.93ms
step:34/3250 train_time:67.953s step_avg:1998.63ms
step:35/3250 train_time:69.776s step_avg:1993.60ms
step:36/3250 train_time:71.599s step_avg:1988.85ms
step:37/3250 train_time:73.422s step_avg:1984.38ms
step:38/3250 train_time:75.246s step_avg:1980.15ms
step:39/3250 train_time:77.070s step_avg:1976.15ms
step:40/3250 train_time:78.894s step_avg:1972.34ms
step:41/3250 train_time:80.718s step_avg:1968.73ms
step:42/3250 train_time:82.543s step_avg:1965.30ms
step:43/3250 train_time:84.367s step_avg:1962.03ms
step:44/3250 train_time:86.191s step_avg:1958.88ms
step:45/3250 train_time:88.015s step_avg:1955.89ms
step:46/3250 train_time:89.839s step_avg:1953.03ms
step:47/3250 train_time:91.664s step_avg:1950.30ms
step:48/3250 train_time:93.488s step_avg:1947.67ms
step:49/3250 train_time:96.147s step_avg:1962.19ms
step:50/3250 train_time:98.244s step_avg:1964.88ms
step:51/3250 train_time:100.068s step_avg:1962.11ms
step:52/3250 train_time:101.892s step_avg:1959.46ms
step:53/3250 train_time:103.716s step_avg:1956.90ms
step:54/3250 train_time:105.539s step_avg:1954.43ms
step:55/3250 train_time:107.365s step_avg:1952.09ms
step:56/3250 train_time:109.190s step_avg:1949.82ms
step:57/3250 train_time:111.016s step_avg:1947.64ms
step:58/3250 train_time:112.839s step_avg:1945.51ms
step:59/3250 train_time:114.663s step_avg:1943.45ms
step:60/3250 train_time:116.488s step_avg:1941.46ms
step:61/3250 train_time:118.314s step_avg:1939.57ms
step:62/3250 train_time:120.138s step_avg:1937.70ms
step:63/3250 train_time:121.963s step_avg:1935.92ms
step:64/3250 train_time:123.788s step_avg:1934.18ms
step:65/3250 train_time:126.446s step_avg:1945.33ms
step:66/3250 train_time:128.271s step_avg:1943.49ms
step:67/3250 train_time:130.095s step_avg:1941.72ms
step:68/3250 train_time:131.920s step_avg:1940.00ms
step:69/3250 train_time:133.744s step_avg:1938.32ms
step:70/3250 train_time:135.568s step_avg:1936.69ms
step:71/3250 train_time:137.393s step_avg:1935.11ms
step:72/3250 train_time:139.218s step_avg:1933.59ms
step:73/3250 train_time:141.043s step_avg:1932.09ms
step:74/3250 train_time:142.867s step_avg:1930.63ms
step:75/3250 train_time:144.964s step_avg:1932.85ms
step:76/3250 train_time:146.788s step_avg:1931.42ms
step:77/3250 train_time:148.614s step_avg:1930.05ms
step:78/3250 train_time:150.438s step_avg:1928.70ms
step:79/3250 train_time:152.263s step_avg:1927.38ms
step:80/3250 train_time:154.087s step_avg:1926.09ms
step:81/3250 train_time:156.746s step_avg:1935.14ms
step:82/3250 train_time:158.572s step_avg:1933.80ms
step:83/3250 train_time:160.396s step_avg:1932.49ms
step:84/3250 train_time:162.220s step_avg:1931.19ms
step:85/3250 train_time:164.045s step_avg:1929.94ms
step:86/3250 train_time:165.870s step_avg:1928.72ms
step:87/3250 train_time:167.695s step_avg:1927.53ms
step:88/3250 train_time:169.520s step_avg:1926.36ms
step:89/3250 train_time:171.346s step_avg:1925.24ms
step:90/3250 train_time:173.171s step_avg:1924.12ms
step:91/3250 train_time:174.995s step_avg:1923.03ms
step:92/3250 train_time:176.820s step_avg:1921.96ms
step:93/3250 train_time:178.645s step_avg:1920.92ms
step:94/3250 train_time:180.470s step_avg:1919.89ms
step:95/3250 train_time:182.295s step_avg:1918.90ms
step:96/3250 train_time:184.120s step_avg:1917.92ms
step:97/3250 train_time:186.780s step_avg:1925.56ms
step:98/3250 train_time:188.604s step_avg:1924.53ms
step:99/3250 train_time:190.428s step_avg:1923.52ms
step:100/3250 train_time:192.525s step_avg:1925.25ms
step:101/3250 train_time:194.348s step_avg:1924.24ms
step:102/3250 train_time:196.172s step_avg:1923.25ms
step:103/3250 train_time:197.998s step_avg:1922.31ms
step:104/3250 train_time:199.823s step_avg:1921.37ms
step:105/3250 train_time:201.647s step_avg:1920.44ms
step:106/3250 train_time:203.471s step_avg:1919.54ms
step:107/3250 train_time:205.296s step_avg:1918.66ms
step:108/3250 train_time:207.123s step_avg:1917.80ms
step:109/3250 train_time:208.947s step_avg:1916.95ms
step:110/3250 train_time:210.772s step_avg:1916.11ms
step:111/3250 train_time:212.596s step_avg:1915.28ms
step:112/3250 train_time:214.421s step_avg:1914.47ms
step:113/3250 train_time:217.081s step_avg:1921.07ms
step:114/3250 train_time:218.906s step_avg:1920.23ms
step:115/3250 train_time:220.731s step_avg:1919.40ms
step:116/3250 train_time:222.555s step_avg:1918.58ms
step:117/3250 train_time:224.379s step_avg:1917.77ms
step:118/3250 train_time:226.203s step_avg:1916.97ms
step:119/3250 train_time:228.029s step_avg:1916.21ms
