==== Running cellB (top50-mlp): --topk_ratio 0.5 --topk_scope mlp ====
2026-05-23T13:35:23Z
logs/c19d902f-af6c-44ae-a47b-c0ec5d526434.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run srs54aho
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260523_133528-srs54aho
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-frieren/top50-mlp
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/srs54aho
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.097s step_avg:6097.18ms
step:2/3250 train_time:8.297s step_avg:4148.47ms
step:3/3250 train_time:10.508s step_avg:3502.71ms
step:4/3250 train_time:12.717s step_avg:3179.18ms
step:5/3250 train_time:14.927s step_avg:2985.35ms
step:6/3250 train_time:17.133s step_avg:2855.45ms
step:7/3250 train_time:19.335s step_avg:2762.15ms
step:8/3250 train_time:21.540s step_avg:2692.52ms
step:9/3250 train_time:23.750s step_avg:2638.93ms
step:10/3250 train_time:25.959s step_avg:2595.93ms
step:11/3250 train_time:28.172s step_avg:2561.10ms
step:12/3250 train_time:30.386s step_avg:2532.13ms
step:13/3250 train_time:32.593s step_avg:2507.17ms
step:14/3250 train_time:34.802s step_avg:2485.89ms
step:15/3250 train_time:37.015s step_avg:2467.68ms
step:16/3250 train_time:39.222s step_avg:2451.36ms
step:17/3250 train_time:42.291s step_avg:2487.69ms
step:18/3250 train_time:44.499s step_avg:2472.18ms
step:19/3250 train_time:46.710s step_avg:2458.44ms
step:20/3250 train_time:48.916s step_avg:2445.82ms
step:21/3250 train_time:51.124s step_avg:2434.46ms
step:22/3250 train_time:53.333s step_avg:2424.22ms
step:23/3250 train_time:55.541s step_avg:2414.82ms
step:24/3250 train_time:57.744s step_avg:2405.99ms
step:25/3250 train_time:60.224s step_avg:2408.96ms
step:26/3250 train_time:62.427s step_avg:2401.04ms
step:27/3250 train_time:64.634s step_avg:2393.85ms
step:28/3250 train_time:66.841s step_avg:2387.17ms
step:29/3250 train_time:69.049s step_avg:2380.99ms
