==== Running cellC (top75-mlp): --topk_ratio 0.75 --topk_scope mlp ====
2026-05-23T15:45:56Z
logs/e750c6a4-2dc6-4bfc-a898-d23d622e8c2e.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260523_154600-z1f73d2k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-frieren/top75-mlp
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/z1f73d2k
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.106s step_avg:6105.65ms
step:2/3250 train_time:8.301s step_avg:4150.46ms
step:3/3250 train_time:10.501s step_avg:3500.40ms
step:4/3250 train_time:12.698s step_avg:3174.47ms
step:5/3250 train_time:14.896s step_avg:2979.12ms
step:6/3250 train_time:17.094s step_avg:2849.00ms
step:7/3250 train_time:19.289s step_avg:2755.57ms
step:8/3250 train_time:21.488s step_avg:2685.99ms
step:9/3250 train_time:23.689s step_avg:2632.13ms
step:10/3250 train_time:25.891s step_avg:2589.11ms
step:11/3250 train_time:28.090s step_avg:2553.60ms
step:12/3250 train_time:30.285s step_avg:2523.74ms
step:13/3250 train_time:32.484s step_avg:2498.74ms
step:14/3250 train_time:34.678s step_avg:2477.03ms
step:15/3250 train_time:36.877s step_avg:2458.47ms
step:16/3250 train_time:39.081s step_avg:2442.58ms
step:17/3250 train_time:42.137s step_avg:2478.64ms
step:18/3250 train_time:44.333s step_avg:2462.97ms
step:19/3250 train_time:46.529s step_avg:2448.88ms
step:20/3250 train_time:48.724s step_avg:2436.20ms
step:21/3250 train_time:50.919s step_avg:2424.70ms
step:22/3250 train_time:53.112s step_avg:2414.19ms
step:23/3250 train_time:55.308s step_avg:2404.68ms
step:24/3250 train_time:57.509s step_avg:2396.23ms
step:25/3250 train_time:59.978s step_avg:2399.13ms
step:26/3250 train_time:62.176s step_avg:2391.38ms
step:27/3250 train_time:64.380s step_avg:2384.44ms
step:28/3250 train_time:66.587s step_avg:2378.11ms
step:29/3250 train_time:68.787s step_avg:2371.97ms
step:30/3250 train_time:70.984s step_avg:2366.14ms
step:31/3250 train_time:73.186s step_avg:2360.84ms
step:32/3250 train_time:75.385s step_avg:2355.78ms
step:33/3250 train_time:78.419s step_avg:2376.34ms
step:34/3250 train_time:80.615s step_avg:2371.03ms
step:35/3250 train_time:82.814s step_avg:2366.12ms
step:36/3250 train_time:85.011s step_avg:2361.41ms
step:37/3250 train_time:87.208s step_avg:2356.98ms
step:38/3250 train_time:89.408s step_avg:2352.84ms
step:39/3250 train_time:91.607s step_avg:2348.90ms
step:40/3250 train_time:93.802s step_avg:2345.05ms
step:41/3250 train_time:96.003s step_avg:2341.54ms
step:42/3250 train_time:98.203s step_avg:2338.17ms
step:43/3250 train_time:100.407s step_avg:2335.04ms
step:44/3250 train_time:102.606s step_avg:2331.95ms
step:45/3250 train_time:104.804s step_avg:2328.97ms
step:46/3250 train_time:107.008s step_avg:2326.27ms
step:47/3250 train_time:109.211s step_avg:2323.65ms
step:48/3250 train_time:111.408s step_avg:2321.00ms
step:49/3250 train_time:114.438s step_avg:2335.48ms
step:50/3250 train_time:116.909s step_avg:2338.18ms
step:51/3250 train_time:119.106s step_avg:2335.40ms
step:52/3250 train_time:121.310s step_avg:2332.88ms
step:53/3250 train_time:123.505s step_avg:2330.28ms
step:54/3250 train_time:125.703s step_avg:2327.83ms
step:55/3250 train_time:127.900s step_avg:2325.45ms
step:56/3250 train_time:130.095s step_avg:2323.12ms
step:57/3250 train_time:132.292s step_avg:2320.91ms
step:58/3250 train_time:134.491s step_avg:2318.82ms
step:59/3250 train_time:136.691s step_avg:2316.79ms
step:60/3250 train_time:138.893s step_avg:2314.88ms
step:61/3250 train_time:141.092s step_avg:2312.99ms
step:62/3250 train_time:143.287s step_avg:2311.07ms
step:63/3250 train_time:145.482s step_avg:2309.24ms
step:64/3250 train_time:147.684s step_avg:2307.56ms
step:65/3250 train_time:150.716s step_avg:2318.71ms
step:66/3250 train_time:152.911s step_avg:2316.84ms
step:67/3250 train_time:155.107s step_avg:2315.03ms
step:68/3250 train_time:157.304s step_avg:2313.29ms
step:69/3250 train_time:159.497s step_avg:2311.55ms
step:70/3250 train_time:161.692s step_avg:2309.89ms
step:71/3250 train_time:163.885s step_avg:2308.24ms
step:72/3250 train_time:166.079s step_avg:2306.65ms
step:73/3250 train_time:168.274s step_avg:2305.12ms
step:74/3250 train_time:170.474s step_avg:2303.70ms
step:75/3250 train_time:172.944s step_avg:2305.91ms
step:76/3250 train_time:175.134s step_avg:2304.40ms
step:77/3250 train_time:177.336s step_avg:2303.07ms
step:78/3250 train_time:179.534s step_avg:2301.72ms
step:79/3250 train_time:181.730s step_avg:2300.38ms
step:80/3250 train_time:183.927s step_avg:2299.09ms
step:81/3250 train_time:186.959s step_avg:2308.14ms
step:82/3250 train_time:189.159s step_avg:2306.81ms
step:83/3250 train_time:191.355s step_avg:2305.48ms
step:84/3250 train_time:193.555s step_avg:2304.23ms
step:85/3250 train_time:195.754s step_avg:2302.99ms
step:86/3250 train_time:197.952s step_avg:2301.77ms
step:87/3250 train_time:200.145s step_avg:2300.51ms
step:88/3250 train_time:202.336s step_avg:2299.28ms
step:89/3250 train_time:204.534s step_avg:2298.13ms
step:90/3250 train_time:206.733s step_avg:2297.03ms
step:91/3250 train_time:208.931s step_avg:2295.94ms
step:92/3250 train_time:211.128s step_avg:2294.87ms
step:93/3250 train_time:213.319s step_avg:2293.75ms
step:94/3250 train_time:215.515s step_avg:2292.71ms
step:95/3250 train_time:217.717s step_avg:2291.76ms
step:96/3250 train_time:219.911s step_avg:2290.74ms
step:97/3250 train_time:222.946s step_avg:2298.41ms
step:98/3250 train_time:225.146s step_avg:2297.41ms
step:99/3250 train_time:227.345s step_avg:2296.42ms
step:100/3250 train_time:229.812s step_avg:2298.12ms
step:101/3250 train_time:232.008s step_avg:2297.10ms
step:102/3250 train_time:234.205s step_avg:2296.12ms
step:103/3250 train_time:236.399s step_avg:2295.13ms
step:104/3250 train_time:238.594s step_avg:2294.17ms
step:105/3250 train_time:240.791s step_avg:2293.25ms
step:106/3250 train_time:242.989s step_avg:2292.35ms
step:107/3250 train_time:245.182s step_avg:2291.42ms
step:108/3250 train_time:247.377s step_avg:2290.53ms
step:109/3250 train_time:249.571s step_avg:2289.64ms
step:110/3250 train_time:251.769s step_avg:2288.81ms
step:111/3250 train_time:253.964s step_avg:2287.97ms
step:112/3250 train_time:256.161s step_avg:2287.15ms
step:113/3250 train_time:259.190s step_avg:2293.71ms
step:114/3250 train_time:261.382s step_avg:2292.82ms
step:115/3250 train_time:263.579s step_avg:2292.00ms
step:116/3250 train_time:265.774s step_avg:2291.15ms
step:117/3250 train_time:267.967s step_avg:2290.32ms
step:118/3250 train_time:270.165s step_avg:2289.53ms
step:119/3250 train_time:272.368s step_avg:2288.81ms
step:120/3250 train_time:274.567s step_avg:2288.06ms
step:121/3250 train_time:276.761s step_avg:2287.28ms
step:122/3250 train_time:278.958s step_avg:2286.54ms
step:123/3250 train_time:281.153s step_avg:2285.80ms
step:124/3250 train_time:283.349s step_avg:2285.08ms
