==== Running cellD (top50-all): --topk_ratio 0.5 --topk_scope all ====
2026-05-23T17:56:01Z
logs/cf423df2-e2c4-42d5-801c-389e3f25dee4.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260523_175606-21scckoa
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-frieren/top50-all
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/21scckoa
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.267s step_avg:6266.59ms
step:2/3250 train_time:8.653s step_avg:4326.28ms
step:3/3250 train_time:11.043s step_avg:3681.14ms
step:4/3250 train_time:13.431s step_avg:3357.76ms
step:5/3250 train_time:15.817s step_avg:3163.42ms
step:6/3250 train_time:18.205s step_avg:3034.17ms
step:7/3250 train_time:20.592s step_avg:2941.78ms
step:8/3250 train_time:22.980s step_avg:2872.44ms
step:9/3250 train_time:25.368s step_avg:2818.63ms
step:10/3250 train_time:27.758s step_avg:2775.76ms
step:11/3250 train_time:30.146s step_avg:2740.58ms
step:12/3250 train_time:32.533s step_avg:2711.08ms
step:13/3250 train_time:34.918s step_avg:2685.97ms
step:14/3250 train_time:37.310s step_avg:2664.98ms
step:15/3250 train_time:39.699s step_avg:2646.58ms
step:16/3250 train_time:42.092s step_avg:2630.74ms
step:17/3250 train_time:45.340s step_avg:2667.04ms
step:18/3250 train_time:47.724s step_avg:2651.35ms
step:19/3250 train_time:50.102s step_avg:2636.97ms
step:20/3250 train_time:52.488s step_avg:2624.40ms
step:21/3250 train_time:54.869s step_avg:2612.80ms
step:22/3250 train_time:57.251s step_avg:2602.30ms
step:23/3250 train_time:59.631s step_avg:2592.65ms
step:24/3250 train_time:62.014s step_avg:2583.90ms
step:25/3250 train_time:64.674s step_avg:2586.97ms
step:26/3250 train_time:67.059s step_avg:2579.19ms
step:27/3250 train_time:69.445s step_avg:2572.03ms
