==== Running cellE (top90-mlp): --topk_ratio 0.9 --topk_scope mlp ====
2026-05-23T20:16:14Z
logs/75a43157-196f-4c8f-b86f-16e1a39515dd.txt
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/senpai/target/wandb/run-20260523_201619-amndao9u
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run g1r5-frieren/top90-mlp
wandb: ⭐️ View project at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai
wandb: 🚀 View run at https://wandb.ai/wandb-applied-ai-team/modded-nanogpt-senpai/runs/amndao9u
[init] mode=musoft  L=12  block_residual_attn.proj_std=0.005984
step:0/3250 val_loss:10.82583 train_time:0.000s step_avg:nanms
step:1/3250 train_time:6.110s step_avg:6109.65ms
step:2/3250 train_time:8.309s step_avg:4154.73ms
step:3/3250 train_time:10.488s step_avg:3495.92ms
step:4/3250 train_time:12.674s step_avg:3168.50ms
step:5/3250 train_time:14.860s step_avg:2972.09ms
step:6/3250 train_time:17.045s step_avg:2840.84ms
step:7/3250 train_time:19.235s step_avg:2747.92ms
step:8/3250 train_time:21.412s step_avg:2676.55ms
step:9/3250 train_time:23.593s step_avg:2621.45ms
step:10/3250 train_time:25.784s step_avg:2578.40ms
step:11/3250 train_time:27.971s step_avg:2542.85ms
step:12/3250 train_time:30.149s step_avg:2512.44ms
step:13/3250 train_time:32.340s step_avg:2487.66ms
step:14/3250 train_time:34.520s step_avg:2465.72ms
step:15/3250 train_time:36.711s step_avg:2447.38ms
step:16/3250 train_time:38.895s step_avg:2430.94ms
step:17/3250 train_time:41.938s step_avg:2466.93ms
step:18/3250 train_time:44.120s step_avg:2451.12ms
step:19/3250 train_time:46.303s step_avg:2436.98ms
step:20/3250 train_time:48.490s step_avg:2424.51ms
step:21/3250 train_time:50.673s step_avg:2412.99ms
step:22/3250 train_time:52.864s step_avg:2402.90ms
step:23/3250 train_time:55.050s step_avg:2393.50ms
step:24/3250 train_time:57.241s step_avg:2385.06ms
step:25/3250 train_time:59.703s step_avg:2388.12ms
step:26/3250 train_time:61.893s step_avg:2380.51ms
step:27/3250 train_time:64.082s step_avg:2373.40ms
step:28/3250 train_time:66.265s step_avg:2366.59ms
step:29/3250 train_time:68.450s step_avg:2360.33ms
step:30/3250 train_time:70.632s step_avg:2354.41ms
step:31/3250 train_time:72.812s step_avg:2348.76ms
step:32/3250 train_time:74.991s step_avg:2343.46ms
step:33/3250 train_time:78.009s step_avg:2363.90ms
step:34/3250 train_time:80.194s step_avg:2358.65ms
step:35/3250 train_time:82.377s step_avg:2353.62ms
step:36/3250 train_time:84.560s step_avg:2348.90ms
step:37/3250 train_time:86.748s step_avg:2344.55ms
step:38/3250 train_time:88.931s step_avg:2340.29ms
step:39/3250 train_time:91.117s step_avg:2336.32ms
step:40/3250 train_time:93.298s step_avg:2332.45ms
step:41/3250 train_time:95.486s step_avg:2328.92ms
step:42/3250 train_time:97.662s step_avg:2325.29ms
step:43/3250 train_time:99.841s step_avg:2321.89ms
step:44/3250 train_time:102.026s step_avg:2318.77ms
step:45/3250 train_time:104.216s step_avg:2315.92ms
step:46/3250 train_time:106.400s step_avg:2313.04ms
step:47/3250 train_time:108.585s step_avg:2310.32ms
step:48/3250 train_time:110.772s step_avg:2307.76ms
step:49/3250 train_time:113.796s step_avg:2322.37ms
